COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d uː															
1089-1	n a ŋ a															
1319-1	n ɔː															
1398-1	s uː r̃ u															
1557-1	g i r i															
1626-1	w a g a															
1840-1	t eː r̃ u															
2247-1	k oː															
4677-1	k u r e j a															
5162-1	m i r̃ d ɛ															
5406-1	t a n d u															
359-1	k a r a															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s i g o															
2533-1	b a r a															
3605-1	k a n d a															
3866-1	o s u															
4553-1	t a ŋ g															
4822-1	k u m b o															
5254-1	d i r ɔ															
503-1	k i r̃ a															
1356-1	m a															
1881-1	n uː															
3218-1	p uː s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a r̃ u															
4694-1	g u s u															
807-1	k ɔː m b ɔ															
2320-1	k a ŋ															
2476-1	k uː															
3719-1	m ɔ															
4081-1	t a m b i															
4313-1	n ɛ m i															
4460-1	s ɔ															
5810-1	p i r u															
93-1	s ɔː															
260-1	p ɛ r e															
385-1	g ɛ m b ɛ															
890-1	i m b i r u															
1336-1	t e g e															
1703-1	b a															
1769-1	t ɛ m b ɛ															
2162-1	b ɛ r u															
2635-1	s o															
3031-1	d ɛ g u															
4591-1	k aː r a															
5301-1	p ɛ r u															
5605-1	t ɛ m a															
463-1	d u m b u															
1432-1	t a r u															
1474-1	t ɔ ŋ d ɔ															
1788-1	s i															
2044-1	g i m b e															
2713-1	t ɛ m d ɛ r ɛ															
3219-1	p a s u															
3425-1	j uː															
4184-1	n ɔː															
4629-1	n u ŋ g ɔ															
4759-1	n i															
4904-1	n u ŋ g ɔ															
4960-1	g i n d u															
4980-1	t ɔː															
5059-1	g u j ɔ															
5339-1	p a g a															
5549-1	t a w a															
5905-1	t eː r̃ u															
5922-1	b i r a															
5938-1	a r u n a															
1-1	p ɛ															
483-1	g e s u															
629-1	t ɔː															
667-1	ɛ w ɛ															
1254-1	z a m d u r u															
1415-1	ɲ ɔː															
1542-1	n ɔː															
1683-1	s i															
1898-1	p u r̃ u j															
2901-1	k u n d u															
2957-1	m a n d u															
3048-1	b i j e															
3251-1	b a r̃ a															
3885-1	t ɛ r ɔ															
715-2		d i j i														
1089-2		n a ŋ a														
1319-2		n ɔː														
1398-2		s u ŋ g u r u														
1557-2		g i r i														
1626-2		w a w a														
1840-2		t eː														
2247-2		g oː														
4677-2		k u r e														
5162-2		m i r̃ ɛ														
5406-2		t a n d u														
359-2		g i r a														
1577-2		g i r u														
2196-2		n a r a														
2230-2		s i g o														
2533-2		b a r a														
3605-2		k a n d a														
3866-2		o s u														
4553-2		t a ŋ g a														
4822-2		k u m b o														
5254-2		d i r ɔ														
