COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ l			
2054-1	d ɔ n d ə r			
1375-1	l ɪ x t ə			
760-1	w ɪ n d			
756-1	n eː r			
726-1	m ɔ t ə r			
1351-1	x r oː s p + v ɛ r			
1353-1	x r oː s + m ɔ t ə r			
412-1	v ɑ x ə r + v aː r			
406-1	s x oː m ə r + m ɔ l			
1005-1	s t iː p + v aː t ə r			
1012-1	s t iː v + m ɔ t ə r			
1016-1	w aː d ə r			
1069-1	ɪ x ə			
509-1	v ɑu l ə			
693-1	m ɑu l + t iː r			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l v			
1198-1	b aː r t			
2032-1	h ɔ r			
2241-1	n aː z ə			
2244-1	l ɪ p			
610-1	k n iː			
945-1	h aː r t			
1534-1	l ɪ k ə			
384-1	z uː x			
1650-1	n ɔ s t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ə m			
1385-1	z aː d ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d			
2020-1	l ɑ ŋ			
867-1	h oː n d ə r t			
1970-1	v l ɔ l			
1230-1	d r eː t ə			
2017-1	n oː v			
968-1	w ɛ l t			
1674-1	l ɑ n d			
1671-1	h uː l			
829-1	k l ɪ p			
1025-1	w ɑ s ə r			
1027-1	z eː			
1832-1	r oː v			
1816-1	oː s eː n			
335-1	l ɑ x ə			
1043-1	s t r oː m			
1469-2		s æ n d		
2047-2		s ɔ l		
2054-2		d ɔ n d r		
1375-2		l ɪ d		
760-2		w ɪ n t		
756-2		n ɛ r		
726-2		m uː d r		
1351-2		ɡ r ɛ t + ɛ d r		
1353-2		ɡ r ɛ t + m uː d r		
412-2		s iː p + f eɪ d ə r		
406-2		s w ɛ n + m uː d r		
1005-2		s t iː f + f eɪ d r		
1012-2		s t iː f + m uː d ə r		
1016-2		w ɛ d		
1069-2		ɪ k		
509-2		f ɪ l		
693-2		m aʊ l + ɪ z		
2179-2		n ɛ s t		
1753-2		f ɪ s		
1131-2		w ɔ l f		
1198-2		b ɑː r t		
2032-2		h ʌ r		
2241-2		n ɑː z		
2244-2		l ɪ p		
610-2		k n iː		
945-2		h æ r t		
1534-2		l ɪ k		
384-2		s aʊ ɡ		
1650-2		n ʌ t		
1663-2		s æ l t		
2279-2		l ɪ n		
471-2		s eɪ m		
1385-2		s ɑː m t		
792-2		j ʌ k		
1111-2		m æ s t		
197-2		s aʊ d		
2020-2		l æ ŋ		
867-2		h ɔ n d ə r t		
1970-2		f l ɔ		
1230-2		d r ɪ d		
2017-2		n iː w		
968-2		w ɛ l d		
1674-2		l æ n d		
1671-2		h aʊ l		
829-2		k l ɪ p		
1025-2		w ɑː s r		
1027-2		s eɪ		
1832-2		r aʊ w		
1816-2		ʌ s eɪ n		
335-2		l ɑː n		
1043-2		s t r aɪ m		
1469-3			ʃ o n t	
2047-3			ʃ ɛ n	
2054-3			t ɛ n d ɛ ʀ	
1375-3			l i	
760-3			w i t	
756-3			ʃ	
726-3			m ɔ t ɛ ʀ	
1351-3			ɡ ʀ ɛ	
1353-3			ɡ ʀ ɑ̃	
412-3			v y ɡ ɛ ʀ	
406-3			ʃ ɛ ɡ ɛ ʀ	
1005-3			s	
1012-3			ʃ t ɑ̃ p + m ɔ t ɛ ʀ	
1016-3			ə	
1069-3			ɑ̃	
509-3			v ɔ l	
693-3			m t	
2179-3			y s t	
1753-3			v ɪ s	
1131-3			u l f	
1198-3			b a ʀ t	
2032-3			ʃ ɛ ʀ	
2241-3			n ɑ̃	
2244-3			l i p	
610-3			k n iː	
945-3			ʃ y ʀ	
1534-3			l i k	
384-3			ʃ ɑ̃	
1650-3			n ɔ s	
1663-3			ʃ a l t	
2279-3			l i n	
471-3			ʃ a	
1385-3			ʃ a t	
792-3			t a k	
1111-3			m a s t	
197-3			ʃ t ɛ	
2020-3			l ɛ ŋ	
867-3			ʃ u	
1970-3			p ɛ l	
1230-3			t ʀ i	
2017-3			n ɑ̃	
1469-4				z a n t
2047-4				z ɔ l
2054-4				t ɔ n t ə r
1375-4				l ɪ x t ə n
760-4				v ɪ n t
756-4				n ɛ r
726-4				m uː d ə r
1351-4				ɡ r oː n + f aː t ə r
1353-4				ɡ r ɛ t + m uː t ə r
412-4				f aː p ə r + eː n + t ə r
406-4				m au l ə
1005-4				ʃ t iː p + f aː t ə r
1012-4				s t iː f + m uː t ə r
1016-4				v ɛ t ə r + aː r
1069-4				ɪ k ə n
509-4				f ə l ə n
693-4				m au l + ai z ə n
2179-4				n ɛ s t
1753-4				f ɪ ʃ
1131-4				v l ɔ f
1198-4				b eː r t
2032-4				h oː r
2241-4				n ɛ z
2244-4				l ɪ p
610-4				k n iː
945-4				h aː r t
1534-4				l ɪ k ə n
384-4				z au ɡ ə n
1650-4				n oː t
1663-4				z au l t
2279-4				l ɪ n ə n
471-4				z a m ə n
1385-4				z aː t ə n
792-4				j ʏ k
1111-4				m a s t
197-4				z au t ə n
2020-4				l ɛ ŋ
867-4				h ɔ n d ə r t
1970-4				f l ɔ n
1230-4				t ɛ r ɑ t ə n
2017-4				n iː v
968-4				v eː r ə l t n
1674-4				l a n t
1671-4				h ʏ l b ə n
829-4				k l ɪ f
1025-4				v aː t ə r
1027-4				z ai
1832-4				r ɔy f
1816-4				oː ʃ ai n
335-4				l aː ɡ ə n ə n
1043-4				ʃ t r oː m
