COGID	1	10	2	3	4	5	6	7	8	9
2689-1	a a m a									
893-1	a a a a									
1285-1	a a a									
1303-1	g ɔ a a a									
2197-1	s a l a									
2828-1	s i a a									
3572-1	s ɔ a i a									
1095-1	l i m a									
1755-1	a ɛ a									
1789-1	k a l a a a a a									
3207-1	β ʊ l a									
3519-1	t ʊ m a									
3686-1	k u a a a									
4249-1	k ʊ a i									
4451-1	β i s i a									
448-1	j u a a									
630-1	β ɛ a a ɛ									
814-1	g ɔ u m a a									
1216-1	g a β a									
1228-1	a a a									
1418-1	s i m a a									
1475-1	g a a									
2026-1	t a n a									
2775-1	β ʊ a m a									
3397-1	l ɔ l a									
3826-1	s ɔ k a									
4003-1	k a a a									
4040-1	g n a i									
4373-1	l i m i									
4384-1	i d ɔ									
84-1	a ʊ ʊ ʊ									
116-1	j i i a									
181-1	g ɔ ɔ a ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ a ɔ ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i a a a									
1159-1	s a									
1350-1	l j a									
1374-1	a a a a a									
1396-1	s ɔ β ʊ									
1430-1	i s l a									
1666-1	a a a ɔ a									
1767-1	l ɔ l ɔ a									
1906-1	i g g i l a									
2177-1	ŋ g a a									
2286-1	l a									
2317-1	m ʊ β a									
2419-1	s ɛ k a									
2750-1	a s i a									
3018-1	s i l a									
3275-1	k a a a a									
3441-1	s a g a a a									
3464-1	β ɔ a a									
3639-1	a ɛ t ɛ m ɛ l									
3885-1	a u m ɔ									
3981-1	i a a a									
4192-1	m g m m a									
4260-1	s a a									
4350-1	l ɛ ɛ l ɔ									
43-1	a i a ʊ									
93-1	k ɔ a ɔ									
200-1	β i									
374-1	a a a a									
459-1	l ʊ m a									
508-1	β ɔ a ʊ									
528-1	β i l i									
575-1	t a									
871-1	t a a a									
1137-1	s i k ʊ									
1339-1	a a a a									
1585-1	a l a a									
1712-1	a u l ɔ									
1872-1	p a									
2088-1	β g l a									
2166-1	i u a m a									
2334-1	a i g l									
2393-1	m a d a									
2537-1	l l a l									
2665-1	i g g a a									
2738-1	β ɛ ɛ a a									
2872-1	k ɔ s i a									
2893-1	s i k ʊ a									
2997-1	g a a s a									
3075-1	g ʊ l ʊ β ɛ									
3675-1	l a ɛ a l ɛ									
4028-1	β a ɛ									
4137-1	m i l a									
4238-1	a a i s i									
4316-1	t a t ʊ									
4429-1	a s s a									
4440-1	β i l i									
4485-1	l u									
4574-1	β a a l a a									
4688-1	a ɛ a									
143-1	β ʊ									
240-1	ɔ g a a									
388-1	a m ɲ									
401-1	a a									
599-1	a m m a i									
649-1	l ɛ ɛ t a									
755-1	g u l a									
836-1	s ʊ m a i									
969-1	s a									
994-1	a d l d g a									
1006-1	d i g i i									
1032-1	k ɔ l ɔ l a									
1043-1	β a l a									
1110-1	t ɛ m a									
1263-1	t a h a									
