COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	tɕʰ i ⁵¹																		
5-1	ʈʂ a ŋ ⁵¹																		
6-1	s a n ⁵⁵																		
7-1	ʂ a ŋ ⁵¹																		
8-1	ɕ j a ⁵¹																		
9-1	p u ⁵¹																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j e ²¹⁴																		
33-1	ʐ u ²¹⁴																		
38-1	ə ⁵¹																		
40-1	y n n ³⁵																		
42-1	u ²¹⁴																		
43-1	tɕ i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵¹																		
53-1	ʐ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ⁵⁵																		
60-1	ʈʂ a ŋ ⁵¹																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ʈʂ u ⁵¹																		
93-1	n i ²¹⁴																		
98-1	l ai ³⁵																		
109-1	ɕ i n ⁵¹																		
115-1	t au ²¹⁴																		
118-1	tɕ j e ⁵¹																		
124-1	tɕ j a ²¹⁴																		
127-1	ts w o ⁵¹																		
133-1	tʰ ou ⁵⁵																		
144-1	ʂ a ²¹⁴																		
161-1	ɕ y ŋ ⁵⁵ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	ə ³⁵																		
171-1	tʰ u ⁵¹																		
173-1	ʐ ⁵¹ ³⁵																		
174-1	n w ei ⁵¹																		
175-1	tɕʰ ɥ a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ³⁵																		
179-1	l j ³⁵ ⁵¹																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l ə ŋ ²¹⁴																		
198-1	t ə ŋ ⁵¹																		
199-1	ɕ y ŋ ⁵⁵																		
200-1	ʈʂʰ u ³⁵																		
202-1	t au ⁵⁵																		
205-1	f ə n ⁵⁵																		
206-1	tɕʰ j e ⁵¹																		
209-1	x w a ⁵¹																		
211-1	ʈʂʰ u ⁵⁵																		
215-1	l i ⁵¹																		
216-1	k w a ⁵¹																		
217-1	t au ⁵¹																		
219-1	ʂ w a ²¹⁴																		
220-1	tsʰ ɿ ⁵¹																		
225-1	tɕʰ j a n ³⁵																		
230-1	tɕ j a n ²¹⁴																		
234-1	pʰ i ²¹⁴																		
238-1	l i ⁵¹																		
242-1	ʈʂ u ⁵¹																		
253-1	tɕʰ i n ³⁵																		
256-1	ʂ ɤ ³⁵																		
261-1	x w a ⁵¹																		
262-1	p ai ³⁵																		
263-1	ʈʂʰ ʅ ³⁵																		
264-1	tɕ j a ŋ ⁵¹																		
271-1	ʂ ʅ ³⁵																		
272-1	tɕʰ j a n ⁵⁵																		
274-1	u ²¹⁴																		
275-1	p a n n																		
279-1	n a n ³⁵																		
287-1	l w a n																		
291-1	x ou ⁵¹																		
295-1	tɕʰ y ⁵¹																		
300-1	j ou ²¹⁴																		
303-1	tɕʰ y ²¹⁴																		
306-1	kʰ ou ²¹⁴																		
307-1	k u ²¹⁴																		
308-1	tɕ y ⁵¹																		
312-1	tɕ j au ⁵¹																		
313-1	kʰ ɤ ²¹⁴																		
314-1	tʰ ai ³⁵																		
323-1	m i ŋ ³⁵																		
325-1	tʰ u ²¹⁴																		
330-1	f ou ²¹⁴																		
334-1	ɕ i ³⁵																		
335-1	ʈʂʰ w ei ⁵⁵																		
338-1	k au ⁵¹																		
339-1	ʈʂ ou ⁵⁵																		
341-1	x u ⁵⁵																		
342-1	m i ŋ ⁵¹																		
343-1	x ɤ ³⁵ ³⁵																		
344-1	j au ²¹⁴																		
349-1	kʰ u ²¹⁴																		
353-1	ʈʂʰ a ŋ ⁵¹																		
360-1	x ou ³⁵																		
375-1	ts w ei ²¹⁴																		
388-1	s ɿ ⁵¹																		
389-1	x w ei ³⁵																		
392-1	kʰ w ə n ⁵¹																		
394-1	tɕ ɥ a n ⁵¹																		
401-1	tʰ u ²¹⁴																		
402-1	ts ai ⁵¹																		
403-1	t i ⁵¹																		
409-1	ts w o ⁵¹																		
418-1	m ai ³⁵																		
441-1	tʰ j a n ³⁵																		
443-1	m u ⁵¹																		
459-1	w ai ⁵¹																		
460-1	t w o ⁵⁵																		
461-1	j e ⁵¹																		
464-1	t a ⁵¹																		
465-1	tʰ j a n																		
466-1	tʰ ai ⁵¹																		
467-1	f u ⁵⁵																		
469-1	ʂ ʅ ³⁵																		
480-1	n y ²¹⁴																		
482-1	n ai ²¹⁴																		
484-1	x au ²¹⁴																		
491-1	m ei ⁵¹																		
492-1	tɕʰ i ⁵⁵																		
495-1	tɕ j e ²¹⁴																		
496-1	k u ⁵⁵																		
507-1	n j a ŋ ³⁵																		
