COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e ʔ									
56-1	u m i ʔ									
96-1	a t									
99-1	a t i r a n									
114-1	t o k									
115-1	u j									
133-1	t i p a r									
144-1	w a a w									
150-1	k a w									
234-1	k o m									
236-1	p a k u n									
241-1	a w i n									
249-1	i i ʔ									
1-1	w a t a ʔ									
2-1	w i m									
65-1	i w									
74-1	p a n a ʔ									
52-2		i t e								
56-2		i m e								
96-2		a r a s i								
99-2		a a i k a n								
114-2		t o k i s i								
115-2		i k i i i i								
133-2		t i p r a a i i								
144-2		a r a a s i								
150-2		k a n								
234-2		k o m ʔ								
236-2		p i k o n								
241-2		a a i n								
249-2		i i i								
74-2		p a n a								
93-2		t u p a a i s i								
95-2		w i i i i i								
52-3			i a i							
56-3			u m i							
96-3			a t a tʃ							
99-3			a i i k i							
114-3			t u k o tʃ e							
115-3			i k tʃ							
133-3			tʃ i p a t a e							
144-3			t a a w a tʃ e							
150-3			k a w							
234-3			k o m							
236-3			p i k i m							
241-3			a a i a							
249-3			k tʃ e							
1-3			w a a i							
2-3			k o i							
65-3			i w a							
93-3			t u p a a i tʃ e							
95-3			w i e tʃ							
52-4				i t e						
56-4				u m i						
96-4				a t						
99-4				a t i r i n						
114-4				t o k						
115-4				u r						
133-4				t i p a r						
144-4				w a a w						
150-4				k a w						
234-4				k o m						
236-4				p a k u n						
241-4				a w i n						
249-4				i i						
1-4				w a ʒ̟ a						
2-4				w i m						
65-4				i w						
74-4				p a n a						
93-4				t u p a r i						
95-4				w i						
52-5					i t i					
56-5					i m i					
96-5					a r i s					
99-5					a r i r a n					
114-5					t o k i s i					
115-5					i r i i s i					
133-5					t i p a r i i					
144-5					w r a w i s i					
150-5					k a w					
234-5					k o m					
236-5					p i k o n					
241-5					a w i n					
249-5					i i					
1-5					w a t a					
2-5					w i					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i i i					
52-6						i a i				
56-6						u m i				
96-6						a a a				
99-6						a i i t i				
114-6						t u k i				
115-6						u i i i				
133-6						t i p a a a tʃ i				
144-6						a a a a a tʃ				
150-6						k a w a				
234-6						k u k				
236-6						p a k u m				
241-6						a w a a				
249-6						i tʃ i				
1-6						w a a a				
2-6						a i i				
65-6						a w a				
74-6						p a n a				
93-6						t u p a a i				
95-6						w a k i				
52-7							i t i			
56-7							u m i			
96-7							a r			
99-7							a r i r o			
114-7							t u k u			
115-7							u i			
133-7							t i p r a			
144-7							a a a w			
150-7							k a w			
234-7							k o m			
236-7							p a k u n			
241-7							a w i			
249-7							i i			
1-7							w a z a			
2-7							i u			
65-7							i w i			
74-7							p a n a			
93-7							t u p a r i			
95-7							w a i			
52-8								i t e		
56-8								y m i		
96-8								a r a s		
99-8								r a i n		
114-8								t o k s i		
115-8								i k i s s i		
133-8								t i p r a a i		
144-8								w r a a a s i		
150-8								k a w		
234-8								k o		
236-8								p i k u n		
241-8								w w i n		
249-8								i s i		
1-8								w a t a		
2-8								i o		
65-8								i w		
74-8								p a n a		
93-8								t u p a a i s i		
95-8								w i		
52-9									i t i ʔ	
56-9									i m i ʔ	
96-9									a r a ʃ i ʔ	
99-9									a r i r a n	
114-9									t o k i ʃ i ʔ	
115-9									i i i ʃ i ʔ	
133-9									t i p a r a i ʔ	
144-9									a a r w a ʃ i ʔ	
150-9									k a w a	
234-9									k o m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ i ʔ	
1-9									w a t a ʔ	
2-9									w i m	
65-9									i w i	
74-9									p a n a ʔ	
93-9									t o p a r i ʃ i ʔ	
95-9									w i i i ʃ i	
52-10										i t e
56-10										m m ʔ
96-10										a r a i ʔ
99-10										a r i n a
114-10										t o k a tʃ i ʔ
115-10										w r i i
133-10										t i p a r i i
144-10										a a a w a i ʔ ʔ
150-10										k a w
234-10										k o m
236-10										p i k o n
241-10										a w i ʔ
249-10										i tʃ i ʔ
1-10										w a tʃ a
2-10										w i
65-10										i w i
74-10										p a n a
93-10										t o p a r i tʃ i ʔ
95-10										w i i i tʃ
