COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	lː a b a			
222-1	a b o b o n e			
208-1	a b u r b u d u			
962-1	a g o r lː e			
203-1	a g u d i			
138-1	s ɪ l e			
504-1	ɗ oː s a			
662-1	ɓ ɔː d a			
478-1	g o ɗ ɗ			
409-1	a r e			
410-1	g u n d i			
256-1	ɓ aː l e			
622-1	n d u			
546-1	n d u			
547-1	s ɛ ɗ a ʔ			
847-1	ʔ e n d d g i			
95-1	b ɛ ɗ i			
105-1	b ɪ ɲ i			
510-1	b o s a			
951-1	m b ə m a r e			
1116-1	m b ə m a			
149-1	ɓ u tʃ ʔ i			
376-1	ɓ ə l i			
815-1	g o r a			
453-1	ɗ u ŋ e			
67-1	ɗ a s e			
47-1	ɗ o k o l a			
869-1	ɗ oː lː a			
57-1	k a g u			
303-1	g a tʃ ʔ i a			
443-1	g eː r a			
884-1	g u n d o			
166-1	g u n d i			
918-1	a b ɛ r e			
831-1	h a s i			
616-1	b i e			
84-1	h o s ə l e			
346-1	h o h u l u			
601-1	ʃ i g i			
177-1	k ʔ a ɗ a			
341-1	k ʔ o l a			
1066-1	ɗ ɛ n tʃ i ŋ a			
318-1	ɗ ə s i			
241-1	m a s s			
556-1	h a n d u ŋ u			
191-1	ɓ ɛ m ɓ ɛ l			
458-1	a tʃ ʔ i tʃ ʔ i			
1-1	h a n h i r			
751-1	r o			
864-1	a ŋ o n i			
154-1	a m a n ʃ i			
278-1	a m i l u ʔ			
766-1	s oː r a			
251-1	a g ʃ r u			
582-1	u ʔ u ŋ			
6-1	a l i			
1106-1	ɲ g o			
473-1	ŋ i n e			
1111-1	h a lː u			
957-1	m a r e			
41-1	b iː e			
468-2		l aː b a		
222-2		aː b o b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r θ		
203-2		a g u d i ʔ		
138-2		ʃ i l e		
504-2		ɗ oː ʃ ɛ n e		
662-2		ɓ oː d a		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d d g g		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
1116-2		m b ə m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ə l i		
815-2		g o r a		
453-2		ɗ u ɲ e		
67-2		ɗ aː ʃ e		
47-2		d o k u l ɗ n		
869-2		ɗ oː l a		
57-2		g aː g u		
303-2		g a s s i a		
443-2		g ɛː r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ e		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n d e ŋ i		
318-2		u w ʃ a		
241-2		m aː ʃ ʃ o		
556-2		h a n d u ŋ u		
191-2		ɓ ɪ m ɓ i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n g i r		
751-2		r o		
864-2		a ŋ o n ɛ		
154-2		a m m o s i		
278-2		m m i l u		
766-2		ʃ oː r a		
251-2		a g uː r u		
582-2		u ʔ u ɲ		
6-2		a l i		
1106-2		ɲ g o		
473-2		ɪ n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
468-3			θ a b a	
222-3			aː b ɔ b ɔ ʔ i	
208-3			a b u r b u d u	
962-3			a g ɔ r a	
203-3			a g u d i ʔ	
138-3			ʃ i l i	
504-3			ɗ ɔː ʃ ɛ a	
662-3			p ʊː d aː	
478-3			g g d a	
409-3			a r e	
410-3			g u n d i	
256-3			p aː l e	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ɛ d i g g	
95-3			b ɛ ɗ i	
105-3			b ɛ n i	
510-3			b ɔ ʃ a	
951-3			m b ə m a r e	
1116-3			m b ə m a	
149-3			p u s ʔ i	
376-3			p ɛ l i	
815-3			g ɔ r a	
453-3			ɗ u ɲ e	
67-3			ɗ a ʃ e	
47-3			d ɔ k ɔ θ ɛ	
869-3			ɗ ʊː θ a	
57-3			k aː g u	
303-3			g a s ʔ i a	
443-3			g ɛː r a	
884-3			g ʊ n d i	
166-3			g u n d i	
918-3			a b ɛ r e	
831-3			h a ʃ e	
616-3			b iː e	
84-3			h ɔ ʃ ɛ l a	
346-3			h ɔː h ɔ l	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n d i ŋ i	
318-3			f ʔ ʃ i	
241-3			m h ʃ ʃ ʃ	
556-3			h a n d u ŋ u	
191-3			p ɛ m b i l	
458-3			a s ʔ i s ʔ i	
1-3			h a ŋ g i r	
751-3			r ɔ	
864-3			a ŋ ɔ n i	
154-3			a m m n s i	
278-3			m m i l u ʔ	
766-3			ʃ ɔː r a	
251-3			a g ʊ r u	
582-3			ɔ ʔ ɔ ŋ	
6-3			a l i	
1106-3			n g ɔ	
473-3			o ŋ e	
1111-3			h a l u	
957-3			m a r e	
468-4				θ aː b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r θ
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ uː d a
478-4				g o ɗ ɗ
409-4				a r e
410-4				g u n d i
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ w a
847-4				n ɛ o d g g i
95-4				b ɛ ɗ i
105-4				b ɪ n i
510-4				b o ʃ a
951-4				m b ə m a r e
1116-4				m b ə m a
149-4				ɓ u s ʔ i
376-4				ɓ ə l i
815-4				g o r a
453-4				ɗ u ŋ e
67-4				ɗ aː ʃ e
47-4				ɗ o k ʔ l θ n
869-4				ɗ uː θ a
57-4				k aː g u
303-4				g a z ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d i
918-4				a b ɛ r e
831-4				h aː ʃ e
616-4				b iː e
84-4				h o ʃ ɛ l e
346-4				h oː h u l o
601-4				s i g i
177-4				k ʔ a w a
341-4				k ʔ o l a
1066-4				w ɪ n ʃ i ŋ a
318-4				f ə ʃ a
241-4				m aː ʃ g ʃ
556-4				h a n d u ŋ u
191-4				ɓ e m b ɓ l
458-4				a s ʔ i s ʔ i
1-4				h a n g i r
751-4				r o
864-4				a ŋ o n i
154-4				a m m n s i
278-4				m m l l u ʔ
766-4				ʃ oː r a
251-4				a g u r u
582-4				o ʔ o ŋ
6-4				a l i
1106-4				n g o
473-4				ɲ i n e
1111-4				h a l u
957-4				m a r e
41-4				b eː e
