COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	kʰ a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	ɲ̊ v															
1841-1	m h															
2017-1	h ɔ															
1004-1	l ou̯															
614-1	b ou̯ h															
686-1	b l ɔ															
88-1	g a ʔ															
872-1	n ɨ ŋ															
1891-1	ɲ̊ ou̯															
68-1	s ɨi̯ m															
631-1	b a n															
594-1	g ou̯															
1759-1	h a n															
805-1	g ɨi̯ n															
756-1	h ɨ ʔ															
1201-1	m u ʔ															
2042-1	ʔ a															
1968-1	ɲ̊ a ʔ															
2000-1	ou̯ ŋ															
17-1	v a ɲ̊															
4-1	a ə m															
788-1	ɲ̊ ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ ou̯ ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	a ou̯ m															
1652-1	ou̯ ɨi̯ n															
576-1	ŋ ɔ															
1738-1	ɲ̊ a kʰ															
442-1	h ou̯ m															
368-1	o j a ŋ															
1778-1	p a ɲ̊															
957-1	n a p															
1704-1	ʔ ɨi̯ ʔ															
304-1	j a m															
1796-1	ou̯ ɔ ŋ															
720-1	t ɛ h															
287-1	g a p															
321-1	g a h															
206-1	g ou̯ ʔ															
1950-1	ʔ ɔ															
665-1	a ɔ n															
703-1	n ou̯ ʔ															
1290-1	m ui̯															
1391-1	k a t															
269-1	g a ɲ̊															
855-1	ou̯ a n															
2078-1	s ɨi̯															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a															
737-1	p r t															
340-1	ʔ a															
1111-1	s ɛ															
485-1	ŋ r															
1356-1	m ɔ h															
1093-1	t ou̯ ŋ															
1063-1	ɲ̊ ɔ m															
648-1	ou̯ a n															
223-1	g ɔ n															
1248-1	t ɨ															
1509-1	t ɔ n															
504-1	ou̯ ou̯ h															
2130-1	s ɨi̯															
1-1	ʔ o															
386-1	j ou̯ ʔ															
1411-1	ʔ u															
1027-1	g a ʔ															
1459-1	g l r															
1323-1	a ə															
1859-2		ŋ a														
175-2		k ə														
241-2		ʔ o ʔ														
2163-2		kʰ o n														
2181-2		n a m														
2060-2		ʔ ɨ m														
410-2		d v														
1841-2		m h														
2017-2		h ɔi̯														
1004-2		l aː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		g ɔ ʔ														
872-2		n ɨ ŋ														
1891-2		d aː														
68-2		s ui̯ m														
631-2		b ə n														
594-2		kʰ aː														
1759-2		h a n														
805-2		kʰ ui̯ n														
756-2		h ɨ k														
1201-2		m o ʔ														
2042-2		ʔ eː														
1968-2		d ə ʔ														
2000-2		h aː ŋ														
17-2		v a ʔ														
4-2		ɔ əː m														
788-2		d a														
1219-2		h ui̯ m														
141-2		ʔ aː ŋ														
541-2		b l j ɔ ŋ														
1687-2		h o n														
123-2		ɔ aː m														
1652-2		o ui̯ n														
576-2		ŋ oː														
1738-2		d a k														
442-2		h o m														
368-2		d j ɔ ŋ														
1778-2		b a ʔ														
957-2		n ɔ b														
1704-2		ʔ ui̯ ʔ														
304-2		j ɔ m														
1796-2		o a ŋ														
720-2		d a h														
287-2		k ə b														
321-2		kʰ eː h														
206-2		d o ʔ														
1950-2		ʔ u														
665-2		ɔ o n														
703-2		n o ʔ														
1290-2		m ɨi̯														
1391-2		g a ʔ														
269-2		kʰ ɔ ʔ														
855-2		o ɔ n														
2078-2		s ui̯														
2213-2		m a														
1111-2		s s														
485-2		ŋ tɕ														
1356-2		m o h														
1093-2		d o ŋ														
1063-2		d o m														
648-2		dʑ ə n														
223-2		kʰ oː n														
1248-2		tɕ ɨ														
1509-2		d ɔːi̯ n														
504-2		dʑ o h														
2130-2		s ui̯														
1-2		ʔ eː														
386-2		j o ʔ														
1411-2		ʔ o														
1027-2		f a ʔ														
2077-2		m ə h														
1459-2		f l l														
1323-2		ɔ əː														
1859-3			ŋ ai̯													
175-3			g a													
241-3			ʔ ɔ t													
2163-3			kʰ ɔ r													
2181-3			n a m													
2060-3			ʔ iː m													
410-3			d v													
1841-3			m aːu̯													
2017-3			h i													
1004-3			r aː													
614-3			b o h													
686-3			b l i													
88-3			g a ʔ													
872-3			n iː ŋ													
1891-3			d aː													
68-3			s iː m													
631-3			b ə r													
594-3			g aː													
1759-3			h a ɲ													
805-3			g iː ɲ													
756-3			h iː ʔ													
1201-3			m ɔː ʔ													
2042-3			ʔ a													
1968-3			d a ʔ													
2000-3			aː ŋ													
17-3			v a ʔ													
4-3			a ɨː m													
788-3			d ai̯													
1219-3			h iː m													
141-3			ʔ aː ŋ													
541-3			b r j a ŋ													
1687-3			h ɔː r													
123-3			a aː m													
1652-3			o iː ɲ													
576-3			ŋ ui̯													
1738-3			d a g													
442-3			h o m													
368-3			d j a ŋ													
1778-3			b a ʔ													
957-3			n a b													
1704-3			ʔ iː t													
304-3			j a m													
1796-3			o a ŋ													
720-3			d a h													
287-3			g ə b													
321-3			g eː h													
206-3			d o ʔ													
1950-3			ʔ ui̯													
665-3			a o a													
703-3			n o ʔ													
1290-3			m v													
1391-3			s a t													
269-3			g a ʔ													
855-3			o a n													
2078-3			s iː													
2213-3			m ai̯													
1858-3			s a													
1151-3			g j a n													
737-3			b r d													
340-3			ʔ a													
1111-3			s ai̯													
485-3			ŋ r													
1356-3			m ɔː h													
1093-3			d o ŋ													
1063-3			d ui̯ m													
648-3			o ui̯ ɲ													
223-3			g ui̯ n													
1248-3			oː iː													
1509-3			d i ɲ													
504-3			o o h													
1-3			ʔ oː													
386-3			j o ʔ													
1411-3			ʔ ɔ													
1027-3			g a ʔ													
2077-3			m a													
1459-3			g l r													
1323-3			a ɨː													
1859-4				ŋ												
175-4				aː a												
241-4				ʔ o ʔ												
2163-4				aː u ŋ												
2181-4				n a m												
2060-4				ʔ ɨ m												
410-4				t v												
1841-4				m h												
2017-4				h ɔi̯												
1004-4				l aː												
614-4				p o h												
686-4				p l əː												
88-4				f ə ʔ												
872-4				n ɨ ŋ												
1891-4				t aː												
68-4				oː iː m												
631-4				p a n												
594-4				f aː												
1759-4				h a n												
805-4				f iː n												
756-4				h ɨ k												
1201-4				m o ʔ												
2042-4				ʔ ə												
1968-4				t ə ʔ												
2000-4				aː ŋ												
17-4				v ɔ t												
4-4				ə əː m												
788-4				t												
1219-4				h iː m												
141-4				ʔ aː ŋ												
541-4				p ai̯ j ə ŋ												
1687-4				h u n												
123-4				ə aː m												
1652-4				au̯ iː n												
576-4				ŋ o												
1738-4				t a aː												
442-4				h o m												
368-4				t j ə ŋ												
1778-4				p ɔ t												
957-4				n ə p												
1704-4				ʔ iː ʔ												
304-4				j ə m												
1796-4				au̯ ɔ ŋ												
720-4				d ɨ h												
287-4				aː ə p												
321-4				f ui̯ h												
206-4				t o k												
1950-4				ʔ ɔi̯												
665-4				ə o n												
703-4				n o ʔ												
1290-4				m ui̯												
1391-4				g a d												
269-4				f ə ʔ												
855-4				au̯ ə n												
2078-4				oː iː												
2213-4				m												
1858-4				oː ə												
1151-4				f j ə k												
737-4				p ai̯ d												
340-4				ʔ ə												
1111-4				oː												
485-4				ŋ ai̯												
1356-4				m o h												
1093-4				d o ŋ												
1063-4				t o m												
648-4				au̯ u ŋ												
223-4				f o n												
1509-4				d ɔ ŋ												
504-4				o o h												
2130-4				oː iː												
1-4				ʔ au̯												
386-4				j o ʔ												
1411-4				ʔ o												
1027-4				oː a ʔ												
2077-4				m a h												
1459-4				f l ai̯												
1859-5					ŋ ei̯											
175-5					k a											
241-5					ʔ ɔ ʔ											
2163-5					kʰ ɔ n											
2181-5					nˀ ɨ m											
2060-5					ʔ i m											
410-5					ɗ aːi̯											
1841-5					m h											
2017-5					h ei̯											
1004-5					l aː											
614-5					b o h											
686-5					b l ei̯											
88-5					k a ʔ											
872-5					nˀ i ŋ											
1891-5					ɗ aː											
68-5					s i m											
631-5					b ə n											
594-5					k aː											
1759-5					h a ɲ											
805-5					k i ɲ											
756-5					h i ʔ											
1201-5					m ei̯ ʔ											
2042-5					ʔ a											
1968-5					ɗ a ʔ											
2000-5					aː ŋ											
17-5					n ɨ ʔ											
4-5					a ɗ m											
788-5					ɗ ei̯											
1219-5					h i m											
141-5					ʔ aː ŋ											
541-5					b r j a ŋ											
1687-5					h ɔ n											
123-5					a aː m											
1652-5					aː i nˀ											
576-5					ŋ ə											
1738-5					ɗ ɨ k											
442-5					h o m											
368-5					d j a ŋ											
1778-5					b ɨ ʔ											
957-5					nˀ a p											
1704-5					ʔ i ʔ											
304-5					j a m											
1796-5					aː a ŋ											
720-5					d s h											
287-5					k a p											
321-5					k aː h											
206-5					ɗ o ʔ											
1950-5					ʔ ɨ											
665-5					a o r											
703-5					nˀ o ʔ											
1290-5					m r											
1391-5					k a t											
269-5					k a t											
855-5					aː a nˀ											
2078-5					s i											
2213-5					m ei̯											
1858-5					s a											
1151-5					k j a n											
737-5					b ə d											
340-5					ʔ a											
1111-5					s ei̯											
485-5					ŋ aːi̯											
1356-5					m u h											
1093-5					d o ŋ											
1063-5					ɗ ei̯ m											
648-5					f u ŋ											
223-5					k ei̯ nˀ											
1248-5					d ɨ											
1509-5					d ei̯ nˀ											
504-5					f o h											
2130-5					s i											
1-5					ʔ tʰ											
1411-5					ʔ ɔ											
2077-5					m a h											
1323-5					a əː											
1859-6						ŋ iː										
175-6						k ə										
241-6						ʔ ɔ t										
2163-6						k ɔ n										
2181-6						nʰ ə m										
2060-6						ʔ i m										
410-6						ɗ aːi̯										
1841-6						m h										
2017-6						h eːi̯										
1004-6						dʑ aː										
614-6						b o h										
686-6						b l ei̯										
88-6						k a ʔ										
872-6						nʰ i ŋ										
1891-6						ɗ aː										
68-6						s i m										
631-6						b a n										
594-6						k aː										
1759-6						h a ɲ										
805-6						k i ɲ										
756-6						h i ʔ										
1201-6						m o ʔ										
2042-6						ʔ a										
1968-6						ɗ a ʔ										
2000-6						aː ŋ										
17-6						f ə ʔ										
4-6						ə ɗ m										
788-6						ɗ iː										
1219-6						h i m										
141-6						ʔ aː ŋ										
541-6						b r j a ŋ										
1687-6						h o n										
123-6						ə aː m										
1652-6						dʑ i nʰ										
576-6						ŋ u										
1738-6						ɗ ə k										
442-6						h o m										
368-6						d j a ŋ										
1778-6						p ə ʔ										
957-6						nʰ a p										
1704-6						ʔ i ʔ										
304-6						j a m										
1796-6						dʑ a ŋ										
720-6						d o h										
287-6						k a p										
321-6						k aː h										
206-6						ɗ o ʔ										
1950-6						ʔ eːi̯										
665-6						ə o r										
703-6						nʰ o ʔ										
1290-6						m f										
1391-6						k e t										
269-6						k a t										
855-6						dʑ a nʰ										
2078-6						s e										
2213-6						m iː										
1858-6						s a										
1151-6						k j a n										
737-6						p r ɗ										
340-6						ʔ a										
1111-6						s iː										
1093-6						d o ŋ										
1063-6						ɗ o m										
648-6						dʑ ə ŋ										
1248-6						d e										
1509-6						d ei̯ nʰ										
504-6						dʑ o h										
2130-6						s i										
1-6						ʔ ou̯										
1411-6						ʔ ɔ										
2077-6						m ə h										
1323-6						ə k										
1859-7							ŋ s									
175-7							aː a									
241-7							ʔ ɔ ʔ									
2163-7							aː u n									
2181-7							n a m									
2060-7							ʔ ɨ m									
410-7							t v									
1841-7							m h									
2017-7							h ɔːi̯									
1004-7							l aː									
614-7							p o h									
686-7							p l ɔːi̯									
88-7							f a ʔ									
872-7							n ɨ ŋ									
1891-7							t aː									
68-7							s iː m									
631-7							p a n									
594-7							f aː									
1759-7							h a n									
805-7							f iː n									
756-7							h ɨ k									
1201-7							m o ʔ									
2042-7							ʔ a									
1968-7							t a ʔ									
2000-7							aː ŋ									
17-7							v a ɲ									
4-7							a əː m									
788-7							t s									
1219-7							h iː m									
141-7							ʔ aː ŋ									
541-7							p l j a ŋ									
1687-7							h u n									
123-7							a aː m									
1652-7							o iː n									
576-7							ŋ ɔː									
1738-7							t a k									
442-7							h o m									
368-7							t j a ŋ									
1778-7							b a ɲ									
957-7							n a b									
1704-7							ʔ iː ʔ									
304-7							j a m									
1796-7							o ɔ ŋ									
720-7							d v h									
287-7							k a b									
321-7							f ə h									
206-7							t o ʔ									
1950-7							ʔ ɔːi̯									
665-7							a o n									
703-7							n o ʔ									
1290-7							m uːi̯									
1391-7							g a d									
269-7							f a ʔ									
855-7							o a n									
2078-7							s iː									
2213-7							m s									
1858-7							s a									
1151-7							f j a n									
737-7							b l d									
340-7							ʔ a									
1111-7							s s									
485-7							ŋ l									
1356-7							m u h									
1093-7							d o ŋ									
1063-7							t o m									
648-7							f u ŋ									
223-7							f ɔː n									
1248-7							tɕ ɨ									
1509-7							d ɔːi̯ n									
504-7							o o h									
2130-7							s iː									
1-7							ʔ au̯									
386-7							j o ʔ									
1411-7							ʔ o									
1027-7							f a ʔ									
1459-7							f l l									
1859-8								ŋ ai̯								
175-8								kʰ a								
241-8								ʔ ɔ ʔ								
2163-8								kʰ ɔ ŋ								
2181-8								n a m								
2060-8								ʔ i m								
410-8								d j								
1841-8								m h								
2017-8								h ei̯								
1004-8								l aː								
614-8								b o h								
686-8								b l eː								
88-8								kʰ a ʔ								
872-8								n i ŋ								
1891-8								d aː								
68-8								s iː m								
631-8								b a ŋ								
594-8								g aː								
1759-8								h a ŋ								
805-8								g iː ŋ								
756-8								h i ʔ								
1201-8								m f ʔ								
2042-8								ʔ a								
1968-8								d a ʔ								
2000-8								aː ŋ								
17-8								v a t								
4-8								a d m								
788-8								d ai̯								
1219-8								h iː m								
141-8								ʔ aː ŋ								
541-8								b r j a ŋ								
1687-8								h ɔ ŋ								
123-8								a aː m								
1652-8								dʑ iː ŋ								
576-8								ŋ au̯								
1738-8								d a kʰ								
442-8								h o m								
368-8								d j a ŋ								
1778-8								p a t								
957-8								n a p								
1704-8								ʔ iː ʔ								
304-8								j a m								
1796-8								dʑ a ŋ								
720-8								t iː h								
287-8								kʰ a p								
321-8								g aː h								
206-8								d o ʔ								
1950-8								ʔ i								
665-8								a o a								
703-8								n o ʔ								
1290-8								m uːi̯								
1391-8								ŋ a ʔ								
269-8								g a ʔ								
855-8								dʑ a n								
2078-8								s a								
2213-8								m ai̯								
1858-8								s a								
1151-8								g j a n								
737-8								p a t								
340-8								ʔ a								
1111-8								s ai̯								
485-8								ŋ j								
1356-8								m ɔ h								
1093-8								t o ŋ								
1063-8								d au̯ m								
648-8								dʑ a ŋ								
223-8								g au̯ n								
1248-8								dʑ i								
1509-8								t eː ŋ								
504-8								dʑ o h								
2130-8								s iː								
1-8								ʔ aː								
386-8								j o ʔ								
1411-8								ʔ ɔ								
1027-8								kʰ a ʔ								
2077-8								m a								
1459-8								g l j								
1323-8								a a								
1859-9									ŋ iːu̯							
175-9									g a							
241-9									ʔ ɔ ʔ							
2163-9									kʰ ɔ n							
2181-9									n a m							
2060-9									ʔ ai̯ m							
410-9									d v							
1841-9									m h							
2017-9									h iː							
1004-9									l ɛː							
614-9									b o h							
686-9									b l i							
88-9									g a ʔ							
872-9									n iː ŋ							
1891-9									d ɛː							
68-9									iː ai̯ m							
631-9									b a n							
594-9									g ɛː							
1759-9									h a n							
805-9									g iː n							
756-9									h iː ʔ							
1201-9									m u ʔ							
2042-9									ʔ a							
1968-9									d a ʔ							
2000-9									ɛː ŋ							
17-9									v a ʔ							
4-9									a ɨː m							
788-9									d iːu̯							
1219-9									h ai̯ m							
141-9									ʔ ɛː ŋ							
541-9									b r j a ŋ							
1687-9									h u n							
123-9									a ɛː m							
1652-9									dʑ iː n							
576-9									ŋ ui̯							
1738-9									d a g							
442-9									h u m							
368-9									d j a ŋ							
1778-9									b a ʔ							
957-9									n a p							
1704-9									ʔ ai̯ ʔ							
304-9									j a m							
1796-9									dʑ a ŋ							
720-9									d iːu̯ h							
287-9									g a b							
321-9									g ɨː h							
206-9									d o ʔ							
1950-9									ʔ ui̯							
665-9									a u n							
