COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n au ³⁵								
838-1	l ɔ ʔ ⁵⁵								
438-1	ȵ ɔ w ʔ ⁵⁵								
334-1	l w ʔ ⁵⁵								
360-1	l i ³¹								
394-1	ȵ i ³¹								
221-1	i k p ⁵⁵								
202-1	k au ³¹								
935-1	o ³¹								
93-1	ts w ³¹								
7-1	p a n ³¹								
664-1	o w ŋ ⁵⁵								
246-1	k ɔ ʔ ⁵⁵								
547-1	pʰ ʐ k ⁵⁵								
555-1	ʑ n m ⁵⁵								
464-1	m au ³¹								
119-1	m ə ŋ ⁵⁵								
835-1	n̥ a p ⁵⁵								
79-1	t ɔ ³¹								
693-1	ȵ̥ au ⁵⁵								
477-1	n a p ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	tɕʰ ʐ u ʔ ⁵⁵								
493-1	n ə k ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	ȵ au u ʔ ⁵⁵								
580-1	s ɔ t ⁵⁵								
833-1	n̥ ɔ ⁵⁵								
390-1	m ɔ ŋ ³¹								
696-1	ŋ ui ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	tʰ a m ⁵⁵								
536-1	s ɔ ʔ ⁵⁵								
731-1	ʂ i ³¹								
779-1	ɔ ⁵⁵								
589-1	tʰ w ⁵⁵ ⁵⁵								
658-1	ɔ m m ⁵⁵								
456-1	ȵ ʐ w ŋ ŋ								
183-1	k ʐ ³¹ ³¹								
785-1	k ɔ ³¹								
714-1	pʰ ⁵⁵								
331-1	l ɔ ³¹								
930-1	ȵ̥ a p ⁵⁵								
161-1	k w a ⁵⁵								
814-1	x ui ³¹								
179-1	k ʐ w ʔ ⁵⁵								
194-1	ʐ w ʔ ⁵⁵								
727-1	ʂ w ŋ ⁵⁵								
260-1	kʰ ʐ a p ⁵⁵								
144-1	k a m ⁵⁵								
53-1	p u m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	pʰ i k								
29-1	p ə k								
316-1	tʰ ɔ ʔ ⁵⁵								
389-1	m ʐ w ŋ ⁵⁵								
118-1	m ɔ ³⁵								
312-1	x ɔ ³¹								
490-1	n i ³⁵								
436-1	ȵ ʐ ɔ ³¹								
927-1	ȵ̥ a n ⁵⁵								
383-1	m ɔ ʔ ⁵⁵								
211-1	ȵ̥ a m ⁵⁵								
873-1	s ə ŋ ⁵⁵								
877-1	s ui ³⁵								
344-1	l a m ⁵⁵								
666-1	ŋ ɔ ³¹								
595-1	tʰ w a								
660-1	ɔ a p ⁵⁵								
642-1	x w ŋ ŋ								
257-1	kʰ ʐ a m ⁵⁵								
167-1	k ʐ ɔ ³¹								
880-1	tʰ a p ⁵⁵								
484-1	n w a ⁵⁵								
574-1	s u m ³¹								
718-1	ʂ a n ³¹								
811-1	x au ³¹								
458-1	tʰ o ŋ ³¹								
884-1	t i ³⁵								
205-1	k u ʔ ⁵⁵								
499-1	n a ⁵⁵								
706-1	ʂ ɔ ⁵⁵								
920-1	o ŋ ŋ								
36-1	p ʐ a ŋ ⁵⁵								
665-2		ŋ o ⁵¹							
495-2		n ui ⁵⁵							
838-2		n o ʔ ²¹							
438-2		m j o ʔ ²¹							
334-2		l o ʔ ²¹							
360-2		l a̱i ²¹							
394-2		m j ²¹							
221-2		j i p ²¹							
202-2		k j ²¹							
935-2		n ²¹							
93-2		ts o ²¹							
7-2		p a̱ n ²¹							
664-2		v a ŋ ⁵¹							
246-2		k o ʔ ⁵⁵							
547-2		s a k ⁵⁵							
555-2		j i̱ m ⁵¹							
464-2		m j ²¹							
119-2		m i ŋ ⁵¹							
835-2		n a̱ p ⁵⁵							
79-2		t u ²¹							
693-2		ŋ ui ⁵¹							
477-2		n a̱ p ²¹							
891-2		t i ŋ ⁵⁵							
528-2		v u ⁵¹							
797-2		k j u ʔ ⁵⁵							
493-2		n i k ²¹							
217-2		j a p ⁵⁵							
896-2		ts u̱ t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		s u̱ ʔ ⁵⁵							
833-2		n o̱ ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ ui ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		v a m ⁵¹							
536-2		s o ʔ ⁵⁵							
731-2		ʃ a̱i ²¹							
779-2		k o ⁵¹							
589-2		tʰ a ŋ ⁵¹							
680-2		ŋ o̱ ʔ ⁵⁵							
658-2		v a m ⁵¹							
456-2		m j a ŋ ²¹							
183-2		k j ²¹ ²¹							
785-2		kʰ o ²¹							
714-2		v ⁵¹							
331-2		l o ²¹							
206-2		j o ⁵¹							
930-2		ŋ a̱ p ⁵⁵							
353-2		l i ⁵¹							
161-2		k a ŋ ⁵¹							
814-2		k ui ²¹							
179-2		k j o ʔ ²¹							
194-2		v o ʔ ²¹							
727-2		ʃ a ŋ ⁵¹							
260-2		kʰ j a p ⁵⁵							
144-2		k a m ⁵¹							
53-2		p u m ⁵¹							
59-2		t o ʔ ²¹							
506-2		pʰ i k ⁵¹							
29-2		p i k ²¹							
316-2		tʰ o̱ ʔ ⁵⁵							
389-2		m j a ŋ ⁵¹							
118-2		m o ⁵⁵							
312-2		kʰ a ²¹							
490-2		n u̱ i̱ ⁵⁵							
436-2		m j o ²¹							
927-2		ŋ a̱ n ⁵¹							
