COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a t									
56-1	i m i									
96-1	t a n									
99-1	t i k o n									
114-1	t o k									
115-1	t i tʃ i									
133-1	t i p a t									
144-1	t a w a tʃ i									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	i tʃ i ʔ									
1-1	w a z a									
2-1	w i r i m ʔ									
65-1	i w i ʔ									
74-1	p a n a									
106-1	t i n i									
128-1	p o k o z i ʔ									
147-1	t i m ʔ									
231-1	p a n a k o									
232-1	u p i j i									
239-1	m a k a r a k a n									
266-1	i t i m ʔ									
51-1	i w i ʔ									
97-1	t o m a k o n									
109-1	p i tʃ i									
121-1	k a p a k									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
52-2		t e a								
56-2		o m e								
96-2		t r a i s i								
99-2		a r e								
114-2		t o k i								
115-2		i t r e s i								
133-2		t i p a r a s i								
144-2		t r a w a s i								
150-2		k a o								
234-2		k o m								
236-2		p i n								
241-2		a w i n								
249-2		i s e								
74-2		p a n								
93-2		t u p a r i s i								
95-2		w i s i								
106-2		t o n e s i								
119-2		i t i s i								
128-2		p e k o s i								
147-2		t o k o t e p a s i								
231-2		p a n a o								
232-2		p i ã								
239-2		n a m a k a n								
266-2		i s i m								
51-2		w e								
55-2		i n j a n								
97-2		m a n o s i								
121-2		k a p i a k a s i								
163-2		o p i n								
52-3			i t e							
56-3			u m a j o							
96-3			a t i s a j a tʃ e							
99-3			a t i k a n							
114-3			t u k a i							
115-3			u t a j o tʃ e							
133-3			t i p a t a tʃ e							
144-3			u t a w a t a tʃ e							
150-3			k a w							
234-3			k o m							
236-3			p a k o n							
241-3			a w i n							
249-3			n a v i s i							
1-3			w a t a							
2-3			u m a j o							
65-3			i w i							
93-3			t u p a i s i							
95-3			w i k i							
106-3			t u i							
119-3			t a t i s i							
128-3			u k a i							
147-3			t u k a i							
231-3			p a n a u							
232-3			p i tʃ i							
239-3			i m a k a							
266-3			i tʃ i m							
3-3			u r a k a n							
4-3			w a t i							
55-3			i h a m							
109-3			u p a j o tʃ e							
121-3			k a p a t a k a tʃ e							
149-3			t u k a ɲ							
160-3			k e r e							
52-4				t i t						
56-4				u m						
96-4				a t a n						
99-4				a r i k o n						
114-4				t u k u						
115-4				u j u						
133-4				t i p a t						
144-4				s a w a ʒ̟ i						
150-4				k a w						
234-4				k o m						
236-4				p w i n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a t a						
2-4				w m						
65-4				i w i						
74-4				p a n a						
93-4				t u p a t						
95-4				w i t						
106-4				t i m						
119-4				j i t						
128-4				p u k u						
147-4				t i m						
231-4				p a n a o						
232-4				p i j o						
239-4				m a k a k a n						
266-4				p u m						
3-4				a r a k o n						
4-4				w a ʒ̟ i						
