COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	ʔ a															
241-1	ʔ u ʔ															
2163-1	kʰ u															
2181-1	n ă m															
2060-1	ʔ o m															
410-1	d u															
1841-1	m aːu̯															
2017-1	h ɔ															
1004-1	l ou̯ j															
614-1	b ou̯ h															
686-1	b l ɔ															
88-1	k au̯ ʔ															
872-1	n ɨ ŋ															
1891-1	d ou̯															
68-1	s ɛ m															
631-1	b ə̆ n															
594-1	k ou̯															
1759-1	h a ɲ															
805-1	k ɨ n															
756-1	h ɨ ʔ															
1201-1	m o ʔ															
2042-1	ʔ ou̯															
1968-1	d ă ʔ															
2000-1	r ou̯ ŋ															
17-1	v ă t															
4-1	ə ə m															
788-1	d ɛ															
1219-1	h a m															
141-1	ʔ ou̯ ŋ															
541-1	p r j a ŋ															
1687-1	h u															
123-1	r ou̯ m															
1652-1	dʑ ɨ ɲ															
576-1	ŋ ɔ l															
1738-1	d ă ʔ															
442-1	h ɔ m															
368-1	d j a ŋ															
1778-1	p ă t															
957-1	n ă															
1704-1	ʔ a ʔ															
304-1	c ă m															
1796-1	dʑ ɔ ŋ															
720-1	d ɛ h															
287-1	k ă															
321-1	k ə h															
206-1	d o ʔ															
1950-1	ʔ au̯															
665-1	ə o n															
703-1	n ou̯ ʔ															
1290-1	m o															
1391-1	k ɔ n															
269-1	g ă n															
855-1	dʑ ɔ n															
2078-1	s a															
2213-1	m ɛ															
1858-1	s a															
1151-1	k j a n															
737-1	p r a															
340-1	ʔ ou̯															
1111-1	s ɛ															
485-1	ŋ aːi̯															
1356-1	m u h															
1093-1	l ə ŋ															
1063-1	d ɔ m															
648-1	dʑ ə n															
223-1	k ɔ n															
1248-1	dʑ ə															
1509-1	d ɔ n															
504-1	dʑ ou̯ h															
2130-1	s a															
1-1	ʔ o															
386-1	r ou̯ ʔ															
1411-1	ʔ u															
1027-1	k ă n															
1459-1	k l															
1323-1	m ə															
1859-2		ŋ u														
175-2		k ə n														
241-2		ʔ u ʔ														
2163-2		kʰ u n														
2181-2		n a m														
2060-2		ʔ au̯ m														
410-2		d u														
1841-2		m aːu̯														
2017-2		h ɔi̯														
1004-2		l aː h														
614-2		l o h														
686-2		l l ɔːi̯														
88-2		g oː														
872-2		n a ŋ														
1891-2		d aː														
68-2		s ə m														
631-2		l ə n														
594-2		g aː														
1759-2		h a n														
805-2		g ə n														
756-2		h u k														
1201-2		m u dʑ														
2042-2		ʔ aː														
1968-2		d a ʔ														
2000-2		l aː ŋ														
17-2		v a dʑ														
4-2		eː eː m														
788-2		d a														
1219-2		h ɔːi̯ m														
141-2		ʔ aː ŋ														
541-2		l ɣ j a ŋ														
1687-2		h u ɣ														
123-2		eː aː m														
1652-2		dʑ ə n														
576-2		ŋ oː														
1738-2		d a k														
442-2		h au̯ m														
368-2		d u ŋ														
1778-2		l a dʑ														
957-2		n a														
1704-2		ʔ a ʔ														
304-2		dʑ a m														
1796-2		dʑ a ŋ														
720-2		d a h														
287-2		g a														
321-2		g ə h														
206-2		d u k														
1950-2		ʔ oːi̯														
