COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	ŋ au ³⁵								
838-1	n̥ ɔ ⁵⁵								
438-1	l ə ʔ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l ə ³¹								
394-1	m ə ³¹								
221-1	ə au ⁵⁵								
202-1	k au ³¹								
935-1	o ³¹								
93-1	ts ə ³¹								
7-1	k ə n ³¹								
664-1	ɔ ə ŋ ⁵⁵								
246-1	kʰ a ʔ ⁵⁵								
547-1	ʂ ə tsʰ ⁵⁵								
555-1	ə n ⁵⁵								
464-1	m au ³¹								
119-1	ts ə ŋ ⁵⁵								
835-1	ˀn a ʔ ⁵⁵								
79-1	t ɔ ³¹								
693-1	ŋ au ⁵⁵								
477-1	ˀn a ʔ ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ ɔ ⁵⁵								
797-1	x ʐ ʔ ⁵⁵								
493-1	n tsʰ k ³¹								
217-1	ʐ a ʔ ³¹								
896-1	tsʰ au t ⁵⁵								
452-1	ŋ o ʔ ⁵⁵								
580-1	s a̱ ʔ ⁵⁵								
833-1	ˀn a̱ n ⁵⁵								
390-1	m a ŋ ³¹								
696-1	ŋ ə ⁵⁵								
86-1	t au ŋ ³¹								
384-1	m ə ⁵⁵								
61-1	t a ŋ ⁵⁵								
536-1	s ɔ̱ ʔ ⁵⁵								
731-1	ʂ a ³¹								
779-1	tʰ a n ⁵⁵								
589-1	tʰ a ŋ ⁵⁵								
658-1	ɔ m ⁵⁵								
456-1	ȵ a ŋ ³¹								
183-1	k ʐ ə ³¹								
785-1	kʰ ɔ ³¹								
714-1	ʂ n ⁵⁵								
331-1	l ɔ ³¹								
930-1	ŋ ə ʔ ⁵⁵								
161-1	k ə ʔ ⁵⁵								
814-1	x ui ³¹								
179-1	k ʐ ə ʔ ⁵⁵								
194-1	ɔ ə ʔ ³¹								
727-1	ɔ ə ŋ ⁵⁵								
260-1	kʰ j a ʔ ⁵⁵								
144-1	k a m ⁵⁵								
53-1	p a m ⁵⁵								
59-1	t ɔ ʔ ³¹								
506-1	pʰ ə ʔ ⁵⁵								
29-1	p ə tsʰ ⁵⁵								
316-1	tʰ ə ʔ ⁵⁵								
389-1	m ʐ ə ŋ ⁵⁵								
118-1	m ɔ ³⁵								
312-1	kʰ ɔ ³¹								
490-1	⁵⁵ ə ³⁵								
436-1	m j w a ³¹								
927-1	ŋ a n ⁵⁵								
383-1	m ɔ ʔ ⁵⁵								
211-1	ʐ a m ⁵⁵								
873-1	s a̱ ŋ ⁵⁵								
877-1	s a ³⁵								
344-1	l a m ⁵⁵								
666-1	ŋ ɔ ³¹								
595-1	tʰ a ŋ ³⁵								
660-1	ɔ a ʔ ³¹								
642-1	x a ŋ ³⁵								
257-1	kʰ ʐ a n ⁵⁵								
167-1	k ʐ w a ³¹								
880-1	tʰ ə ʔ ³¹								
484-1	⁵⁵ a ŋ ⁵⁵								
574-1	t u m ³¹								
718-1	ʂ a n ³¹								
811-1	k au ³¹								
458-1	tʰ ɔ ŋ ³¹								
884-1	tʰ ɔ ³⁵								
205-1	k au ʔ ³¹								
499-1	n a ⁵⁵								
706-1	ʂ w a ⁵⁵								
920-1	au ŋ ³¹								
36-1	p ə ŋ ⁵⁵								
12-1	p ə n ⁵⁵								
350-1	l a ŋ ³⁵								
4-1	p a ŋ ⁵⁵								
342-1	ɔ ə ʔ ⁵⁵								
280-1	x au ³⁵								
612-1	tʰ a ŋ ³¹								
459-1	m ʐ ə ŋ ⁵⁵								
569-1	s ui ³¹								
283-1	kʰ ɔ ³⁵								
148-1	k a ʔ ³¹								
652-1	ɔ i ⁵⁵								
220-1	ə ə ŋ ³¹								
562-1	ʂ ə ŋ ³¹								
31-1	pʰ ʐ ə ʔ ⁵⁵								
386-1	m a ʔ ³¹								
804-1	s ʐ ɔ ŋ ³¹								
369-1	l ə ʔ ³¹								
125-1	t o ³¹								
314-1	pʰ ʐ w ŋ ⁵⁵								
823-1	l a ʔ ⁵⁵								
471-1	ʈʂ ə m ³¹								
40-1	k ʐ ə ŋ ³⁵								
393-1	m a ŋ ³⁵								
272-1	kʰ ʐ ɔ̃ ŋ ³⁵								
463-1	m au ⁵⁵								
1-1	p ɔ ⁵⁵								
214-1	ʐ a m ³¹								
123-1	t o ⁵⁵								
512-1	pʰ ɔ ə k ⁵⁵								
518-1	pʰ ʐ ɔ ⁵⁵								
878-1	tʰ ə ³¹								
849-1	pʰ ə t ⁵⁵								
524-1	pʰ ɔ ʔ ⁵⁵								
90-1	tʰ ə ³⁵								
541-1	ʐ w a ŋ ³¹								
933-1	ʈʂ au ³¹								
467-1	ˀn ɔ ³¹								
49-1	k a ⁵⁵								
822-1	kʰ ɔ ʔ ⁵⁵								
52-1	p ɔ ʔ ⁵⁵								
377-1	l ə m ³¹								
127-1	ʈʂ a p ⁵⁵								
67-1	t ɔ̱ ʔ ⁵⁵								
864-1	p ʐ a ³¹								
126-1	ʈʂ ɔ ʔ ⁵⁵								
656-1	ɔ a ³⁵								
635-1	x a ʔ ⁵⁵								
473-1	ˀn a m ⁵⁵								
98-1	ʂ ɔ ³¹								
445-1	m ʐ au n ⁵⁵								
