index	index_p	rindex	rindex_p	cogid	id_BelejeGonfoye	segment_BelejeGonfoye	segment_BelejeGonfoye_L1	segment_BelejeGonfoye_L2	segment_BelejeGonfoye_L3	segment_BelejeGonfoye_R1	segment_BelejeGonfoye_R2	segment_BelejeGonfoye_R3	SC_BelejeGonfoye	SC_BelejeGonfoye_L1	SC_BelejeGonfoye_L2	SC_BelejeGonfoye_L3	SC_BelejeGonfoye_R1	SC_BelejeGonfoye_R2	SC_BelejeGonfoye_R3	PROSODY_BelejeGonfoye	PROSODY_BelejeGonfoye_L1	PROSODY_BelejeGonfoye_L2	PROSODY_BelejeGonfoye_L3	PROSODY_BelejeGonfoye_R1	PROSODY_BelejeGonfoye_R2	PROSODY_BelejeGonfoye_R3	id_Fadashi	segment_Fadashi	segment_Fadashi_L1	segment_Fadashi_L2	segment_Fadashi_L3	segment_Fadashi_R1	segment_Fadashi_R2	segment_Fadashi_R3	SC_Fadashi	SC_Fadashi_L1	SC_Fadashi_L2	SC_Fadashi_L3	SC_Fadashi_R1	SC_Fadashi_R2	SC_Fadashi_R3	PROSODY_Fadashi	PROSODY_Fadashi_L1	PROSODY_Fadashi_L2	PROSODY_Fadashi_L3	PROSODY_Fadashi_R1	PROSODY_Fadashi_R2	PROSODY_Fadashi_R3	id_Maiyu	segment_Maiyu	segment_Maiyu_L1	segment_Maiyu_L2	segment_Maiyu_L3	segment_Maiyu_R1	segment_Maiyu_R2	segment_Maiyu_R3	SC_Maiyu	SC_Maiyu_L1	SC_Maiyu_L2	SC_Maiyu_L3	SC_Maiyu_R1	SC_Maiyu_R2	SC_Maiyu_R3	PROSODY_Maiyu	PROSODY_Maiyu_L1	PROSODY_Maiyu_L2	PROSODY_Maiyu_L3	PROSODY_Maiyu_R1	PROSODY_Maiyu_R2	PROSODY_Maiyu_R3	id_Undulu	segment_Undulu	segment_Undulu_L1	segment_Undulu_L2	segment_Undulu_L3	segment_Undulu_R1	segment_Undulu_R2	segment_Undulu_R3	SC_Undulu	SC_Undulu_L1	SC_Undulu_L2	SC_Undulu_L3	SC_Undulu_R1	SC_Undulu_R2	SC_Undulu_R3	PROSODY_Undulu	PROSODY_Undulu_L1	PROSODY_Undulu_L2	PROSODY_Undulu_L3	PROSODY_Undulu_R1	PROSODY_Undulu_R2	PROSODY_Undulu_R3
1	0.1429	7	1.0000	13																							1	a	∅	∅	∅	l	h	a	A	∅	∅	∅	L	H	A	7	∅	∅	∅	5	3	7	2	-	∅	∅	∅	-	h	a	_	∅	∅	∅	_	H	A	0	∅	∅	∅	0	3	7	3	a	∅	∅	∅	l	h	a	A	∅	∅	∅	L	H	A	7	∅	∅	∅	5	3	7
2	0.2857	6	0.8571	13																							1	l	a	∅	∅	h	a	m	L	A	∅	∅	H	A	M	5	7	∅	∅	3	7	4	2	-	-	∅	∅	h	a	m	_	_	∅	∅	H	A	M	0	0	∅	∅	3	7	4	3	l	a	∅	∅	h	a	m	L	A	∅	∅	H	A	M	5	7	∅	∅	3	7	4
3	0.4286	5	0.7143	13																							1	h	l	a	∅	a	m	i	H	L	A	∅	A	M	I	3	5	7	∅	7	4	7	2	h	-	-	∅	a	m	i	H	_	_	∅	A	M	I	3	0	0	∅	7	4	7	3	h	l	a	∅	a	m	i	H	L	A	∅	A	M	I	3	5	7	∅	7	4	7
4	0.5714	4	0.5714	13																							1	a	h	l	a	m	i	s	A	H	L	A	M	I	S	7	3	5	7	4	7	3	2	a	h	-	-	m	i	s	A	H	_	_	M	I	S	7	3	0	0	4	7	3	3	a	h	l	a	m	i	s	A	H	L	A	M	I	S	7	3	5	7	4	7	3
5	0.7143	3	0.4286	13																							1	m	a	h	l	i	s	∅	M	A	H	L	I	S	∅	4	7	3	5	7	3	∅	2	m	a	h	-	i	s	∅	M	A	H	_	I	S	∅	4	7	3	0	7	3	∅	3	m	a	h	l	i	s	∅	M	A	H	L	I	S	∅	4	7	3	5	7	3	∅
6	0.8571	2	0.2857	13																							1	i	m	a	h	s	∅	∅	I	M	A	H	S	∅	∅	7	4	7	3	3	∅	∅	2	i	m	a	h	s	∅	∅	I	M	A	H	S	∅	∅	7	4	7	3	3	∅	∅	3	i	m	a	h	s	∅	∅	I	M	A	H	S	∅	∅	7	4	7	3	3	∅	∅
7	1.0000	1	0.1429	13																							1	s	i	m	a	∅	∅	∅	S	I	M	A	∅	∅	∅	3	7	4	7	∅	∅	∅	2	s	i	m	a	∅	∅	∅	S	I	M	A	∅	∅	∅	3	7	4	7	∅	∅	∅	3	s	i	m	a	∅	∅	∅	S	I	M	A	∅	∅	∅	3	7	4	7	∅	∅	∅
1	0.3333	3	1.0000	20																							4	f	∅	∅	∅	i	ʃ	∅	B	∅	∅	∅	I	S	∅	3	∅	∅	∅	7	3	∅	5	f	∅	∅	∅	i	ʃ	∅	B	∅	∅	∅	I	S	∅	3	∅	∅	∅	7	3	∅																						
2	0.6667	2	0.6667	20																							4	i	f	∅	∅	ʃ	∅	∅	I	B	∅	∅	S	∅	∅	7	3	∅	∅	3	∅	∅	5	i	f	∅	∅	ʃ	∅	∅	I	B	∅	∅	S	∅	∅	7	3	∅	∅	3	∅	∅																						
3	1.0000	1	0.3333	20																							4	ʃ	i	f	∅	∅	∅	∅	S	I	B	∅	∅	∅	∅	3	7	3	∅	∅	∅	∅	5	ʃ	i	f	∅	∅	∅	∅	S	I	B	∅	∅	∅	∅	3	7	3	∅	∅	∅	∅																						
