index	index_p	rindex	rindex_p	cogid	id_AchangLongchuan	segment_AchangLongchuan	segment_AchangLongchuan_L1	segment_AchangLongchuan_L2	segment_AchangLongchuan_L3	segment_AchangLongchuan_R1	segment_AchangLongchuan_R2	segment_AchangLongchuan_R3	SC_AchangLongchuan	SC_AchangLongchuan_L1	SC_AchangLongchuan_L2	SC_AchangLongchuan_L3	SC_AchangLongchuan_R1	SC_AchangLongchuan_R2	SC_AchangLongchuan_R3	PROSODY_AchangLongchuan	PROSODY_AchangLongchuan_L1	PROSODY_AchangLongchuan_L2	PROSODY_AchangLongchuan_L3	PROSODY_AchangLongchuan_R1	PROSODY_AchangLongchuan_R2	PROSODY_AchangLongchuan_R3	id_Atsi	segment_Atsi	segment_Atsi_L1	segment_Atsi_L2	segment_Atsi_L3	segment_Atsi_R1	segment_Atsi_R2	segment_Atsi_R3	SC_Atsi	SC_Atsi_L1	SC_Atsi_L2	SC_Atsi_L3	SC_Atsi_R1	SC_Atsi_R2	SC_Atsi_R3	PROSODY_Atsi	PROSODY_Atsi_L1	PROSODY_Atsi_L2	PROSODY_Atsi_L3	PROSODY_Atsi_R1	PROSODY_Atsi_R2	PROSODY_Atsi_R3	id_Bola	segment_Bola	segment_Bola_L1	segment_Bola_L2	segment_Bola_L3	segment_Bola_R1	segment_Bola_R2	segment_Bola_R3	SC_Bola	SC_Bola_L1	SC_Bola_L2	SC_Bola_L3	SC_Bola_R1	SC_Bola_R2	SC_Bola_R3	PROSODY_Bola	PROSODY_Bola_L1	PROSODY_Bola_L2	PROSODY_Bola_L3	PROSODY_Bola_R1	PROSODY_Bola_R2	PROSODY_Bola_R3	id_Lashi	segment_Lashi	segment_Lashi_L1	segment_Lashi_L2	segment_Lashi_L3	segment_Lashi_R1	segment_Lashi_R2	segment_Lashi_R3	SC_Lashi	SC_Lashi_L1	SC_Lashi_L2	SC_Lashi_L3	SC_Lashi_R1	SC_Lashi_R2	SC_Lashi_R3	PROSODY_Lashi	PROSODY_Lashi_L1	PROSODY_Lashi_L2	PROSODY_Lashi_L3	PROSODY_Lashi_R1	PROSODY_Lashi_R2	PROSODY_Lashi_R3	id_Maru	segment_Maru	segment_Maru_L1	segment_Maru_L2	segment_Maru_L3	segment_Maru_R1	segment_Maru_R2	segment_Maru_R3	SC_Maru	SC_Maru_L1	SC_Maru_L2	SC_Maru_L3	SC_Maru_R1	SC_Maru_R2	SC_Maru_R3	PROSODY_Maru	PROSODY_Maru_L1	PROSODY_Maru_L2	PROSODY_Maru_L3	PROSODY_Maru_R1	PROSODY_Maru_R2	PROSODY_Maru_R3	id_OldBurmese	segment_OldBurmese	segment_OldBurmese_L1	segment_OldBurmese_L2	segment_OldBurmese_L3	segment_OldBurmese_R1	segment_OldBurmese_R2	segment_OldBurmese_R3	SC_OldBurmese	SC_OldBurmese_L1	SC_OldBurmese_L2	SC_OldBurmese_L3	SC_OldBurmese_R1	SC_OldBurmese_R2	SC_OldBurmese_R3	PROSODY_OldBurmese	PROSODY_OldBurmese_L1	PROSODY_OldBurmese_L2	PROSODY_OldBurmese_L3	PROSODY_OldBurmese_R1	PROSODY_OldBurmese_R2	PROSODY_OldBurmese_R3	id_ProtoBurmish	segment_ProtoBurmish	segment_ProtoBurmish_L1	segment_ProtoBurmish_L2	segment_ProtoBurmish_L3	segment_ProtoBurmish_R1	segment_ProtoBurmish_R2	segment_ProtoBurmish_R3	SC_ProtoBurmish	SC_ProtoBurmish_L1	SC_ProtoBurmish_L2	SC_ProtoBurmish_L3	SC_ProtoBurmish_R1	SC_ProtoBurmish_R2	SC_ProtoBurmish_R3	PROSODY_ProtoBurmish	PROSODY_ProtoBurmish_L1	PROSODY_ProtoBurmish_L2	PROSODY_ProtoBurmish_L3	PROSODY_ProtoBurmish_R1	PROSODY_ProtoBurmish_R2	PROSODY_ProtoBurmish_R3	id_Rangoon	segment_Rangoon	segment_Rangoon_L1	segment_Rangoon_L2	segment_Rangoon_L3	segment_Rangoon_R1	segment_Rangoon_R2	segment_Rangoon_R3	SC_Rangoon	SC_Rangoon_L1	SC_Rangoon_L2	SC_Rangoon_L3	SC_Rangoon_R1	SC_Rangoon_R2	SC_Rangoon_R3	PROSODY_Rangoon	PROSODY_Rangoon_L1	PROSODY_Rangoon_L2	PROSODY_Rangoon_L3	PROSODY_Rangoon_R1	PROSODY_Rangoon_R2	PROSODY_Rangoon_R3	id_Xiandao	segment_Xiandao	segment_Xiandao_L1	segment_Xiandao_L2	segment_Xiandao_L3	segment_Xiandao_R1	segment_Xiandao_R2	segment_Xiandao_R3	SC_Xiandao	SC_Xiandao_L1	SC_Xiandao_L2	SC_Xiandao_L3	SC_Xiandao_R1	SC_Xiandao_R2	SC_Xiandao_R3	PROSODY_Xiandao	PROSODY_Xiandao_L1	PROSODY_Xiandao_L2	PROSODY_Xiandao_L3	PROSODY_Xiandao_R1	PROSODY_Xiandao_R2	PROSODY_Xiandao_R3
1	0.3333	3	1.0000	2	1	p	∅	∅	∅	ɔ	³¹	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅																																																																																																															2	b	∅	∅	∅	a	²	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	2	1	ɔ	p	∅	∅	³¹	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																																																																																															2	a	b	∅	∅	²	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	2	1	³¹	ɔ	p	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																																																																																															2	²	a	b	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																												
1	0.2500	4	1.0000	6	3	p	∅	∅	∅	ʐ	a	⁵⁵	P	∅	∅	∅	S	A	_	1	∅	∅	∅	3	7	0																																																																			4	p	∅	∅	∅	j	ɛ	³¹	P	∅	∅	∅	J	E	_	1	∅	∅	∅	6	7	0																							5	b	∅	∅	∅	r	ɛ	¹	P	∅	∅	∅	R	E	_	1	∅	∅	∅	5	7	0																																												
2	0.5000	3	0.7500	6	3	ʐ	p	∅	∅	a	⁵⁵	∅	S	P	∅	∅	A	_	∅	3	1	∅	∅	7	0	∅																																																																			4	j	p	∅	∅	ɛ	³¹	∅	J	P	∅	∅	E	_	∅	6	1	∅	∅	7	0	∅																							5	r	b	∅	∅	ɛ	¹	∅	R	P	∅	∅	E	_	∅	5	1	∅	∅	7	0	∅																																												
3	0.7500	2	0.5000	6	3	a	ʐ	p	∅	⁵⁵	∅	∅	A	S	P	∅	_	∅	∅	7	3	1	∅	0	∅	∅																																																																			4	ɛ	j	p	∅	³¹	∅	∅	E	J	P	∅	_	∅	∅	7	6	1	∅	0	∅	∅																							5	ɛ	r	b	∅	¹	∅	∅	E	R	P	∅	_	∅	∅	7	5	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	6	3	⁵⁵	a	ʐ	p	∅	∅	∅	_	A	S	P	∅	∅	∅	0	7	3	1	∅	∅	∅																																																																			4	³¹	ɛ	j	p	∅	∅	∅	_	E	J	P	∅	∅	∅	0	7	6	1	∅	∅	∅																							5	¹	ɛ	r	b	∅	∅	∅	_	E	R	P	∅	∅	∅	0	7	5	1	∅	∅	∅																																												
1	0.2500	4	1.0000	9																																													6	p	∅	∅	∅	ɛ	ʔ	³¹	P	∅	∅	∅	E	H	_	1	∅	∅	∅	7	1	0																							7	p	∅	∅	∅	ɛ	ʔ	³¹	P	∅	∅	∅	E	H	_	1	∅	∅	∅	7	1	0																																																																																								
2	0.5000	3	0.7500	9																																													6	ɛ	p	∅	∅	ʔ	³¹	∅	E	P	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																							7	ɛ	p	∅	∅	ʔ	³¹	∅	E	P	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																																																																																								
3	0.7500	2	0.5000	9																																													6	ʔ	ɛ	p	∅	³¹	∅	∅	H	E	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																							7	ʔ	ɛ	p	∅	³¹	∅	∅	H	E	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																																																																								
4	1.0000	1	0.2500	9																																													6	³¹	ʔ	ɛ	p	∅	∅	∅	_	H	E	P	∅	∅	∅	0	1	7	1	∅	∅	∅																							7	³¹	ʔ	ɛ	p	∅	∅	∅	_	H	E	P	∅	∅	∅	0	1	7	1	∅	∅	∅																																																																																								
1	0.2500	4	1.0000	11																																																																																																															8	p	∅	∅	∅	a	k	-	P	∅	∅	∅	A	K	_	1	∅	∅	∅	7	1	0	9	b	∅	∅	∅	a	k	⁴	P	∅	∅	∅	A	K	_	1	∅	∅	∅	7	1	0																																												
2	0.5000	3	0.7500	11																																																																																																															8	a	p	∅	∅	k	-	∅	A	P	∅	∅	K	_	∅	7	1	∅	∅	1	0	∅	9	a	b	∅	∅	k	⁴	∅	A	P	∅	∅	K	_	∅	7	1	∅	∅	1	0	∅																																												
3	0.7500	2	0.5000	11																																																																																																															8	k	a	p	∅	-	∅	∅	K	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅	9	k	a	b	∅	⁴	∅	∅	K	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	11																																																																																																															8	-	k	a	p	∅	∅	∅	_	K	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅	9	⁴	k	a	b	∅	∅	∅	_	K	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅																																												
1	0.2000	5	1.0000	14																																																																																									10	p	∅	∅	∅	j	i	k	P	∅	∅	∅	J	I	K	1	∅	∅	∅	6	7	1																							11	b	∅	∅	∅	j	i	-	P	∅	∅	∅	J	I	_	1	∅	∅	∅	6	7	0																																												
2	0.4000	4	0.8000	14																																																																																									10	j	p	∅	∅	i	k	³¹	J	P	∅	∅	I	K	_	6	1	∅	∅	7	1	0																							11	j	b	∅	∅	i	-	¹	J	P	∅	∅	I	_	_	6	1	∅	∅	7	0	0																																												
3	0.6000	3	0.6000	14																																																																																									10	i	j	p	∅	k	³¹	∅	I	J	P	∅	K	_	∅	7	6	1	∅	1	0	∅																							11	i	j	b	∅	-	¹	∅	I	J	P	∅	_	_	∅	7	6	1	∅	0	0	∅																																												
4	0.8000	2	0.4000	14																																																																																									10	k	i	j	p	³¹	∅	∅	K	I	J	P	_	∅	∅	1	7	6	1	0	∅	∅																							11	-	i	j	b	¹	∅	∅	_	I	J	P	_	∅	∅	0	7	6	1	0	∅	∅																																												
5	1.0000	1	0.2000	14																																																																																									10	³¹	k	i	j	∅	∅	∅	_	K	I	J	∅	∅	∅	0	1	7	6	∅	∅	∅																							11	¹	-	i	j	∅	∅	∅	_	_	I	J	∅	∅	∅	0	0	7	6	∅	∅	∅																																												
1	0.2500	4	1.0000	18	12	p	∅	∅	∅	i	-	³¹	P	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																							13	p	∅	∅	∅	i	-	³¹	P	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																																													14	p	∅	∅	∅	i	j	⁵	P	∅	∅	∅	I	J	_	1	∅	∅	∅	7	6	0	15	b	∅	∅	∅	i	-	²	P	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																																												
2	0.5000	3	0.7500	18	12	i	p	∅	∅	-	³¹	∅	I	P	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							13	i	p	∅	∅	-	³¹	∅	I	P	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																																													14	i	p	∅	∅	j	⁵	∅	I	P	∅	∅	J	_	∅	7	1	∅	∅	6	0	∅	15	i	b	∅	∅	-	²	∅	I	P	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																																												
3	0.7500	2	0.5000	18	12	-	i	p	∅	³¹	∅	∅	_	I	P	∅	_	∅	∅	0	7	1	∅	0	∅	∅																							13	-	i	p	∅	³¹	∅	∅	_	I	P	∅	_	∅	∅	0	7	1	∅	0	∅	∅																																													14	j	i	p	∅	⁵	∅	∅	J	I	P	∅	_	∅	∅	6	7	1	∅	0	∅	∅	15	-	i	b	∅	²	∅	∅	_	I	P	∅	_	∅	∅	0	7	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	18	12	³¹	-	i	p	∅	∅	∅	_	_	I	P	∅	∅	∅	0	0	7	1	∅	∅	∅																							13	³¹	-	i	p	∅	∅	∅	_	_	I	P	∅	∅	∅	0	0	7	1	∅	∅	∅																																													14	⁵	j	i	p	∅	∅	∅	_	J	I	P	∅	∅	∅	0	6	7	1	∅	∅	∅	15	²	-	i	b	∅	∅	∅	_	_	I	P	∅	∅	∅	0	0	7	1	∅	∅	∅																																												
1	0.2000	5	1.0000	38																																													16	p	∅	∅	∅	j	a	k	P	∅	∅	∅	J	A	K	1	∅	∅	∅	6	7	1																							17	p	∅	∅	∅	j	a	k	P	∅	∅	∅	J	A	K	1	∅	∅	∅	6	7	1																							18	b	∅	∅	∅	j	i	k	P	∅	∅	∅	J	I	K	1	∅	∅	∅	6	7	1																																												
2	0.4000	4	0.8000	38																																													16	j	p	∅	∅	a	k	³¹	J	P	∅	∅	A	K	_	6	1	∅	∅	7	1	0																							17	j	p	∅	∅	a	k	³¹	J	P	∅	∅	A	K	_	6	1	∅	∅	7	1	0																							18	j	b	∅	∅	i	k	⁴	J	P	∅	∅	I	K	_	6	1	∅	∅	7	1	0																																												
3	0.6000	3	0.6000	38																																													16	a	j	p	∅	k	³¹	∅	A	J	P	∅	K	_	∅	7	6	1	∅	1	0	∅																							17	a	j	p	∅	k	³¹	∅	A	J	P	∅	K	_	∅	7	6	1	∅	1	0	∅																							18	i	j	b	∅	k	⁴	∅	I	J	P	∅	K	_	∅	7	6	1	∅	1	0	∅																																												
4	0.8000	2	0.4000	38																																													16	k	a	j	p	³¹	∅	∅	K	A	J	P	_	∅	∅	1	7	6	1	0	∅	∅																							17	k	a	j	p	³¹	∅	∅	K	A	J	P	_	∅	∅	1	7	6	1	0	∅	∅																							18	k	i	j	b	⁴	∅	∅	K	I	J	P	_	∅	∅	1	7	6	1	0	∅	∅																																												
5	1.0000	1	0.2000	38																																													16	³¹	k	a	j	∅	∅	∅	_	K	A	J	∅	∅	∅	0	1	7	6	∅	∅	∅																							17	³¹	k	a	j	∅	∅	∅	_	K	A	J	∅	∅	∅	0	1	7	6	∅	∅	∅																							18	⁴	k	i	j	∅	∅	∅	_	K	I	J	∅	∅	∅	0	1	7	6	∅	∅	∅																																												
1	0.2000	5	1.0000	41																																													19	p	∅	∅	∅	j	a	ŋ	P	∅	∅	∅	J	A	N	1	∅	∅	∅	6	7	4																																																																			20	b	∅	∅	∅	j	i	ŋ	P	∅	∅	∅	J	I	N	1	∅	∅	∅	6	7	4																																												
2	0.4000	4	0.8000	41																																													19	j	p	∅	∅	a	ŋ	³⁵	J	P	∅	∅	A	N	_	6	1	∅	∅	7	4	0																																																																			20	j	b	∅	∅	i	ŋ	³	J	P	∅	∅	I	N	_	6	1	∅	∅	7	4	0																																												
3	0.6000	3	0.6000	41																																													19	a	j	p	∅	ŋ	³⁵	∅	A	J	P	∅	N	_	∅	7	6	1	∅	4	0	∅																																																																			20	i	j	b	∅	ŋ	³	∅	I	J	P	∅	N	_	∅	7	6	1	∅	4	0	∅																																												
4	0.8000	2	0.4000	41																																													19	ŋ	a	j	p	³⁵	∅	∅	N	A	J	P	_	∅	∅	4	7	6	1	0	∅	∅																																																																			20	ŋ	i	j	b	³	∅	∅	N	I	J	P	_	∅	∅	4	7	6	1	0	∅	∅																																												
5	1.0000	1	0.2000	41																																													19	³⁵	ŋ	a	j	∅	∅	∅	_	N	A	J	∅	∅	∅	0	4	7	6	∅	∅	∅																																																																			20	³	ŋ	i	j	∅	∅	∅	_	N	I	J	∅	∅	∅	0	4	7	6	∅	∅	∅																																												
1	0.1667	6	1.0000	42																																																																																																															21	p	∅	∅	∅	l	a	ɲ	P	∅	∅	∅	L	A	N	1	∅	∅	∅	5	7	4	22	b	∅	∅	∅	l	i	ŋ	P	∅	∅	∅	L	I	N	1	∅	∅	∅	5	7	4																																												
2	0.3333	5	0.8333	42																																																																																																															21	l	p	∅	∅	a	ɲ	ʔ	L	P	∅	∅	A	N	H	5	1	∅	∅	7	4	1	22	l	b	∅	∅	i	ŋ	-	L	P	∅	∅	I	N	_	5	1	∅	∅	7	4	0																																												
3	0.5000	4	0.6667	42																																																																																																															21	a	l	p	∅	ɲ	ʔ	-	A	L	P	∅	N	H	_	7	5	1	∅	4	1	0	22	i	l	b	∅	ŋ	-	³	I	L	P	∅	N	_	_	7	5	1	∅	4	0	0																																												
4	0.6667	3	0.5000	42																																																																																																															21	ɲ	a	l	p	ʔ	-	∅	N	A	L	P	H	_	∅	4	7	5	1	1	0	∅	22	ŋ	i	l	b	-	³	∅	N	I	L	P	_	_	∅	4	7	5	1	0	0	∅																																												
5	0.8333	2	0.3333	42																																																																																																															21	ʔ	ɲ	a	l	-	∅	∅	H	N	A	L	_	∅	∅	1	4	7	5	0	∅	∅	22	-	ŋ	i	l	³	∅	∅	_	N	I	L	_	∅	∅	0	4	7	5	0	∅	∅																																												
6	1.0000	1	0.1667	42																																																																																																															21	-	ʔ	ɲ	a	∅	∅	∅	_	H	N	A	∅	∅	∅	0	1	4	7	∅	∅	∅	22	³	-	ŋ	i	∅	∅	∅	_	_	N	I	∅	∅	∅	0	0	4	7	∅	∅	∅																																												
1	0.3333	3	1.0000	43	23	p	∅	∅	∅	a	⁵⁵	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																																																																																																															24	b	∅	∅	∅	ɛ	¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	43	23	a	p	∅	∅	⁵⁵	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																																																																																															24	ɛ	b	∅	∅	¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	43	23	⁵⁵	a	p	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																																																																																															24	¹	ɛ	b	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																												
1	0.2500	4	1.0000	44																																													25	p	∅	∅	∅	j	ɛ	⁵⁵	P	∅	∅	∅	J	E	_	1	∅	∅	∅	6	7	0	26	p	∅	∅	∅	-	i	³¹	P	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0																																													27	b	∅	∅	∅	j	ɛ	¹	P	∅	∅	∅	J	E	_	1	∅	∅	∅	6	7	0																							28	p	∅	∅	∅	-	a	⁵⁵	P	∅	∅	∅	_	A	_	1	∅	∅	∅	0	7	0
2	0.5000	3	0.7500	44																																													25	j	p	∅	∅	ɛ	⁵⁵	∅	J	P	∅	∅	E	_	∅	6	1	∅	∅	7	0	∅	26	-	p	∅	∅	i	³¹	∅	_	P	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅																																													27	j	b	∅	∅	ɛ	¹	∅	J	P	∅	∅	E	_	∅	6	1	∅	∅	7	0	∅																							28	-	p	∅	∅	a	⁵⁵	∅	_	P	∅	∅	A	_	∅	0	1	∅	∅	7	0	∅
3	0.7500	2	0.5000	44																																													25	ɛ	j	p	∅	⁵⁵	∅	∅	E	J	P	∅	_	∅	∅	7	6	1	∅	0	∅	∅	26	i	-	p	∅	³¹	∅	∅	I	_	P	∅	_	∅	∅	7	0	1	∅	0	∅	∅																																													27	ɛ	j	b	∅	¹	∅	∅	E	J	P	∅	_	∅	∅	7	6	1	∅	0	∅	∅																							28	a	-	p	∅	⁵⁵	∅	∅	A	_	P	∅	_	∅	∅	7	0	1	∅	0	∅	∅
4	1.0000	1	0.2500	44																																													25	⁵⁵	ɛ	j	p	∅	∅	∅	_	E	J	P	∅	∅	∅	0	7	6	1	∅	∅	∅	26	³¹	i	-	p	∅	∅	∅	_	I	_	P	∅	∅	∅	0	7	0	1	∅	∅	∅																																													27	¹	ɛ	j	b	∅	∅	∅	_	E	J	P	∅	∅	∅	0	7	6	1	∅	∅	∅																							28	⁵⁵	a	-	p	∅	∅	∅	_	A	_	P	∅	∅	∅	0	7	0	1	∅	∅	∅
1	0.2000	5	1.0000	47	29	p	∅	∅	∅	ʐ	ə	ŋ	P	∅	∅	∅	S	E	N	1	∅	∅	∅	3	7	4																																																																			30	p	∅	∅	∅	j	a	ŋ	P	∅	∅	∅	J	A	N	1	∅	∅	∅	6	7	4	31	p	∅	∅	∅	r	a	ɲ	P	∅	∅	∅	R	A	N	1	∅	∅	∅	5	7	4	32	b	∅	∅	∅	r	i	ŋ	P	∅	∅	∅	R	I	N	1	∅	∅	∅	5	7	4																																												
