ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	MonpaDirang	a ʃ i	a ʃ i	2
2	MonpaNamsu	a ʃ i	a ʃ i	2
3	MonpaTembang	a ʃ i	a ʃ i	2
4	MonpaSangti	dʒ a ŋ	dʒ a ŋ	5
5	MonpaTomko	dʒ a ŋ	dʒ a ŋ	5
6	MonpaDirangDum	z a m i ŋ	z a m i ŋ - - - - -	66
7	MonpaSangti	z a m i n	z a m i n - - - - -	66
8	MonpaTomko	z a m i n z i m b u	z a m i n z i m b u	66
9	MonpaKalaktang	n a n	n a n	67
10	MonpaNamsu	n a n	n a n	67
11	MonpaBalemu	d̪ a n	d̪ a n	72
12	MonpaDirangDum	d̪ a n	d̪ a n	72
13	MonpaSangti	d̪ a n	d̪ a n	72
14	MonpaKalaktang	n a n	n a n	74
15	MonpaNamsu	n a n	n a n	74
16	MonpaNamsu	kʰ a r i	kʰ a r i	117
17	MonpaTembang	kʰ a r i	kʰ a r i	117
18	MonpaBalemu	dʒ a p	dʒ a p	134
19	MonpaTomko	dʒ a p	dʒ a p	134
20	MonpaDirang	tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ	135
21	MonpaDirangDum	tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ	135
22	MonpaKalaktang	tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ	135
23	MonpaNamsu	g e tʃ i k	g e tʃ i k	136
24	MonpaSangti	g e tʃ i	g e tʃ i -	136
25	MonpaTembang	g e tʃ i k	g e tʃ i k	136
26	MonpaBalemu	l i ʃ i ŋ	l i ʃ i ŋ	153
27	MonpaKalaktang	l i ʃ i ŋ	l i ʃ i ŋ	153
28	MonpaDirang	pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a	200
29	MonpaDirangDum	pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a	200
30	MonpaSangti	pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a	200
31	MonpaTembang	pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a	200
32	MonpaNamsu	t o ŋ t e	t o ŋ t e	202
33	MonpaTomko	t o ŋ t e	t o ŋ t e	202
34	MonpaBalemu	kʰ a l u	kʰ a l u	238
35	MonpaKalaktang	kʰ a l u	kʰ a l u	238
36	MonpaTomko	kʰ a l u	kʰ a l u	238
37	MonpaDirang	kʰ a w a n	kʰ a w a n	239
38	MonpaDirangDum	kʰ a w a n	kʰ a w a n	239
39	MonpaSangti	kʰ a w a n	kʰ a w a n	239
40	MonpaBalemu	j i	j i	266
41	MonpaKalaktang	j i	j i	266
42	MonpaDirang	dʒ a tʃ i	dʒ a - tʃ i	276
43	MonpaSangti	dʒ a ɲ tʃ i	dʒ a ɲ tʃ i	276
44	MonpaBalemu	a l e j a k	a l e j a k	310
45	MonpaKalaktang	a l a k	a l - - a k	310
46	MonpaTomko	a l j a k	a l - j a k	310
47	MonpaDirang	d a	d a	311
48	MonpaNamsu	d a	d a	311
49	MonpaSangti	d a	d a	311
50	MonpaTembang	d a	d a	311
51	MonpaBalemu	m u m t̪ o k l o m	m u m t̪ o k l o m	347
52	MonpaKalaktang	m u m t̪ o k l o m	m u m t̪ o k l o m	347
53	MonpaBalemu	k o b i	k o b i	373
54	MonpaDirang	k o b i	k o b i	373
55	MonpaSangti	k o b i	k o b i	373
56	MonpaBalemu	g u ɾ gʱ a ŋ	g u ɾ gʱ a ŋ	379
57	MonpaKalaktang	kʰ u r kʰ a ŋ	kʰ u r kʰ a ŋ	379
58	MonpaNamsu	kʰ u r kʰ a ŋ	kʰ u r kʰ a ŋ	379
59	MonpaTembang	kʰ u r kʰ a ŋ	kʰ u r kʰ a ŋ	379
60	MonpaDirang	d̪ o ŋ p a	d̪ o ŋ p a	380
61	MonpaDirangDum	d̪ u ŋ p a	d̪ u ŋ p a	380
62	MonpaTomko	t o ŋ p a	t o ŋ p a	380
63	MonpaBalemu	g u w a	g u w a	388
64	MonpaKalaktang	g o w a	g o w a	388
65	MonpaDirang	kʰ a m tʃ u d a ŋ	kʰ a m tʃ u d a ŋ	416
66	MonpaSangti	kʰ a m tʃ u d a ŋ	kʰ a m tʃ u d a ŋ	416
67	MonpaBalemu	n a ɾ i k o l	n a ɾ i k o l	445
68	MonpaTomko	n a ɾ i k o l	n a ɾ i k o l	445
69	MonpaDirang	n a ɾ i j a l	n a ɾ i j a l	446
70	MonpaNamsu	n a ɾ i j a l	n a ɾ i j a l	446
71	MonpaTembang	n a ɾ i j a l	n a ɾ i j a l	446
72	MonpaDirangDum	kʰ u r l a	kʰ u r l a -	454
73	MonpaKalaktang	k u r b a n	k u r b a n	454
74	MonpaSangti	kʰ u r l a	kʰ u r l a -	454
75	MonpaBalemu	t o	t o	463
76	MonpaKalaktang	t o	t o	463
77	MonpaDirangDum	t̪ i n u ŋ a m tʰ u r	t̪ i n u ŋ a m tʰ u r	509
78	MonpaKalaktang	ŋ a m tʰ u r	- - - - ŋ a m tʰ u r	509
79	MonpaBalemu	t i ŋ p u	t i ŋ p u	517
80	MonpaKalaktang	t i ŋ p u	t i ŋ p u	517
81	MonpaDirang	t o ŋ tʃ e n	t o ŋ tʃ e n	518
82	MonpaNamsu	t o ŋ tʃ e n	t o ŋ tʃ e n	518
83	MonpaSangti	t o ŋ tʃ e n	t o ŋ tʃ e n	518
84	MonpaTembang	t o ŋ tʃ e n	t o ŋ tʃ e n	518
85	MonpaBalemu	s a ŋ k a	s a ŋ k a	562
86	MonpaKalaktang	s a ŋ k a	s a ŋ k a	562
87	MonpaBalemu	b l a s a	b l a s a	580
88	MonpaTomko	b l a s a	b l a s a	580
89	MonpaBalemu	p u r tʃ i	p u r tʃ i	582
90	MonpaKalaktang	p u r tʃ i	p u r tʃ i	582
91	MonpaBalemu	n a	n a	590
92	MonpaKalaktang	n a	n a	590
93	MonpaTomko	n a	n a	590
94	MonpaBalemu	a t a	a t a	635
95	MonpaKalaktang	a t a	a t a	635
96	MonpaBalemu	tʰ a ŋ p u	tʰ a ŋ p u	728
97	MonpaTomko	tʰ a ŋ p u	tʰ a ŋ p u	728
98	MonpaDirang	b i ŋ tʃ e n	b i ŋ tʃ e n	729
99	MonpaDirangDum	b i ŋ tʃ e n	b i ŋ tʃ e n	729
100	MonpaSangti	b i ŋ tʃ e n	b i ŋ tʃ e n	729
101	MonpaTembang	b i ŋ tʃ e n	b i ŋ tʃ e n	729
102	MonpaDirang	tʃ j a m t u ɾ t a	tʃ j a m t u ɾ t a	755
103	MonpaDirangDum	tʃ j a m t u ɾ t a	tʃ j a m t u ɾ t a	755
104	MonpaBalemu	g a ɾ a ŋ tʃ i ŋ n a ŋ	g a ɾ a ŋ tʃ i ŋ n a ŋ	773
105	MonpaKalaktang	g ă z a ŋ tʃ i ŋ n a	g ă z a ŋ tʃ i ŋ n a -	773
106	MonpaNamsu	g a ɾ a ŋ tʃ i ŋ n a ŋ	g a ɾ a ŋ tʃ i ŋ n a ŋ	773
107	MonpaTembang	g a ɾ a ŋ tʃ i ŋ n a ŋ	g a ɾ a ŋ tʃ i ŋ n a ŋ	773
108	MonpaDirang	tʃ i n a ŋ	tʃ i n a ŋ	774
109	MonpaDirangDum	tʃ i n a ŋ	tʃ i n a ŋ	774
110	MonpaSangti	tʃ i n a ŋ	tʃ i n a ŋ	774
111	MonpaTomko	tʃ i n a ŋ	tʃ i n a ŋ	774
112	MonpaBalemu	p a i pʰ u	p a i pʰ u	854
113	MonpaKalaktang	p a i p u	p a i p u	854
114	MonpaTomko	p e p u	p e - p u	854
115	MonpaDirang	b e ŋ k u ɾ t a	b e ŋ k u ɾ t a	855
116	MonpaNamsu	b e ŋ k u t̪ a	b e ŋ k u - t̪ a	855
117	MonpaSangti	b e ŋ k u t̪ a	b e ŋ k u - t̪ a	855
118	MonpaDirangDum	k j a k p a	k j a k p a	856
119	MonpaTembang	k j a k p a	k j a k p a	856
120	MonpaBalemu	s e	s e	863
121	MonpaDirangDum	s e	s e	863
122	MonpaKalaktang	s e	s e	863
123	MonpaDirang	g o ŋ	g o ŋ	864
124	MonpaNamsu	g o ŋ	g o ŋ	864
125	MonpaSangti	z a s	z a s	865
126	MonpaTembang	z a s	z a s	865
127	MonpaBalemu	pʰ u ŋ k a	pʰ u ŋ k a	872
128	MonpaKalaktang	pʰ u ŋ k a	pʰ u ŋ k a	872
129	MonpaBalemu	l j a k p u	l j a k p u	908
130	MonpaKalaktang	l e k p u	- l e k p u	908
131	MonpaTomko	j a k p u	- j a k p u	908
132	MonpaDirang	tʰ o ŋ	- - tʰ o ŋ	936
133	MonpaDirangDum	tʰ o ŋ	- - tʰ o ŋ	936
134	MonpaNamsu	t o ŋ	- - t o ŋ	936
135	MonpaSangti	kʰ a t o ŋ	kʰ a t o ŋ	936
136	MonpaBalemu	s e m	s e m	962
137	MonpaNamsu	s e m	s e m	962
138	MonpaTomko	s e m	s e m	962
139	MonpaDirangDum	tʰ i m l u ŋ	tʰ i m l u ŋ	964
140	MonpaSangti	tʰ i m l u ŋ	tʰ i m l u ŋ	964
