ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	kitemoka	a r i k o	- a r i k - o - -	3
2	more	k o r a r i	k o r a r - i - -	3
3	orowin	w o r i k o	w o r i k - o - -	3
4	tapakura	a r i k a h u	- a r i k - a h u	3
5	tora	w a r i k o	w a r i k - o - -	3
6	urupa	o k a i n	- o k a - - i n -	3
7	wanyam	a r u k w a n	- a r u k w a n -	3
8	wari	w i r i k o	w i r i k - o - -	3
9	kitemoka	w a tʃ e	w a tʃ e - -	4
10	more	w a t i ʔ	w a t i ʔ -	4
11	orowin	w a r i ʔ	w a r i ʔ -	4
12	tapakura	w a j a h u	w a j a h u	4
13	tora	w a z a t i	w a z a t i	4
14	urupa	w a r i	w a r i - -	4
15	wanyam	w a r i	w a r i - -	4
16	wari	w a r i ʔ	w a r i ʔ -	4
17	more	w u r a	w u r a -	5
18	orowin	f u ʔ	f u ʔ - -	5
19	tora	w i h u	w i h u -	5
20	wari	w a h u ʔ	w a h u ʔ	5
21	orowin	w o r i k o k o	w o r i k o k o	6
22	tora	w a r i k o	w a r i k - - o	6
23	wari	w i r i k o k o	w i r i k o k o	6
24	more	a t i	a t i	9
25	orowin	a t i	a t i	9
26	more	t i k o w	t i - k o w	10
27	tora	t e o k a j	t e o k a j	10
28	wari	k a ɲ	- - - k a ɲ	10
29	orowin	m i j a ʔ	m i j a ʔ	11
30	tora	j a b	- - j a b	11
31	wari	m i j a	m i j a -	11
32	cojubim	n a p a	n a p a	12
33	more	n a p a	n a p a	12
34	orowin	n a p a	n a p a	12
35	orowin	k a w a s a n	k a - w a s a n	18
36	wari	t o k w a n	t o k w - - a n	18
37	cojubim	t a n	- - - - t a - n	21
38	more	t a n	- - - - t a - n	21
39	orowin	k a w a s a n	k a w a s a - n	21
40	tapakura	t a n	- - - - t a - n	21
41	tora	k w a t a d n	k - w a t a d n	21
42	wanyam	k a w a tʃ y k	k a w a tʃ y - k	21
43	cojubim	w a k o r a n	w a k o r - - - - a n	24
44	more	p o k o r a n	p o k o r - - - - a n	24
45	tapakura	w a g a r a g a t a n	w a g a r a g a t a n	24
46	tora	k u r a d n	- - k u r a d - - - n	24
47	wanyam	k a r i k a n	- - k a r i k - - a n	24
48	wari	t y k y	- - - - t y k - - y -	24
49	jaru	h o r a	h - o r a -	27
50	orowin	f o r a ʔ	f - o r a ʔ	27
51	wari	h w a r a ʔ	h w a r a ʔ	27
52	orowin	e k e m	e - - k e - m	28
53	tora	u k a d n	u - - k a d n	28
54	urupa	e v e k e m	e v e k e - m	28
55	cojubim	i n a	i n a	30
56	more	i n a	i n a	30
57	orowin	w i j a m a n	w i j a m a n	34
58	urupa	i a m a j	- i - a m a j	34
59	wanyam	w i j i k u n	w i j i k u n	34
60	wari	w i j i m a	w i j i m a -	34
61	kitemoka	p i ʃ i t i k o	p i ʃ i t i k o -	35
62	tapakura	m i tʃ i t i k o n	m i tʃ i t i k o n	35
63	cojubim	e	e - -	36
64	more	e j e	e j e	36
