ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	Fadashi	f i ʃ	f i ʃ	20
2	Maiyu	f i ʃ	f i ʃ	20
3	Fadashi	k ʔ a s ʔ i	k ʔ a s ʔ i	64
4	Maiyu	k ʔ ə s ʔ i	k ʔ ə s ʔ i	64
5	Fadashi	d iː d e	d iː d e	80
6	Maiyu	d i ɗ i	d i ɗ i	80
7	BelejeGonfoye	o l g ɪ n e	o l g ɪ n e	100
8	Fadashi	o l g i ŋ i	o l g i ŋ i	100
9	Maiyu	ɔ l g ɪ ɲ i	ɔ l g ɪ ɲ i	100
10	Fadashi	s u k u l i ŋ e	s u k u l i ŋ e	116
11	Undulu	s u k u θ i ŋ e	s u k u θ i ŋ e	116
12	Maiyu	a ŋ	- a ŋ	124
13	Undulu	g a ŋ	g a ŋ	124
14	Fadashi	s uː w a ʔ i	s - uː w a ʔ i	129
15	Maiyu	s ʔ ʊ w i	s ʔ ʊ w - - i	129
16	Fadashi	a sː e	a sː e	145
17	Maiyu	a sː e	a sː e	145
18	Fadashi	ɓ ə ɗ e	ɓ ə ɗ e	161
19	Undulu	ɓ ɛ ɗ e	ɓ ɛ ɗ e	161
20	BelejeGonfoye	ɓ uː ɗ e	ɓ uː ɗ e	173
21	Maiyu	ɓ u d a	ɓ u d a	173
22	Undulu	ɓ u ɗ i	ɓ u ɗ i	173
23	Fadashi	k ʔ u r f e	k ʔ u r f e	182
24	Maiyu	k ʔ u r f e	k ʔ u r f e	182
25	BelejeGonfoye	mʷ ɔː n e	mʷ ɔː n e	217
26	Fadashi	mː oː n e	mː oː n e	217
27	Maiyu	m uː f a	m uː f a	218
28	Undulu	m uː f o	m uː f o	218
29	Maiyu	k ʊ r s i	- - k ʊ r s i	230
30	Undulu	a l k u r s i	a l k u r s i	230
31	Fadashi	m i s e	m i s e -	234
32	Undulu	m ɪ s e ʔ	m ɪ s e ʔ	234
33	Fadashi	o r	o r	247
34	Maiyu	ɔ r	ɔ r	247
35	Undulu	o r	o r	247
36	Fadashi	m a	m a	263
37	Maiyu	m ə	m ə	263
38	Undulu	m a	m a	263
39	Fadashi	g aː ʃ a	g aː ʃ a	264
40	Maiyu	g aː ʃ a	g aː ʃ a	264
41	Undulu	g aː ʃ a	g aː ʃ a	264
42	Fadashi	aː m i l e	aː m i l e	272
43	Maiyu	a m i l u	a m i l u	272
44	BelejeGonfoye	i l o	i l o	296
45	Maiyu	i l e	i l e	296
46	Undulu	i l e	i l e	296
47	Maiyu	ʃ ɛ r	ʃ ɛ r	298
48	Undulu	ʃ e r	ʃ e r	298
49	BelejeGonfoye	m uː ʃ e	m uː ʃ e	308
50	Fadashi	m u ʃ e	m u ʃ e	308
51	Maiyu	m u ʃ a	m u ʃ a	308
52	Fadashi	aː m oː s o	aː m oː s o	326
53	Maiyu	a m ɔː z o	a m ɔː z o	326
54	BelejeGonfoye	a m b u d u ɾ o	a m b u d u ɾ o	330
55	Fadashi	a m b u r u	a m b - - u r u	330
56	Maiyu	a m b ʊ d u r	a m b ʊ d u r -	330
57	BelejeGonfoye	m e t ɪ k eː	m e t ɪ k eː	351
58	Fadashi	m ɛ d e g e	m ɛ d e g e	351
59	Maiyu	f i l	- - f i l	353
60	Undulu	a l f i l	a l f i l	353
61	BelejeGonfoye	k oː ɗ e	k oː ɗ e	358
62	Fadashi	k oː ɗ e	k oː ɗ e	358
63	Fadashi	a r e ʔ o l o	a r e ʔ o l o	370
64	Undulu	a r o ʔ o l o	a r o ʔ o l o	370
65	BelejeGonfoye	m b a	m - b a	375
66	Maiyu	m aː b a	m aː b a	375
67	Fadashi	n d a	n d a	377
68	Undulu	n d a	n d a	377
