ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	JiuqianSouthernSandong	ȶ ə n ¹	ȶ ə n ¹	2
2	ShuigenCentralSandong	ȶ i n ¹	ȶ i n ¹	2
3	ShuiweiSouthernSandong	ȶ ə n ¹	ȶ ə n ¹	2
4	TangzhouWesternSandong	ȶ ə n ¹	ȶ ə n ¹	2
5	TingpaiWesternSandong	ȶ a n ¹	ȶ a n ¹	2
6	ZhongheCentralSandong	ȶ ə n ¹	ȶ ə n ¹	2
7	AntangWesternSandong	ȶ ə n ¹	ȶ ə n ¹	21
8	DujiangEasternSandong	ȶ ə n ¹	ȶ ə n ¹	21
9	JiarongSouthernSandong	ȶ i n ¹	ȶ i n ¹	21
10	JiuqianSouthernSandong	ȶ ə n ¹	ȶ ə n ¹	21
11	ShuigenCentralSandong	ȶ i n ¹	ȶ i n ¹	21
12	TangzhouWesternSandong	ȶ ə n ¹	ȶ ə n ¹	21
13	TingpaiWesternSandong	ȶ a n ¹	ȶ a n ¹	21
14	ZhongheCentralSandong	ȶ ə n ¹	ȶ ə n ¹	21
15	JiaoliPandong	d aːu ¹	d aːu ¹	23
16	ShuiweiSouthernSandong	t aːu ¹	t aːu ¹	23
17	BanliangYangAn	ŋ a m ¹	ŋ a m ¹	67
18	DujiangEasternSandong	ŋ a m ¹	ŋ a m ¹	67
19	JiaoliPandong	ŋ a m ¹	ŋ a m ¹	67
20	JiuqianSouthernSandong	ŋ a m ¹	ŋ a m ¹	67
21	RenliEasternSandong	ŋ a m ¹	ŋ a m ¹	67
22	SanjiangEasternSandong	ŋ a m ¹	ŋ a m ¹	67
23	ShuigenCentralSandong	ŋ a m ¹	ŋ a m ¹	67
24	TangnianYangAn	ŋ a m ¹	ŋ a m ¹	67
25	TangzhouWesternSandong	ŋ a m ¹	ŋ a m ¹	67
26	ZhongheCentralSandong	ŋ a m ¹	ŋ a m ¹	67
27	JiarongSouthernSandong	q a ¹	q a ¹	68
28	ShuiyaoSouthernSandong	q a ¹	q a ¹	68
29	JiarongSouthernSandong	ȶ u ¹	ȶ u ¹	69
30	Pandong	ȶ u ¹	ȶ u ¹	69
31	ShuiweiSouthernSandong	ȶ u ¹	ȶ u ¹	69
32	ShuiyaoSouthernSandong	ȶ u ¹	ȶ u ¹	69
33	TingpaiWesternSandong	ȶ u ¹	ȶ u ¹	69
34	Pandong	q u m ¹	q u m ¹	70
35	ShuiweiSouthernSandong	q a m ¹	q a m ¹	70
36	AntangWesternSandong	k a m ¹	k a m ¹	106
37	DujiangEasternSandong	k a m ¹	k a m ¹	106
38	JiaoliPandong	k a m ¹	k a m ¹	106
39	JiuqianSouthernSandong	k a m ¹	k a m ¹	106
40	RenliEasternSandong	k a m ¹	k a m ¹	106
41	SanjiangEasternSandong	k a m ¹	k a m ¹	106
42	ShuigenCentralSandong	k a m ¹	k a m ¹	106
43	ShuiweiSouthernSandong	k a m ¹	k a m ¹	106
44	TingpaiWesternSandong	k a m ¹	k a m ¹	106
45	ZhongheCentralSandong	k a m ¹	k a m ¹	106
46	TangnianYangAn	t u ŋ ¹	t u ŋ ¹	108
