ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	BanPaw	ʔ o	ʔ o	1
2	ChaYeQing	ʔ au̯	ʔ au̯	1
3	ChuDongGua	ʔ oː	ʔ oː	1
4	GuangKa	ʔ au̯	ʔ au̯	1
5	HtanHsan	ʔ ɔː	ʔ ɔː	1
6	KhunHawt	ʔ oː	ʔ oː	1
7	ManLoi	ʔ ɔː	ʔ ɔː	1
8	MangBang	ʔ au̯	ʔ au̯	1
9	MengDan	ʔ oː	ʔ oː	1
10	NamHsan	ʔ ɔː	ʔ ɔː	1
11	NanSang	ʔ au̯	ʔ au̯	1
12	NoeLae	ʔ o	ʔ o	1
13	NyaungGone	ʔ o	ʔ o	1
14	PongNuea	ʔ ou̯	ʔ ou̯	1
15	XiangZhaiTang	ʔ ou̯	ʔ ou̯	1
16	HtanHsan	m i	m i	2
17	NamHsan	m i	m i	2
18	GuangKa	p o ŋ	p o ŋ	7
19	NanSang	p o n	p o n	7
20	ChaYeQing	d o h	d o h	8
21	GuangKa	t o h	t o h	8
22	MangBang	t o h	t o h	8
23	NanSang	t o h	t o h	8
24	PangKham	tʰ ui̯	tʰ ui̯ -	8
25	NoeLae	r au̯	r au̯	9
26	PongNuea	r ɔː	r ɔː	9
27	BanPaw	b r ɔ	b r ɔ	34
28	NoeLae	b r ɔ	b r ɔ	34
29	NyaungGone	b r ɔ	b r ɔ	34
30	PongNuea	b r ɔ	b r ɔ	34
31	NoeLae	ŋ ɔ	ŋ ɔ	35
32	NyaungGone	ŋ ɔ	ŋ ɔ	35
33	PongNuea	ŋ ɔː	ŋ ɔː	35
34	ChaYeQing	f aː ŋ	f aː ŋ	37
35	ChuDongGua	f aː ŋ	f aː ŋ	37
36	GuangKa	f aː ŋ	f aː ŋ	37
37	HtanHsan	f aː ŋ	f aː ŋ	37
38	KhunHawt	f aː ŋ	f aː ŋ	37
39	ManLoi	f aː ŋ	f aː ŋ	37
40	MangBang	f aː ŋ	f aː ŋ	37
41	MengDan	f ɛː ŋ	f ɛː ŋ	37
42	NamHsan	f aː ŋ	f aː ŋ	37
43	NanSang	f aː ŋ	f aː ŋ	37
44	PangKham	f aː ŋ	f aː ŋ	37
45	XiangZhaiTang	f aː ŋ	f aː ŋ	37
46	BanPaw	v ɔ ŋ	v ɔ ŋ	105
47	ChaYeQing	v a ŋ	v a ŋ	105
48	ChuDongGua	v a ŋ	v a ŋ	105
49	GuangKa	v ɔ ŋ	v ɔ ŋ	105
50	ManLoi	v a ŋ	v a ŋ	105
51	MangBang	v ɔ ŋ	v ɔ ŋ	105
52	MengDan	v a ŋ	v a ŋ	105
53	NanSang	v ɔ ŋ	v ɔ ŋ	105
54	NoeLae	v ɔ ŋ	v ɔ ŋ	105
55	NyaungGone	v ɔ k	v ɔ k	105
56	PangKham	v a ŋ	v a ŋ	105
57	PongNuea	v ɔ ŋ	v ɔ ŋ	105
58	XiangZhaiTang	v ɔ ŋ	v ɔ ŋ	105
59	HtanHsan	dʑ ə m	dʑ ə m	106
60	KhunHawt	dʑ ə m	dʑ ə m	106
61	NamHsan	dʑ ə m	dʑ ə m	106
62	HtanHsan	k ə n	k ə n	140
63	KhunHawt	k a n	k a n	140
64	BanPaw	h ə̆ k	h ə̆ k	173
65	ChuDongGua	h ə h	h ə h	173
66	ManLoi	l e h	l e h	173
67	NoeLae	h ə̆ k	h ə̆ k	173
68	PongNuea	h ə k	h ə k	173
69	XiangZhaiTang	h ə k	h ə k	173
70	BanPaw	d ou̯ ʔ	d ou̯ ʔ	206
71	ChaYeQing	ɗ o k	ɗ o k	206
72	ChuDongGua	ɗ o ʔ	ɗ o ʔ	206
73	GuangKa	t o k	t o k	206
74	HtanHsan	g uː ʔ	g uː ʔ	206
75	KhunHawt	g uː t	g uː t	206
76	ManLoi	ɗ o k	ɗ o k	206
77	MangBang	t o k	t o k	206
78	MengDan	ɗ o ʔ	ɗ o ʔ	206
79	NamHsan	g u ʔ	g u ʔ	206
80	NanSang	t o k	t o k	206
81	NoeLae	d ou̯ ʔ	d ou̯ ʔ	206
82	NyaungGone	d ou̯ ʔ	d ou̯ ʔ	206
83	PangKham	ɗ ɔ k	ɗ ɔ k	206
84	PongNuea	d ou̯ ʔ	d ou̯ ʔ	206
85	XiangZhaiTang	d ou̯ ʔ	d ou̯ ʔ	206
86	BanPaw	g ɔ n	g - ɔ n	223
87	ChaYeQing	k oː n	k - oː n	223
88	ChuDongGua	k ɔː n	k - ɔː n	223
89	GuangKa	k ɔː n	k - ɔː n	223
90	HtanHsan	k w a n	k w a n	223
91	ManLoi	g ɔː n	g - ɔː n	223
92	MangBang	k ɔː n	k - ɔː n	223
93	MengDan	k ɔ n	k - ɔ n	223
94	NamHsan	k w a n	k w a n	223
95	NanSang	k ɔː n	k - ɔː n	223
96	NoeLae	g ɔ n	g - ɔ n	223
97	NyaungGone	g ɔ n	g - ɔ n	223
98	PangKham	g ɔː n	g - ɔː n	223
99	PongNuea	g ɔː n	g - ɔː n	223
100	XiangZhaiTang	g ɔː n	g - ɔː n	223
101	ChaYeQing	ə ŋ	ə ŋ	240
102	MangBang	ə ŋ	ə ŋ	240
103	NanSang	ə ŋ	ə ŋ	240
104	NoeLae	ə ŋ	ə ŋ	240
105	NyaungGone	ə ŋ	ə ŋ	240
106	PongNuea	ə ŋ	ə ŋ	240
107	XiangZhaiTang	ə ŋ	ə ŋ	240
108	BanPaw	g ă t	g - ă t	269
109	ChaYeQing	k o k	k - o k	269
110	ChuDongGua	k a t	k - a t	269
111	GuangKa	k ɔː ʔ	k - ɔː ʔ	269
112	HtanHsan	k a t	k - a t	269
113	KhunHawt	k a t	k - a t	269
114	ManLoi	g a ʔ	g - a ʔ	269
115	MangBang	k ɔː ʔ	k - ɔː ʔ	269
116	MengDan	g a t	g - a t	269
117	NamHsan	k a t	k - a t	269
118	NanSang	k ɔː ʔ	k - ɔː ʔ	269
119	NoeLae	g ă t	g - ă t	269
120	NyaungGone	g ă t	g - ă t	269
121	PangKham	g j a ʔ	g j a ʔ	269
122	PongNuea	g a t	g - a t	269
123	XiangZhaiTang	g a t	g - a t	269
124	BanPaw	k ə̆ p	k - ə̆ p	287
125	ChaYeQing	k e p	k - e p	287
126	ChuDongGua	k a p	k - a p	287
127	GuangKa	k j a p	k j a p	287
128	HtanHsan	g ə p	g - ə p	287
129	KhunHawt	g ə p	g - ə p	287
130	ManLoi	k a p	k - a p	287
131	MangBang	k j a p	k j a p	287
132	MengDan	k j a p	k j a p	287
133	NamHsan	g ə p	g - ə p	287
134	NanSang	k j a p	k j a p	287
135	NoeLae	k ə̆ p	k - ə̆ p	287
136	NyaungGone	k ă p	k - ă p	287
137	PangKham	k a p	k - a p	287
138	PongNuea	k ə p	k - ə p	287
139	XiangZhaiTang	k ə p	k - ə p	287
140	BanPaw	j ă m	j ă m	304
141	ChaYeQing	dʑ ɔː m	dʑ ɔː m	304
142	ChuDongGua	j a m	j a m	304
143	GuangKa	dʑ ɔː m	dʑ ɔː m	304
144	HtanHsan	j a m	j a m	304
145	KhunHawt	j a m	j a m	304
146	ManLoi	j aː m	j aː m	304
147	MangBang	j ɔ m	j ɔ m	304
148	MengDan	dʑ a m	dʑ a m	304
149	NamHsan	j a m	j a m	304
150	NanSang	j ɔ m	j ɔ m	304
151	NoeLae	j ă m	j ă m	304
152	NyaungGone	j ă m	j ă m	304
153	PangKham	j a m	j a m	304
154	PongNuea	j a m	j a m	304
155	XiangZhaiTang	j a m	j a m	304
156	BanPaw	g ə̆ h	g ə̆ h	321
157	ChaYeQing	kʰ u t	kʰ u t	321
158	ChuDongGua	l o ʔ	l o ʔ	321
159	GuangKa	l o k	l o k	321
160	HtanHsan	k əː ŋ	k əː ŋ	321
161	KhunHawt	k əː ŋ	k əː ŋ	321
162	ManLoi	g ə h	g ə h	321
163	MangBang	l o k	l o k	321
164	MengDan	l o ʔ	l o ʔ	321
165	NamHsan	k ə h	k ə h	321
166	NanSang	k ə h	k ə h	321
167	NoeLae	g ə̆ h	g ə̆ h	321
168	NyaungGone	g ə̆ h	g ə̆ h	321
169	PangKham	g ə h	g ə h	321
170	PongNuea	g ə h	g ə h	321
171	XiangZhaiTang	g ə x	g ə x	321
172	ChaYeQing	m a	m a	339
173	NoeLae	m a	m a	339
174	NyaungGone	m a	m a	339
175	PongNuea	m a	m a	339
176	BanPaw	s o	s o	340
177	ChuDongGua	ʔ a	ʔ a	340
178	GuangKa	s au̯	s au̯	340
179	HtanHsan	ʔ a	ʔ a	340
180	KhunHawt	ʔ a	ʔ a	340
181	ManLoi	ʔ a	ʔ a	340
182	MangBang	s au̯	s au̯	340
183	MengDan	ʔ a	ʔ a	340
184	NamHsan	ʔ a	ʔ a	340
185	NanSang	s ou̯	s ou̯	340
186	NoeLae	s o	s o	340
187	NyaungGone	s o	s o	340
188	PangKham	ʔ a	ʔ a	340
189	PongNuea	s ou̯	s ou̯	340
190	XiangZhaiTang	s ou̯	s ou̯	340
191	ChaYeQing	ʔ o ʔ	ʔ o ʔ	341
192	ChuDongGua	ʔ o ʔ	ʔ o ʔ	341
193	HtanHsan	ʔ o ʔ	ʔ o ʔ	341
194	KhunHawt	ʔ o ʔ	ʔ o ʔ	341
195	ManLoi	ʔ o ʔ	ʔ o ʔ	341
196	MengDan	ʔ u ʔ	ʔ u ʔ	341
197	NamHsan	ʔ o ʔ	ʔ o ʔ	341
198	PangKham	ʔ o ʔ	ʔ o ʔ	341
199	BanPaw	j̊ ou̯ ʔ	j̊ ou̯ - - ʔ	386
200	ChaYeQing	tɕʰ o k	tɕʰ o - - k	386
201	ChuDongGua	j̊ o ʔ	j̊ o - - ʔ	386
202	GuangKa	tɕʰ o k	tɕʰ o - - k	386
203	ManLoi	j̊ o k	j̊ o - - k	386
204	MangBang	tɕʰ o k	tɕʰ o - - k	386
205	MengDan	j̊ o k	j̊ o - - k	386
206	NamHsan	tɕʰ ɔː ʔ	tɕʰ ɔː - - ʔ	386
207	NanSang	tɕʰ o k	tɕʰ o - - k	386
208	NoeLae	j̊ ou̯ ʔ	j̊ ou̯ - - ʔ	386
209	NyaungGone	j̊ ou̯ ʔ	j̊ ou̯ - - ʔ	386
210	PangKham	j̊ o k	j̊ o - - k	386
211	PongNuea	j a j̊ au̯ ʔ	j a j̊ au̯ ʔ	386
212	XiangZhaiTang	j̊ au̯ ʔ	j̊ au̯ - - ʔ	386
213	HtanHsan	l a	l a -	387
214	KhunHawt	r a	r a -	387
215	ManLoi	l ɛː	l ɛː -	387
216	MangBang	l a	l a -	387
217	NamHsan	l a j	l a j	387
218	KhunHawt	k ə n	k ə n	409
219	NamHsan	k ə	k ə -	409
220	BanPaw	p ə n	p ə n	459
221	ChaYeQing	b əː n	b əː n	459
222	GuangKa	b əː n	b əː n	459
223	MangBang	b əː n	b əː n	459
224	NamHsan	ɓ e ʔ	ɓ e ʔ	459
225	NanSang	b əː n	b əː n	459
226	NoeLae	p ə n	p ə n	459
227	NyaungGone	p ə n	p ə n	459
228	PongNuea	p əa n	p əa n	459
229	XiangZhaiTang	p əː n	p əː n	459
230	BanPaw	ʔ j a n	ʔ j a n	460
231	ChuDongGua	ʔ j a r	ʔ j a r	460
232	NoeLae	ʔ j a n	ʔ j a n	460
233	NyaungGone	ʔ j a n	ʔ j a n	460
234	ChuDongGua	g r aːu̯	g r aːu̯	461
235	ManLoi	kʰ ai̯	kʰ - ai̯	461
236	MengDan	g l ɛːu̯	g l ɛːu̯	461
237	PangKham	g l au̯	g l au̯	461
238	HtanHsan	ɗ a m	ɗ a m	462
239	KhunHawt	ɗ a m	ɗ a m	462
240	NamHsan	d a m	d a m	462
241	BanPaw	ŋ ai̯	ŋ ai̯	485
242	ChaYeQing	ŋ aːi̯	ŋ aːi̯	485
243	ChuDongGua	ŋ aːi̯	ŋ aːi̯	485
244	GuangKa	ŋ aːi̯	ŋ aːi̯	485
245	HtanHsan	ŋ aːi̯	ŋ aːi̯	485
246	ManLoi	ŋ aːi̯	ŋ aːi̯	485
247	MangBang	ŋ aːi̯	ŋ aːi̯	485
248	MengDan	ŋ aːi̯	ŋ aːi̯	485
249	NamHsan	ŋ aːi̯	ŋ aːi̯	485
250	NanSang	ŋ aːi̯	ŋ aːi̯	485
251	NoeLae	ŋ ai̯	ŋ ai̯	485
252	NyaungGone	ŋ ai̯	ŋ ai̯	485
253	PangKham	ŋ aːi̯	ŋ aːi̯	485
254	PongNuea	ŋ aːi̯	ŋ aːi̯	485
255	XiangZhaiTang	ŋ aːi̯	ŋ aːi̯	485
256	ManLoi	b l eː	b l eː	486
257	PangKham	b l eː	b l eː	486
258	BanPaw	c ou̯ h	c ou̯ h	504
259	ChaYeQing	dʑ ɔ h	dʑ ɔ h	504
260	ChuDongGua	dʑ ɔ h	dʑ ɔ h	504
261	GuangKa	dʑ o h	dʑ o h	504
262	HtanHsan	dʑ ɔ h	dʑ ɔ h	504
263	KhunHawt	dʑ o h	dʑ o h	504
264	ManLoi	tɕ ɔ h	tɕ ɔ h	504
265	MangBang	dʑ o h	dʑ o h	504
266	MengDan	tɕ ɔ h	tɕ ɔ h	504
267	NamHsan	dʑ ɔ h	dʑ ɔ h	504
268	NanSang	dʑ o h	dʑ o h	504
269	NoeLae	c o h	c o h	504
270	NyaungGone	c ou̯ h	c ou̯ h	504
271	PangKham	tɕ o h	tɕ o h	504
272	PongNuea	tɕ ou̯ h	tɕ ou̯ h	504
273	ManLoi	t o ŋ	t o ŋ	520
274	MangBang	d o ŋ	d o ŋ	520
275	MengDan	d o ŋ	d o ŋ	520
276	NanSang	d o ŋ	d o ŋ	520
277	NoeLae	t o ŋ	t o ŋ	520
278	NyaungGone	t o k	t o k	520
279	PangKham	d o ŋ	d o ŋ	520
280	PongNuea	t o ŋ	t o ŋ	520
281	XiangZhaiTang	t o ŋ	t o ŋ	520
282	HtanHsan	s a	s a	521
283	NamHsan	s a	s a	521
284	HtanHsan	ŋ aːi̯	ŋ aːi̯	522
285	NamHsan	ŋ aːi̯	ŋ aːi̯	522
286	NyaungGone	n	n -	522
287	BanPaw	j o	j o	558
288	ChuDongGua	j oː	j oː	558
289	GuangKa	j au̯	j au̯	558
290	KhunHawt	j ou̯	j ou̯	558
291	MangBang	j au̯	j au̯	558
292	NanSang	j au̯	j au̯	558
293	PongNuea	j ou̯	j ou̯	558
294	ChaYeQing	dʑ au̯	dʑ - au̯	559
295	HtanHsan	dʑ oː	dʑ - oː	559
296	ManLoi	dʑ ɔː	dʑ - ɔː	559
297	MengDan	dʑ oː	dʑ - oː	559
298	NamHsan	dʑ ɔː	dʑ - ɔː	559
299	NoeLae	c w a	c w a	559
300	NyaungGone	c w a	c w a	559
301	PangKham	dʑ oː	dʑ - oː	559
302	NoeLae	m a	m a	593
303	NyaungGone	m a	m a	593
304	PongNuea	m a	m a	593
305	BanPaw	c e ɲ	c e ɲ	648
306	ChaYeQing	dʑ ɔː n	dʑ ɔː n	648
307	ChuDongGua	dʑ ə ŋ	dʑ ə ŋ	648
308	GuangKa	dʑ ɔː n	dʑ ɔː n	648
309	HtanHsan	dʑ əː ŋ	dʑ əː ŋ	648
310	KhunHawt	dʑ əː ŋ	dʑ əː ŋ	648
311	ManLoi	tɕ eː ŋ	tɕ eː ŋ	648
312	MangBang	dʑ ɔː n	dʑ ɔː n	648
313	MengDan	tɕ ə ŋ	tɕ ə ŋ	648
314	NamHsan	dʑ ə ŋ	dʑ ə ŋ	648
315	NanSang	dʑ ɔː n	dʑ ɔː n	648
316	NoeLae	c e ɲ	c e ɲ	648
317	PangKham	tɕ e ŋ	tɕ e ŋ	648
318	PongNuea	c e ɲ	c e ɲ	648
319	XiangZhaiTang	tɕ eː n	tɕ eː n	648
320	BanPaw	pʰ w a n	pʰ w a n	665
321	ChaYeQing	pʰ oː m	pʰ - oː m	665
322	ChuDongGua	pʰ ɔ n	pʰ - ɔ n	665
323	GuangKa	pʰ oː n	pʰ - oː n	665
324	HtanHsan	pʰ oː n	pʰ - oː n	665
325	KhunHawt	pʰ o n	pʰ - o n	665
326	ManLoi	pʰ ɔː n	pʰ - ɔː n	665
327	MangBang	pʰ oː m	pʰ - oː m	665
328	MengDan	pʰ o n	pʰ - o n	665
329	NamHsan	pʰ o n	pʰ - o n	665
330	NanSang	pʰ o n	pʰ - o n	665
331	NoeLae	pʰ w a n	pʰ w a n	665
332	NyaungGone	pʰ w a n	pʰ w a n	665
333	PangKham	pʰ w a n	pʰ w a n	665
334	PongNuea	pʰ au̯ n	pʰ - au̯ n	665
335	XiangZhaiTang	pʰ w a n	pʰ w a n	665
336	NoeLae	ə m	ə m	666
337	NyaungGone	ə m	ə m	666
338	PongNuea	ə m	ə m	666
339	XiangZhaiTang	ə m	ə m	666
340	BanPaw	n ou̯ ʔ	n ou̯ ʔ	703
341	ChaYeQing	n o k	n o k	703
342	ChuDongGua	n o k	n o k	703
343	GuangKa	n o k	n o k	703
344	HtanHsan	n au̯ ʔ	n au̯ ʔ	703
345	KhunHawt	n o ʔ	n o ʔ	703
346	ManLoi	n o k	n o k	703
347	MangBang	n o k	n o k	703
348	MengDan	n o ʔ	n o ʔ	703
349	NamHsan	n ɔ ʔ	n ɔ ʔ	703
350	NanSang	n o k	n o k	703
351	NoeLae	n ou̯ ʔ	n ou̯ ʔ	703
352	NyaungGone	n ou̯ ʔ	n ou̯ ʔ	703
353	PangKham	n o ʔ	n o ʔ	703
354	PongNuea	n ou̯ ʔ	n ou̯ ʔ	703
355	XiangZhaiTang	n ou̯ ʔ	n ou̯ ʔ	703
356	BanPaw	t ai̯ h	t ai̯ h	720
357	ChaYeQing	d ɛ h	d ɛ h	720
358	ChuDongGua	d ɛ h	d ɛ h	720
359	GuangKa	d ɛ h	d ɛ h	720
360	HtanHsan	d ai̯ h	d ai̯ h	720
361	KhunHawt	d ai̯ h	d ai̯ h	720
362	ManLoi	t ɛ h	t ɛ h	720
363	MangBang	d ɛ h	d ɛ h	720
364	MengDan	d e h	d e h	720
365	NamHsan	d ɛ h	d ɛ h	720
366	NanSang	d ɛ h	d ɛ h	720
367	NoeLae	t ai̯ h	t ai̯ h	720
368	NyaungGone	t ai̯ h	t ai̯ h	720
369	PangKham	d e h	d e h	720
370	PongNuea	t ai̯ h	t ai̯ h	720
371	XiangZhaiTang	t ai̯ h	t ai̯ h	720
372	BanPaw	p ə̆ t	p - ə̆ t	737
373	ChuDongGua	ɓ r ai̯	ɓ r ai̯ -	737
374	GuangKa	b a t	b - a t	737
375	HtanHsan	b r ei̯	b r ei̯ -	737
376	KhunHawt	b aː n	b - aː n	737
