ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	Amharic	h u lː u m	h - u lː u m - -	2
2	Argobba	d i jː u m	- d i jː u m - -	2
3	Geez	k w ə lː	k w ə lː - - - -	2
4	Harari	k u lː u	k - u lː u - - -	2
5	Kistane	k u lː ɨ m	k - u lː ɨ m - -	2
6	Silte	h u lː ɨ m k ə	h - u lː ɨ m k ə	2
7	Tigre	k ɨ lː a n	k - ɨ lː a n - -	2
8	Tigrigna	k u lː u	k - u lː u - - -	2
9	Wolane	h u l ɨ m	h - u l ɨ m - -	2
10	Zway	h u lː u	h - u lː u - - -	2
11	Amharic	k ɨ n d	k ɨ n - d -	3
12	Argobba	k ɨ rː a	k ɨ - - rː a	3
13	Ezha	h ɨ nː ə	h ɨ nː - - ə	3
14	Gumer	x ɨ n ə	x ɨ n - - ə	3
15	Gura	h ɨ n ə	h ɨ n - - ə	3
16	Inor	h ɨ n ɨ ʔ ə	h ɨ n ɨ ʔ ə	3
17	Kistane	k ɨ rː ə	k ɨ - - rː ə	3
18	Mesqan	h ɨ nː ə	h ɨ nː - - ə	3
19	Silte	k i r e	k i - - r e	3
20	Wolane	k i r e	k i - - r e	3
21	Amharic	dʒ ə r b a	dʒ - ə r b - - a	4
22	Argobba	dʒ eː d	dʒ - eː d - - - -	4
23	Chaha	g j i ʃ ə	g j i - ʃ - - ə	4
24	Endegagn	g j i ʃ ə	g j i - ʃ - - ə	4
25	Ezha	g ɨ n ʒ ə	g - ɨ n ʒ - - ə	4
26	Gura	dʒ j i ʃ ə	dʒ j i - ʃ - - ə	4
27	Gyeto	g i ʃ ə	g - i - ʃ - - ə	4
28	Inor	g i ʃ ɨ ʔ ə	g - i - ʃ ɨ ʔ ə	4
29	Kistane	g ɨ n ʒ ə	g - ɨ n ʒ - - ə	4
30	Mesqan	g ɨ n ʒ ə	g - ɨ n ʒ - - ə	4
31	Muher	g ɨ n ʒ ə	g - ɨ n ʒ - - ə	4
32	Amharic	g ə b s	g ə b - s	5
33	Geez	g ə b s	g ə b - s	5
34	Harari	g uː s	g uː - - s	5
35	Kistane	g ə b s	g ə b - s	5
36	Zway	g ə b ɨ s	g ə b ɨ s	5
37	Amharic	m ə l k a m	m ə l k a m -	6
38	Chaha	m ə r k a m a	m ə r k a m a	6
39	Endegagn	m ə l k a m a	m ə l k a m a	6
40	Ezha	m ə r k a mː a	m ə r k a mː a	6
41	Gumer	m ə r k a mː a	m ə r k a mː a	6
42	Gura	m ə r k a m a	m ə r k a m a	6
43	Gyeto	m ə r k a m a	m ə r k a m a	6
44	Inor	m ə r k a m a	m ə r k a m a	6
45	Kistane	m ə l k a m a	m ə l k a m a	6
46	Mesqan	m ə l k a m a	m ə l k a m a	6
47	Muher	m ə l k a m a	m ə l k a m a	6
48	Zway	m ə l k ə mː a	m ə l k ə mː a	6
49	Amharic	ʔ a l g a	ʔ a l g a	7
50	Argobba	ʔ a l g a	ʔ a l g a	7
51	Chaha	ʔ a l g a	ʔ a l g a	7
52	Ezha	ʔ a l g a	ʔ a l g a	7
53	Gumer	ʔ a l g a	ʔ a l g a	7
54	Gura	ʔ a r g a	ʔ a r g a	7
55	Gyeto	ʔ a r g a	ʔ a r g a	7
56	Inor	ʔ a r g a	ʔ a r g a	7
57	Kistane	ʔ a l g a	ʔ a l g a	7
58	Mesqan	ʔ a l g a	ʔ a l g a	7
59	Muher	ʔ a l g a	ʔ a l g a	7
60	Wolane	ʔ a l g a	ʔ a l g a	7
61	Zway	ʔ a l g ə	ʔ a l g ə	7
62	Amharic	kʼ ə b ə tː o	kʼ ə b ə tː o - -	8
63	Endegagn	kʼ ə b ə t o ʔ ə	kʼ ə b ə t o ʔ ə	8
64	Ezha	kʼ ə b ə tː o	kʼ ə b ə tː o - -	8
65	Gumer	kʼ ə b ə tː o	kʼ ə b ə tː o - -	8
66	Gura	kʼ ə b ə tː o	kʼ ə b ə tː o - -	8
67	Gyeto	kʼ ə b ə t o ʔ ə	kʼ ə b ə t o ʔ ə	8
68	Kistane	kʼ ə b ə tː o	kʼ ə b ə tː o - -	8
69	Mesqan	kʼ ə b ə tː o	kʼ ə b ə tː o - -	8
70	Muher	kʼ ə b ə tː o	kʼ ə b ə tː o - -	8
71	Silte	kʼ ə b ə tː o	kʼ ə b ə tː o - -	8
72	Wolane	kʼ ə b ə tː o	kʼ ə b ə tː o - -	8
73	Amharic	tʼ ɨ kʼ u r	tʼ ɨ kʼ - u r	10
74	Argobba	tʼ ɨ kʼ u r	tʼ ɨ kʼ - u r	10
75	Chaha	tʼ ɨ kʼ u r	tʼ ɨ kʼ - u r	10
76	Gumer	tʼ ɨ k w ɨ r	tʼ ɨ k w ɨ r	10
77	Gura	tʼ ɨ kʼ u r	tʼ ɨ kʼ - u r	10
78	Gyeto	l ɨ kʼ u r	l ɨ kʼ - u r	10
79	Kistane	tʼ ɨ kʼ u r	tʼ ɨ kʼ - u r	10
80	Mesqan	tʼ ɨ kʼ u r	tʼ ɨ kʼ - u r	10
81	Muher	tʼ ɨ kʼ u r	tʼ ɨ kʼ - u r	10
82	Argobba	m ə kː a tʃː a	m ə - - kː a tʃː a	13
83	Chaha	m ə t a g ə tʃ a	m ə t a g ə tʃ a	13
84	Chaha	ʔ ɨ nː ɨ m	ʔ ɨ nː - ɨ m -	15
85	Endegagn	h ɨ n ʔ e d i	h ɨ n ʔ e d i	15
86	Ezha	ʔ ɨ nː ɨ m	ʔ ɨ nː - ɨ m -	15
87	Gumer	ʔ ɨ nː ɨ m	ʔ ɨ nː - ɨ m -	15
88	Gura	ʔ ɨ nː ɨ m	ʔ ɨ nː - ɨ m -	15
89	Gyeto	ʔ ɨ nː ɨ ʔ	ʔ ɨ nː - ɨ ʔ -	15
90	Inor	ʔ ɨ nː ə	ʔ ɨ nː - ə - -	15
91	Mesqan	ʔ ɨ nː ɨ m	ʔ ɨ nː - ɨ m -	15
92	Muher	ʔ ɨ nː ɨ m	ʔ ɨ nː - ɨ m -	15
93	Chaha	ʔ a g a t	ʔ a g a t	16
94	Endegagn	ʔ a g a d	ʔ a g a d	16
95	Gyeto	ʔ a g a l	ʔ a g a l	16
96	Chaha	ʔ ə x ɨ r	ʔ ə x ɨ r	17
97	Endegagn	ʔ ə h ɨ r	ʔ ə h ɨ r	17
98	Ezha	ʔ ə x ɨ r	ʔ ə x ɨ r	17
99	Gumer	ʔ ə h ɨ r	ʔ ə h ɨ r	17
100	Gura	ʔ ə h ɨ r	ʔ ə h ɨ r	17
101	Gyeto	ʔ ə x ɨ r	ʔ ə x ɨ r	17
102	Inor	ʔ ə x ɨ r	ʔ ə x ɨ r	17
103	Mesqan	ʔ ɨ h ɨ r	ʔ ɨ h ɨ r	17
104	Muher	ʔ ə x i	ʔ ə x i -	17
105	Silte	ʔ ɨ x ɨ l	ʔ ɨ x ɨ l	17
106	Tigre	ʃ ɨ ʕ i r	ʃ ɨ ʕ i r	17
107	Wolane	ʔ ɨ x ɨ l	ʔ ɨ x ɨ l	17
108	Chaha	n ɨ kʼ i j ə	n ɨ kʼ i j ə	18
109	Endegagn	n u ʔ	n u ʔ - - -	18
110	Ezha	ʔ ɨ m i j ə	ʔ ɨ m i j ə	18
111	Gumer	n ɨ kʼ j ə	n ɨ kʼ - j ə	18
112	Gura	n ɨ kʼ j ə	n ɨ kʼ - j ə	18
113	Gyeto	n ɨ k i j ə	n ɨ k i j ə	18
114	Inor	n u ʔ i j ə	n u ʔ i j ə	18
115	Mesqan	n ɨ kʼ	n ɨ kʼ - - -	18
116	Muher	l ɨ ʔ ɨ j ə	l ɨ ʔ ɨ j ə	18
117	Endegagn	g ə m b ə n ə	g ə m b ə n ə	20
118	Ezha	g ə m b ə nː a	g ə m b ə nː a	20
119	Inor	g ə m b ə n a	g ə m b ə n a	20
120	Zway	g ə m b ə l o	g ə m b ə l o	20
121	Geez	ʕ a r a t	ʕ a r a t	24
122	Tigre	ʕ a r a t	ʕ a r a t	24
123	Tigrigna	ʕ a r a t	ʕ a r a t	24
124	Geez	ʕ ə bː i	ʕ ə bː - - i	26
125	Tigre	ʕ a b a j i	ʕ a b a j i	26
126	Geez	s a lː i m	s a lː i m	27
127	Tigre	s ə l i m	s ə l i m	27
128	Tigrigna	s ə lː i m	s ə lː i m	27
129	Harari	ħ a r ə kʼ	ħ a r ə kʼ	29
130	Tigre	r ɨ s ɨ kʼ	r ɨ s ɨ kʼ	29
131	Zway	ʔ a r ə kʼ	ʔ a r ə kʼ	29
132	Harari	ħ a tʃʼ i	ħ a tʃʼ i -	30
133	Silte	tʃʼ ɨ n	- - tʃʼ ɨ n	30
134	Wolane	tʃ ɨ n	- - tʃ ɨ n	30
135	Harari	tʼ əi̯	tʼ əi̯ -	35
136	Silte	tʼ e m	tʼ e m	35
137	Wolane	t ɨ m	t ɨ m	35
138	Silte	b ə r eː d ə	b ə r eː d ə	42
139	Wolane	b ə r e d ə	b ə r e d ə	42
140	Tigre	m ə kʼ tʼ ə n	m ə - kʼ tʼ ə n	49
141	Zway	m ɨ s k ə t	m ɨ s k - ə t	49
142	Wolane	dʒ ə b ə	dʒ ə b ə	58
143	Zway	dʒ ə b a	dʒ ə b a	58
144	Amharic	f ə lː a	f ə lː - - a	62
145	Harari	f ə l a ħ a	f ə l a ħ a	62
146	Kistane	f ə lː a m	f ə lː a m -	62
147	Silte	f ə l a	f ə l - - a	62
148	Wolane	f ə l a	f ə l - - a	62
149	Zway	f ə l ə	f ə l - - ə	62
150	Amharic	d a bː o	d a bː o - -	64
151	Argobba	d a m o	d a m o - -	64
152	Chaha	d a bː o	d a bː o - -	64
153	Endegagn	d a b o ʔ ə	d a b o ʔ ə	64
154	Ezha	d a bː o	d a bː o - -	64
155	Gumer	d a bː o	d a bː o - -	64
156	Gura	d a bː o	d a bː o - -	64
157	Gyeto	d a p a	d a p a - -	64
158	Harari	d aː b o	d aː b o - -	64
159	Inor	d a bː o ʔ ə	d a bː o ʔ ə	64
160	Kistane	d a bː o	d a bː o - -	64
161	Muher	d a bː o	d a bː o - -	64
162	Wolane	d a bː o	d a bː o - -	64
163	Zway	d a bː o	d a bː o - -	64
164	Amharic	b ə r e	b ə - - r e	67
165	Chaha	w ɨ r	w ɨ - - r -	67
166	Endegagn	w ɨ r	w ɨ - - r -	67
167	Ezha	w ɨ r	w ɨ - - r -	67
168	Gumer	w ɨ r	w ɨ - - r -	67
169	Gura	w ɨ r	w ɨ - - r -	67
170	Gyeto	w ɨ r	w ɨ - - r -	67
171	Inor	w ɨ r	w ɨ - - r -	67
172	Kistane	w ɨ r	w ɨ - - r -	67
173	Mesqan	w ɨ r	w ɨ - - r -	67
174	Silte	w ɨ r	w ɨ - - r -	67
175	Tigre	w ɨ h ɨ r	w ɨ h ɨ r -	67
176	Wolane	w ɨ r	w ɨ - - r -	67
177	Zway	w ɨ r	w ɨ - - r -	67
178	Amharic	g o mː ə nː	g o mː ə nː	68
179	Argobba	g o m ə n	g o m ə n	68
180	Amharic	tʼ ɨ dʒː a	tʼ ɨ dʒː a	69
181	Argobba	tʼ ɨ dʒː a	tʼ ɨ dʒː a	69
182	Harari	tʼ ɨ dʒ a	tʼ ɨ dʒ a	69
183	Kistane	tʼ ə g	tʼ ə g -	69
184	Muher	d ə g	d ə g -	69
185	Argobba	n ə fː ə r a	n ə fː ə r a	70
186	Geez	n ə f ə r ə	n ə f ə r ə	70
187	Tigre	ħ a f ə n a	ħ a f ə n a	70
188	Argobba	ʔ ə h	ʔ ə h - -	71
189	Geez	ʔ ɨ ħ ɨ w	ʔ ɨ ħ ɨ w	71
190	Harari	ʔ ɨ ħ	ʔ ɨ ħ - -	71
191	Zway	ʔ ɨː n	ʔ ɨː n - -	71
192	Chaha	tʃ ə k ə r ə m	tʃ ə k - ə r ə m	73
193	Endegagn	tʃ a k a rː a	tʃ a k - a rː a -	73
194	Ezha	tʃ ə kː w ə r ə	tʃ ə kː w ə r ə -	73
195	Gumer	tʃ ə kː ə r ə m	tʃ ə kː - ə r ə m	73
196	Gura	tʃ ə k ə r ə m	tʃ ə k - ə r ə m	73
197	Gyeto	tʃ ə k ə r ə	tʃ ə k - ə r ə -	73
198	Inor	tʃ ə k w ə r ə	tʃ ə k w ə r ə -	73
199	Mesqan	tʃ ə kː w ə r ə	tʃ ə kː w ə r ə -	73
200	Muher	tʃ ə kː w ə r ə m	tʃ ə kː w ə r ə m	73
201	Chaha	g w ə p ə	g w ə p ə	74
202	Ezha	g w ə bː e	g w ə bː e	74
203	Gumer	g w ə pː ai̯	g w ə pː ai̯	74
204	Gura	g w ə p ə	g w ə p ə	74
205	Gyeto	g w ə p ai̯	g w ə p ai̯	74
206	Mesqan	g w ə bː e	g w ə bː e	74
207	Muher	g w ə bː e	g w ə bː e	74
208	Chaha	ʔ a m b ɨ r	ʔ a m b ɨ r -	75
209	Endegagn	ʔ a m b ɨ r	ʔ a m b ɨ r -	75
210	Ezha	ʔ a m b ɨ r	ʔ a m b ɨ r -	75
211	Geez	ħ a m ɨ l	ħ a m - ɨ l -	75
212	Gumer	ʔ a m b ɨ r	ʔ a m b ɨ r -	75
213	Gura	ʔ a m b ɨ r	ʔ a m b ɨ r -	75
214	Gyeto	ʔ a m b ɨ r	ʔ a m b ɨ r -	75
215	Inor	ʔ a m b ɨ r	ʔ a m b ɨ r -	75
216	Kistane	ʔ a m b ɨ l	ʔ a m b ɨ l -	75
217	Mesqan	ʔ a m b ɨ r	ʔ a m b ɨ r -	75
218	Muher	ʔ a m b i	ʔ a m b i - -	75
219	Silte	h a m ɨ l	h a m - ɨ l -	75
220	Tigre	ħ a m l e	ħ a m - - l e	75
221	Tigrigna	ħ a m l i	ħ a m - - l i	75
222	Wolane	ʔ a m l	ʔ a m - - l -	75
223	Zway	ʔ a m ɨ l	ʔ a m - ɨ l -	75
224	Chaha	m w ə s a	- - m w ə s a	76
225	Endegagn	m o s a	- - m - o s a	76
226	Ezha	m w ə sː a	- - m w ə sː a	76
227	Gumer	m w ə s a	- - m w ə s a	76
228	Gura	m w ə s a	- - m w ə s a	76
229	Gyeto	m w ə s a	- - m w ə s a	76
230	Inor	m w ə s a	- - m w ə s a	76
231	Mesqan	m w a s a	- - m w a s a	76
232	Wolane	ʔ ɨ m b o sː ə	ʔ ɨ m b o sː ə	76
233	Endegagn	ʔ ə ʃː ə ʔ ə m	ʔ ə ʃː ə ʔ ə m	77
234	Inor	ʔ ə s ə m	ʔ ə s - - ə m	77
235	Geez	ʔ ɨ g w ə l t	ʔ ɨ g w ə l t	81
236	Tigre	ʔ ɨ g a l	ʔ ɨ g - a l -	81
237	Harari	b a ʔ a r a	b a ʔ a r a	84
238	Muher	b o r a	b o - - r a	84
239	Mesqan	f u r n o	f u r n o	87
240	Silte	f u r n o	f u r n o	87
241	Silte	ʔ ɨ z ə kʼ	ʔ ɨ z ə kʼ	98
242	Zway	ʔ ɨ z ə kʼ	ʔ ɨ z ə kʼ	98
243	Tigre	b a n i	b a n i	100
244	Tigrigna	b a n i	b a n i	100
245	Tigre	ħ u	ħ u -	101
246	Tigrigna	ħ a w	ħ a w	101
247	Amharic	m ə tʼː a	m ə tʼː - a -	106
248	Argobba	m ə tʼː a	m ə tʼː - a -	106
249	Endegagn	m ə ʔ a	m ə - ʔ a -	106
250	Geez	m ə s ʔ a	m ə s ʔ a -	106
251	Inor	m ə ʔ a	m ə - ʔ a -	106
252	Kistane	m ə tʼː a	m ə tʼː - a -	106
253	Silte	m ə tʼ a	m ə tʼ - a -	106
254	Tigre	m ə s a	m ə s - a -	106
255	Tigrigna	m ɨ s a ʔ	m ɨ s - a ʔ	106
256	Wolane	m ə tʼ a	m ə tʼ - a -	106
257	Zway	m aː t aː	m aː t - aː -	106
258	Amharic	d ɨ mː ə t	d ɨ mː ə t	108
259	Argobba	d ɨ m ə t	d ɨ m ə t	108
260	Geez	d ɨ mː ə t	d ɨ mː ə t	108
261	Tigre	d ɨ mː u	d ɨ mː u -	108
262	Tigrigna	d ɨ mː u	d ɨ mː u -	108
263	Amharic	g u n tʃʼ	g u n tʃʼ -	109
264	Argobba	g u n tʃ e	g u n tʃ e	109
265	Harari	tʃʼ aː tʃʼ u	tʃʼ aː - tʃʼ u	109
266	Inor	g u n tʃʼ ə	g u n tʃʼ ə	109
267	Kistane	g u n tʃʼ ə	g u n tʃʼ ə	109
268	Muher	g u n tʃʼ ə	g u n tʃʼ ə	109
269	Silte	g u n tʃʼ o	g u n tʃʼ o	109
270	Tigrigna	n u n tʃʼ i	n u n tʃʼ i	109
271	Amharic	d ə r ə t	d ə r ə t	110
272	Chaha	d a t a	d a t a -	110
273	Endegagn	d a tː ə	d a tː ə -	110
274	Ezha	d a dː a	d a dː a -	110
275	Gumer	d a tː a	d a tː a -	110
276	Gyeto	d a tː ə	d a tː ə -	110
277	Inor	d a t a	d a t a -	110
278	Kistane	d ə r ə t	d ə r ə t	110
279	Muher	d a dː a	d a dː a -	110
280	Amharic	l ɨ dʒ	l ɨ dʒ	111
281	Argobba	l ɨ dʒ	l ɨ dʒ	111
282	Wolane	w e dʒ	w e dʒ	111
283	Amharic	b u nː a	b u nː a	113
284	Argobba	b u nː	b u nː -	113
285	Ezha	b u n a	b u n a	113
286	Geez	b u nː a	b u nː a	113
287	Gyeto	b u n o	b u n o	113
288	Harari	b u n	b u n -	113
289	Kistane	b u n a	b u n a	113
290	Silte	b u n o	b u n o	113
291	Tigre	b u n	b u n -	113
292	Tigrigna	b u n	b u n -	113
293	Wolane	b u n o	b u n o	113
294	Zway	b u n a	b u n a	113
295	Amharic	d ə bː ə kʼ ə	d ə bː ə kʼ ə	114
296	Geez	d ə b ə kʼ ə	d ə b ə kʼ ə	114
297	Argobba	g ə n g a d	g ə n g a d - -	116
298	Geez	ʔ ɨ n g ɨ d ʔ a	ʔ ɨ n g ɨ d ʔ a	116
299	Chaha	tʃ ə n ə	tʃ ə n ə	118
300	Ezha	tʃ ə n ə	tʃ ə n ə	118
301	Gumer	tʃ ə n ə	tʃ ə n ə	118
302	Gura	tʃ ə n ə	tʃ ə n ə	118
303	Gyeto	tʃ ə ɲ ə	tʃ ə ɲ ə	118
304	Mesqan	tʃ ə ɲː ə	tʃ ə ɲː ə	118
305	Chaha	ʔ a n g a tʃ a	ʔ a n g a tʃ a	119
306	Endegagn	ʔ a n g a tʃː ə	ʔ a n g a tʃː ə	119
307	Ezha	ʔ a n g a tʃː a	ʔ a n g a tʃː a	119
308	Gumer	ʔ a n g a tʃː a	ʔ a n g a tʃː a	119
309	Gura	ʔ a n g a tʃ a	ʔ a n g a tʃ a	119
310	Gyeto	ʔ a n g a tʃ a	ʔ a n g a tʃ a	119
311	Inor	ʔ a n g a tʃ a	ʔ a n g a tʃ a	119
312	Kistane	ʔ a n g a tʃ a	ʔ a n g a tʃ a	119
313	Mesqan	ʔ a n g a tʃ a	ʔ a n g a tʃ a	119
314	Muher	ʔ a n g a tʃ a	ʔ a n g a tʃ a	119
315	Chaha	d a n g a	d a n g a	120
316	Endegagn	d a n g ə	d a n g ə	120
317	Ezha	d a n g ə	d a n g ə	120
318	Gumer	d a n g a	d a n g a	120
319	Gura	d a n g a	d a n g a	120
320	Gyeto	d a n g a	d a n g a	120
321	Mesqan	d a n g a	d a n g a	120
322	Chaha	t ɨ k ə	t ɨ k ə	121
323	Endegagn	t ɨ k ə	t ɨ k ə	121
324	Ezha	t ɨ k ə	t ɨ k ə	121
325	Gumer	t ɨ k ə	t ɨ k ə	121
326	Gura	t ɨ k ə	t ɨ k ə	121
327	Gyeto	t ɨ k ə	t ɨ k ə	121
328	Inor	t ɨ k ə	t ɨ k ə	121
329	Mesqan	t ɨ x ə	t ɨ x ə	121
330	Muher	t ɨ k ə	t ɨ k ə	121
331	Chaha	kʼ a w a	kʼ a w a	122
332	Endegagn	kʼ ə w a	kʼ ə w a	122
333	Gumer	kʼ a w a	kʼ a w a	122
