ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	Bunoge	k ɛ m n ɔ	k ɛ m n ɔ	2
2	Mombo	k aː n u	k aː - n u	2
3	Penange	k aː m n ɔ	k aː m n ɔ	2
4	Bunoge	k a n i	k a n i	3
5	Mombo	k a n i	k a n i	3
6	Penange	k a n	k a n -	3
7	Najamba	k u n dʒ ɛ	k u n dʒ ɛ	4
8	Tiranige_Diga	k u n dʒ o	k u n dʒ o	4
9	Bankan_Tey	d aː b a	d aː b a	21
10	Mombo	d e b u	d e b u	21
11	Penange	d aː b a	d aː b a	21
12	Mombo	b ɛ l i	b ɛ l i	26
13	Tiranige_Diga	b e l	b e l -	26
14	Tommo_So	b ɛ l u	b ɛ l u	26
15	Bankan_Tey	k i s ɛ	k i s ɛ	42
16	Bunoge	k i dʒ ɛ	k i dʒ ɛ	42
17	Penange	k i dʒ ɛ	k i dʒ ɛ	42
18	Bankan_Tey	a r	a r	60
19	Ben_Tey	a r	a r	60
20	Bankan_Tey	k ɛ n d ɛ	k ɛ n d ɛ	61
21	Ben_Tey	k ɛ l ɛ	k ɛ - l ɛ	61
22	Nanga	k ɛ n d ɛ	k ɛ n d ɛ	61
23	Jamsay	k i	k i - -	62
24	Toro_Tegu	k i l a	k i l a	62
25	Yorno_So	k i	k i - -	62
26	Mombo	k a r a	k a r a	64
27	Penange	k a r a	k a r a	64
28	Tiranige_Diga	k a r a	k a r a	64
29	Najamba	k a	k a	66
30	Perge_Tegu	k a	k a	66
31	Tebul_Ure	k a	k a	66
32	Togo_Kan	k a	k a	66
33	Tommo_So	k a	k a	66
34	Yanda_Dom	k a	k a	66
35	Bunoge	d i n	d i n	94
36	Mombo	d i n	d i n	94
37	Mombo	j ɛː	j ɛː	96
38	Penange	j ɛ	j ɛ	96
39	Bankan_Tey	ɔ j̃	ɔ j̃	115
40	Ben_Tey	ɔ j̃	ɔ j̃	115
41	Mombo	dʷ ɛː	dʷ ɛː	117
42	Penange	dʷ ɛː	dʷ ɛː	117
43	Tiranige_Diga	dʷ ɛː	dʷ ɛː	117
44	Tommo_So	u n d ɔ	u n d ɔ	120
45	Yorno_So	u n ɔ	u n - ɔ	120
46	Ben_Tey	k ɛ l ɛ	k ɛ l ɛ	136
47	Perge_Tegu	k ɛ l ɛ	k ɛ l ɛ	136
48	Togo_Kan	k ɛ n ɛ	k ɛ n ɛ	136
49	Tommo_So	o nː u	- o nː u	144
50	Toro_Tegu	t u ŋ ɔ	t u ŋ ɔ	144
51	Yorno_So	o n ɔ	- o n ɔ	144
52	Bunoge	ɲ a m i	ɲ a m i	159
53	Penange	ɲ a m	ɲ a m -	159
54	Ben_Tey	k o m b iː	k o m b - - iː	178
55	Bunoge	k o b a l i	k o - b a l i	178
56	Mombo	k o m b o l i	k o m b o l i	178
57	Tebul_Ure	k o b e	k o - b - - e	178
58	Jamsay	dʒ e j	dʒ e j	179
59	Tommo_So	dʒ o j̃	dʒ o j̃	179
60	Nanga	t u m a	t u m a	180
61	Yanda_Dom	t i m e	t i m e	180
62	Jamsay	b ɛ w	b ɛ w	197
63	Nanga	b ɛː	b ɛː -	197
64	Perge_Tegu	b ɛ w	b ɛ w	197
65	Tebul_Ure	b e j aː	b e j aː	200
66	Yanda_Dom	b i j a	b i j a	200
67	Mombo	j aː g a	j aː g a	224
68	Penange	j a g a	j a g a	224
69	Tiranige_Diga	j a g a	j a g a	224
70	Bankan_Tey	t u m b i	t u m b i	239
71	Ben_Tey	t u m d i	t u m d i	239
72	Tiranige_Diga	t u m b u	t u m b u	239
73	Bunoge	d ɔ g u	d ɔ g u	241
74	Mombo	d ɔ g ɛ	d ɔ g ɛ	241
75	Penange	d ɔ g u	d ɔ g u	241
76	Bunoge	l ɛ	l ɛ	242
77	Penange	l ɛ	l ɛ	242
78	Tiranige_Diga	l ɔ	l ɔ	242
79	Nanga	t ɔ r ɔ	t ɔ r ɔ	245
80	Tebul_Ure	t ɔː	t ɔː - -	245
81	Togo_Kan	t ɔ r ɔ	t ɔ r ɔ	245
82	Tommo_So	t ɔ l ɔ	t ɔ l ɔ	245
83	Yorno_So	t ɔ l ɔ	t ɔ l ɔ	245
84	Perge_Tegu	n ɔː	n ɔː	246
85	Yanda_Dom	n ɔ	n ɔ	246
86	Mombo	b a ŋ g ũː	b a ŋ g ũː	281
87	Penange	p a ŋ̍	p a ŋ̍ - -	281
88	Nanga	g o	g o	283
89	Toro_Tegu	k u	k u	283
90	Yorno_So	g e	g e	283
91	Tebul_Ure	n ɛ	n ɛ	285
92	Tiranige_Diga	ŋ a	ŋ a	285
93	Tommo_So	n ɛ	n ɛ	285
94	Yanda_Dom	n a	n a	285
95	Yorno_So	n ɛ	n ɛ	285
96	Bankan_Tey	d i j̃ a w̃	d i j̃ a w̃	309
97	Ben_Tey	d i j̃ a w	d i j̃ a w	309
98	Yanda_Dom	d i j a	d i j a -	309
99	Mombo	b a j̃	b a j̃	312
100	Penange	b a j̃	b a j̃	312
101	Tiranige_Diga	b a j	b a j	312
102	Nanga	d u g i	d u g i	314
103	Yorno_So	d u g u	d u g u	314
104	Bankan_Tey	n iː m	- n iː m	327
105	Mombo	i n i	i n i -	327
106	Najamba	n iː	- n iː -	327
107	Ben_Tey	n iː j̃ i	n iː j̃ i	328
108	Tiranige_Diga	n i j e	n i j e	328
109	Jamsay	s aː dʒ ĩː	s aː dʒ - ĩː	331
110	Togo_Kan	s a dʒ u	s a dʒ - u	331
111	Tommo_So	s a d a a	s a d a a	331
112	Perge_Tegu	s a s a j	s a s a j	334
113	Toro_Tegu	s a j	s a - - j	334
114	Yorno_So	s i s aː	s i s aː -	334
115	Ben_Tey	k u w o	k u w o	345
116	Nanga	k u w o	k u w o	345
117	Bunoge	n u n dʒ e	n u n dʒ e	346
118	Mombo	n u ŋ g ɛ	n u ŋ g ɛ	346
119	Jamsay	tʃ ɛ r ɛ	tʃ ɛ r ɛ	347
120	Tebul_Ure	tʃ ɛ r ɛ	tʃ ɛ r ɛ	347
121	Tiranige_Diga	tʃ ɛ r ɔ	tʃ ɛ r ɔ	347
122	Toro_Tegu	tʃ ɛ r u	tʃ ɛ r u	347
123	Najamba	k ɛ r ɛ	k ɛ r ɛ	348
124	Perge_Tegu	k ɛ r ɛ	k ɛ r ɛ	348
125	Tommo_So	k ɛ r ɛ	k ɛ r ɛ	348
126	Yanda_Dom	k ɛ d ɛ	k ɛ d ɛ	348
127	Yorno_So	k ɛ r ɛ	k ɛ r ɛ	348
128	Bankan_Tey	m	m	360
129	Ben_Tey	m	m	360
130	Bunoge	k a r	k a r -	361
131	Mombo	k a r a	k a r a	361
132	Penange	k a r a	k a r a	361
133	Bunoge	g a	g a - -	362
134	Mombo	k a nː i	k a nː i	362
135	Bankan_Tey	m	m	386
136	Ben_Tey	m	m	386
137	Najamba	d u b e	d u b e	388
138	Tiranige_Diga	d uː	d uː - -	388
139	Perge_Tegu	n	n -	389
140	Tommo_So	n ɛ	n ɛ	389
141	Toro_Tegu	n	n -	389
142	Yorno_So	n ɛ	n ɛ	389
143	Ben_Tey	g o r iː	g o r iː	409
144	Jamsay	j i r u	j i r u	409
145	Perge_Tegu	g o r u	g o r u	409
146	Toro_Tegu	j ɔ r u	j ɔ r u	409
147	Yorno_So	g o r u	g o r u	409
148	Jamsay	j aː	j aː - -	412
149	Togo_Kan	j aː t ũ	j aː t ũ	412
150	Toro_Tegu	j a	j a - -	412
151	Mombo	s o j	s o j	414
152	Yorno_So	s ɔ j	s ɔ j	414
153	Ben_Tey	k i m dʒ ɛ	k i m dʒ ɛ	430
154	Nanga	k ɛ m dʒ i	k ɛ m dʒ i	430
155	Jamsay	k a m ɲ a	k a m ɲ a	431
156	Yorno_So	k ɛ m ɲ ɛ	k ɛ m ɲ ɛ	431
157	Mombo	k a n i	k a n i	432
158	Najamba	k a n	k a n -	432
159	Tebul_Ure	k a n	k a n -	432
160	Tiranige_Diga	k a n	k a n -	432
161	Yanda_Dom	k a n	k a n -	432
162	Yorno_So	k a r̃ a	k a r̃ a	432
163	Togo_Kan	k u m u ɲ u	k u m u ɲ - u	435
164	Tommo_So	k u m u n dʒ o	k u m u n dʒ o	435
165	Bankan_Tey	g o ŋ g o r o	g o ŋ g o r o	446
166	Ben_Tey	g o ŋ g o r o	g o ŋ g o r o	446
167	Mombo	g eː ŋ g e	g eː ŋ g - - e	446
168	Najamba	g e n g e	g e n g - - e	446
169	Nanga	g o n d u g o	g o n d u g o	446
170	Tiranige_Diga	dʒ eː ŋ g e	dʒ eː ŋ g - - e	446
171	Jamsay	n ɛ j̃	n ɛ j̃	448
172	Perge_Tegu	n ɛ m	n ɛ m	448
173	Togo_Kan	n ɛ	n ɛ -	448
174	Toro_Tegu	n e ŋ	n e ŋ	448
175	Tebul_Ure	dʒ e n dʒ e	dʒ e n dʒ e	450
176	Yanda_Dom	dʒ e n dʒ u	dʒ e n dʒ u	450
177	Tommo_So	i l i j e	i l i j e	451
178	Yorno_So	i lː iː	i lː - - iː	451
179	Toro_Tegu	d u n u	d u n u	468
180	Yanda_Dom	d o n u	d o n u	468
181	Bankan_Tey	dʒ e s u	dʒ e s u	482
182	Jamsay	dʒ e dʒ u	dʒ e dʒ u	482
183	Toro_Tegu	dʒ e s u	dʒ e s u	482
184	Bunoge	w e n a m a	w e n a m a	484
185	Penange	w e n a m a	w e n a m a	484
186	Tebul_Ure	g o	g o	487
187	Tiranige_Diga	g õː	g õː	487
188	Bankan_Tey	k ɔː dʒ ɛ	k ɔː dʒ ɛ -	521
189	Jamsay	k ɔː dʒ ɔ	k ɔː dʒ ɔ -	521
190	Mombo	g oː dʒ i	g oː dʒ i -	521
191	Penange	k oː dʒ o l	k oː dʒ o l	521
192	Perge_Tegu	k oː dʒ o	k oː dʒ o -	521
193	Toro_Tegu	k a t u	k a t u -	521
194	Mombo	t a dʒ u	t a dʒ u	525
195	Penange	t a dʒ i	t a dʒ i	525
196	Najamba	t a b uː	t a b uː	527
197	Tommo_So	t a b u	t a b u	527
198	Najamba	o n dʒ uː	o n dʒ uː	548
199	Tiranige_Diga	u n dʒ i	u n dʒ i	548
200	Bankan_Tey	s u m ɔ	s u m - ɔ	562
201	Ben_Tey	s ũː	s ũː - - -	562
202	Nanga	s u m o	s u m - o	562
203	Perge_Tegu	s u w̃ ɔ	s u - w̃ ɔ	562
204	Toro_Tegu	h u m s u	h u m s u	562
205	Bankan_Tey	s u m ɔ	s u m ɔ	563
206	Ben_Tey	s ũ	s ũ - -	563
207	Nanga	s u m o	s u m o	563
208	Perge_Tegu	s u w̃ o	s u w̃ o	563
209	Jamsay	j i n e	j i n e	567
210	Togo_Kan	ɲ i n e	ɲ i n e	567
211	Tommo_So	n i nː ɛ	n i nː ɛ	567
212	Yorno_So	n i n ɛ	n i n ɛ	567
213	Mombo	n e n d e l e	n e n d e l e	568
214	Penange	n e n d i l e	n e n d i l e	568
215	Tebul_Ure	n i n d u g o	n i n d u g o	568
216	Yanda_Dom	n i n d u g o	n i n d u g o	568
217	Mombo	n e n d e l e	n e n d e l e	569
218	Penange	n e n d i l	n e n d i l -	569
219	Tebul_Ure	n i n d i	n i n d i - -	569
220	Yanda_Dom	n i n d u g u	n i n d u g u	569
221	Najamba	s u n dʒ u	s u n dʒ u	570
222	Tiranige_Diga	s u n dʒ u	s u n dʒ u	570
223	Najamba	s u n dʒ i	s u n dʒ i	571
224	Tiranige_Diga	s u n dʒ o	s u n dʒ o	571
225	Togo_Kan	ɲ i n i	ɲ i n i	572
226	Tommo_So	n i nː u	n i nː u	572
227	Yorno_So	n i n u	n i n u	572
228	Bankan_Tey	u s i r̃ iː	u s i r̃ iː	594
229	Ben_Tey	u s u n iː	u s u n iː	594
230	Nanga	u s i r i	u s i r i	594
231	Jamsay	s aː m a	s aː m a	596
232	Togo_Kan	s ɔ m u	s ɔ m u	596
233	Mombo	g e n i	g e n i	597
234	Penange	g eː n i	g eː n i	597
235	Tebul_Ure	i d i l u	i d i l u	600
236	Tiranige_Diga	i dʒ i l i	i dʒ i l i	600
237	Tommo_So	dʒ oː l u	- dʒ oː l u	600
238	Bankan_Tey	m a	m a -	613
239	Jamsay	m aː	m aː -	613
240	Perge_Tegu	m aː	m aː -	613
241	Toro_Tegu	m a j̃	m a j̃	613
242	Bunoge	s i m i	s i m i	615
243	Penange	s i m ɛ	s i m ɛ	615
244	Najamba	ɔ n dʒ ɛ	ɔ n dʒ ɛ	616
245	Tebul_Ure	ɔ n d u	ɔ n d u	616
246	Tiranige_Diga	u n dʒ o	u n dʒ o	616
247	Togo_Kan	u dʒ ɔ	u dʒ ɔ	618
248	Tommo_So	u d ɔ	u d ɔ	618
249	Yorno_So	u dʒ ɔ	u dʒ ɔ	618
250	Nanga	k u w o	k u w o	634
251	Tiranige_Diga	s u w o	s u w o	634
252	Bunoge	d i ŋ g e	d i ŋ g e	651
253	Mombo	d i ŋ g e	d i ŋ g e	651
254	Penange	d i ŋ g e	d i ŋ g e	651
255	Perge_Tegu	b i j̃ ɛ	b i j̃ ɛ	652
256	Togo_Kan	b i j ɛ	b i j ɛ	652
257	Toro_Tegu	b i w	b i w -	652
258	Bunoge	s ɔː w ɛ	s ɔː w ɛ	668
259	Penange	s ɔ g ɛ	s ɔ g ɛ	668
260	Najamba	d ɔ n ɛ	d ɔ n ɛ	670
261	Tiranige_Diga	d ɔ n ɔ	d ɔ n ɔ	670
262	Bankan_Tey	ɲ a n	ɲ a n -	684
