ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	Achang	kʰ o ŋ ³²	kʰ o ŋ ³²	2
2	Lashi	kʰ o ŋ ³¹	kʰ o ŋ ³¹	2
3	Maru	g au ŋ ⁵¹	g au ŋ ⁵¹	2
4	WrittenBurmese	k au ŋ	k au ŋ -	2
5	Zaiwa	kʰ u ŋ ⁵³	kʰ u ŋ ⁵³	2
6	Achang	p w i ³¹	p w i - ³¹	3
7	Bela	p w i ³	p w i - ³	3
8	Lashi	b e ⁵¹	b - e - ⁵¹	3
9	Maru	b a ³¹	b - a - ³¹	3
10	WrittenBurmese	p au ŋ	p - au ŋ -	3
11	Zaiwa	b w i ³	b w i - ³	3
12	Achang	m ṵ ⁵	m ṵ ⁵	5
13	Bela	m ə ⁵²	m ə ⁵²	5
14	Lashi	m ɔ ⁵³	m ɔ ⁵³	5
15	Zaiwa	m ɔ ⁴	m ɔ ⁴	5
16	Achang	g i ²	g - i ²	6
17	Bela	k ḭ ³	k - ḭ ³	6
18	Lashi	k ḭ ⁵³	k - ḭ ⁵³	6
19	Maru	g i ⁵²	g - i ⁵²	6
20	WrittenBurmese	k r ai	k r ai -	6
21	Zaiwa	k ḭ ⁵³	k - ḭ ⁵³	6
22	Achang	dʒ ə ³²	dʒ ə - ³²	7
23	Bela	ts a̰ m ³	ts a̰ m ³	7
24	Lashi	dʒ ɛ ⁵³	dʒ ɛ - ⁵³	7
25	Maru	dʒ a̰ m ³¹	dʒ a̰ m ³¹	7
26	WrittenBurmese	t i m	t i m -	7
27	Zaiwa	d u m ⁴²	d u m ⁴²	7
28	Lashi	ŋ ãɪ ³	- ŋ ãɪ - ³	8
29	Maru	ŋ ɪ n ⁴²	- ŋ ɪ n ⁴²	8
30	WrittenBurmese	h n a ŋ	h n a ŋ -	8
31	Zaiwa	ŋ a̰ n ⁵³	- ŋ a̰ n ⁵³	8
32	Achang	dʒ w e ⁴⁵	dʒ w e ⁴⁵	9
33	Maru	tʃʰ e ⁴³	tʃʰ - e ⁴³	9
34	Lashi	w ɔ ⁵¹	- w ɔ - ⁵¹	10
