ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	Dashi	m ə˞ ²¹	m ə˞ - ²¹	1
2	Enqi	m æ ²¹	m æ - ²¹	1
3	Gongxing	m æ ¹²	m æ - ¹²	1
4	Jinxing	m a n ²¹	m a n ²¹	1
5	Mazhelong	m ə̃˞ ²¹	m ə̃˞ - ²¹	1
6	ProtoBai	m æ ¹	m æ - ¹	1
7	Tuoluo	m a ³⁵	m a - ³⁵	1
8	Ega	tɕ i u ²¹	tɕ - i u ²¹	11
9	Enqi	tɕ j o ²¹	tɕ j o - ²¹	11
10	Gongxing	dz ao ²¹	- dz ao - ²¹	11
11	Jinman	tɕ j o ²¹	tɕ j o - ²¹	11
12	Jinxing	ts ʯ̃ ⁴²	ts - ʯ̃ - ⁴²	11
13	Mazhelong	tsʰ u ⁴²	tsʰ - u - ⁴²	11
14	ProtoBai	ɖʐ o ⁴	- ɖʐ o - ⁴	11
15	Tuoluo	ʐ y ⁴²	- ʐ y - ⁴²	11
16	Dashi	s o ŋ ³¹	s o ŋ ³¹	21
17	Gongxing	s a ŋ ⁴²	s a ŋ ⁴²	21
18	Jinxing	s ʯ ŋ ³¹	s ʯ ŋ ³¹	21
19	Mazhelong	s o ŋ ²¹	s o ŋ ²¹	21
20	ProtoBai	s u ŋ ³	s u ŋ ³	21
21	Tuoluo	s ʯ ŋ ²¹	s ʯ ŋ ²¹	21
22	Ega	ts o ⁵⁵	ts o ⁵⁵	22
23	Enqi	ts a ⁵⁵	ts a ⁵⁵	22
24	Jinman	ts a ⁵⁵	ts a ⁵⁵	22
25	Dashi	ɣ ou ⁴²	ɣ ou ⁴²	43
26	Jinxing	ɣ ou ⁴²	ɣ ou ⁴²	43
27	Mazhelong	ɣ o ⁴²	ɣ o ⁴²	43
28	ProtoBai	ɣ u ⁴	ɣ u ⁴	43
29	Ega	u ⁴²	u ⁴²	44
30	Enqi	u ²¹	u ²¹	44
31	Jinman	u ⁴²	u ⁴²	44
32	Zhoucheng	ou ⁴²	ou ⁴²	44
33	Ega	pʰ ə ⁴²	pʰ ə - ⁴²	64
34	Enqi	pʰ æ ⁴³	pʰ æ - ⁴³	64
35	Gongxing	pʰ a n ⁴²	pʰ a n ⁴²	64
36	Jinman	pʰ ã ⁴²	pʰ ã - ⁴²	64
37	Jinxing	pʰ a n ³¹	pʰ a n ³¹	64
38	Mazhelong	pʰ ə˞ ²¹	pʰ ə˞ - ²¹	64
39	ProtoBai	pʰ æ n ³	pʰ æ n ³	64
40	Tuoluo	pʰ a ŋ ²¹	pʰ a ŋ ²¹	64
41	Zhoucheng	pʰ o ³¹	pʰ o - ³¹	64
42	Ega	m a ⁴²	m - a - ⁴²	65
43	Enqi	m a ⁴³	m - a - ⁴³	65
44	Gongxing	m a n ²²	m - a n ²²	65
45	Jinman	m ã ⁴²	m - ã - ⁴²	65
46	Jinxing	m a n ³¹	m - a n ³¹	65
47	Mazhelong	m ə̃˞ ²¹	m - ə̃˞ - ²¹	65
48	Tuoluo	m a ŋ ²¹	m - a ŋ ²¹	65
49	Zhoucheng	m j ɛ ³¹	m j ɛ - ³¹	65
50	Dashi	ʈʂʰ ou ⁴⁴	ʈʂʰ - ou ⁴⁴	82
51	Ega	tɕʰ j o ⁴⁴	tɕʰ j o ⁴⁴	82
52	Enqi	tʰ i u ⁵⁵	tʰ i u ⁵⁵	82
53	Jinman	ʈʰ o ⁵⁵	ʈʰ - o ⁵⁵	82
54	Jinxing	tsʰ ou ⁴⁴	tsʰ - ou ⁴⁴	82
55	Mazhelong	tsʰ o ⁴⁴	tsʰ - o ⁴⁴	82
56	ProtoBai	tʰ r o ⁴	tʰ r o ⁴	82
57	Tuoluo	tʰ i u ⁴²	tʰ i u ⁴²	82
58	Gongxing	ŋ a ŋ ²⁴	ŋ a ŋ ²⁴	83
59	Zhoucheng	ŋ a ⁴⁴	ŋ a - ⁴⁴	83
60	Ega	x w a ⁴⁴	x w a ⁴⁴	104
61	Enqi	χ w a ⁵⁵	χ w a ⁵⁵	104
62	Gongxing	x w a ²⁴	x w a ²⁴	104
63	Jinman	x w a ⁵⁵	x w a ⁵⁵	104
64	Jinxing	x u ɑ ⁴⁴	x u ɑ ⁴⁴	104
65	Mazhelong	x w a ⁴⁴	x w a ⁴⁴	104
66	ProtoBai	h w a ⁴	h w a ⁴	104
67	Tuoluo	h w ɔ ⁴²	h w ɔ ⁴²	104
68	Zhoucheng	x w a ⁴⁴	x w a ⁴⁴	104
69	Enqi	ŋ o ⁴³	ŋ o ⁴³	114
70	Gongxing	ŋ o ⁴²	ŋ o ⁴²	114
71	ProtoBai	ŋ o ³	ŋ o ³	114
72	Dashi	tɕʰ ə ⁰	tɕʰ - ə ⁰	119
73	Ega	tsʰ i ⁵⁵	tsʰ - i ⁵⁵	119
74	Enqi	tsʰ i ⁵⁵	tsʰ - i ⁵⁵	119
75	Gongxing	tɕʰ i ⁵⁵	tɕʰ - i ⁵⁵	119
76	Jinxing	tɕʰ i ⁵⁵	tɕʰ - i ⁵⁵	119
77	ProtoBai	tsʰ j i ¹	tsʰ j i ¹	119
78	Tuoluo	tɕʰ i ⁵⁵	tɕʰ - i ⁵⁵	119
79	Dashi	x ã ⁴²	x ã - ⁴²	132
80	Ega	x a ⁴²	x a - ⁴²	132
81	Enqi	χ a ⁴³	χ a - ⁴³	132
82	Gongxing	h a ŋ ⁴²	h a ŋ ⁴²	132
83	Jinman	x a ⁴²	x a - ⁴²	132
84	Jinxing	x ɑ̃ ⁴²	x ɑ̃ - ⁴²	132
85	ProtoBai	h a ŋ ⁵	h a ŋ ⁵	132
86	Tuoluo	h a ŋ ²¹	h a ŋ ²¹	132
87	Dashi	ŋ õ ³¹	ŋ õ ³¹	141
88	Ega	ŋ o ⁴²	ŋ o ⁴²	141
89	Enqi	ɴ o ⁴³	ɴ o ⁴³	141
90	Gongxing	ŋ a ⁴²	ŋ a ⁴²	141
91	Jinman	õ ⁴²	- õ ⁴²	141
92	ProtoBai	ŋ ɔ ³	ŋ ɔ ³	141
93	Tuoluo	ŋ ɔ ²¹	ŋ ɔ ²¹	141
94	Zhoucheng	ŋ o ³¹	ŋ o ³¹	141
95	Ega	pʰ a ⁴⁴	pʰ a ⁴⁴	152
96	Enqi	pʰ a ⁵⁵	pʰ a ⁵⁵	152
97	Gongxing	pʰ a ²⁴	pʰ a ²⁴	152
98	Mazhelong	p ɛ ⁵⁵	p ɛ ⁵⁵	152
99	ProtoBai	pʰ a ¹	pʰ a ¹	152
100	Zhoucheng	p e ³⁵	p e ³⁵	152
101	Dashi	m j ə˞ ³⁵	m j ə˞ - ³⁵	161
102	Enqi	m j a ²⁴	m j a - ²⁴	161
103	Jinxing	m j a n ⁵⁵	m j a n ⁵⁵	161
104	ProtoBai	m j æ ¹	m j æ - ¹	161
105	Tuoluo	ɥ a ŋ ⁵⁵	- ɥ a ŋ ⁵⁵	161
106	Ega	ɲ j a ⁴⁴	ɲ j a ⁴⁴	162
107	Gongxing	ɲ ɥ ɛ ⁵⁵	ɲ ɥ ɛ ⁵⁵	162
108	Jinman	ɲ j o ⁵⁵	ɲ j o ⁵⁵	162
109	Ega	ŋ ɯ ²¹	ŋ ɯ ²¹	170
110	Gongxing	ŋ ɯ ²¹	ŋ ɯ ²¹	170
111	Ega	ɕ i ⁴⁴	ɕ i ⁴⁴	171
112	Gongxing	ɕ i ²⁴	ɕ i ²⁴	171
113	Jinman	ɕ i ⁴⁴	ɕ i ⁴⁴	171
114	Enqi	p i ²⁴	p i ²⁴	172
115	Mazhelong	p ɛ ⁵⁵	p ɛ ⁵⁵	172
116	ProtoBai	p e ¹	p e ¹	172
117	Zhoucheng	p e ³⁵	p e ³⁵	172
118	Dashi	o ⁵⁵	o ⁵⁵	181
119	Zhoucheng	ʯ ⁵⁵	ʯ ⁵⁵	181
120	Enqi	ʔ o ⁵⁵	ʔ o ⁵⁵	184
121	Jinxing	ʔ ʯ ⁴⁴	ʔ ʯ ⁴⁴	184
122	ProtoBai	ʔ o ⁴	ʔ o ⁴	184
123	Enqi	qʰ u ²⁴	qʰ u ²⁴	193
124	Gongxing	qʰ u ⁵⁵	qʰ u ⁵⁵	193
125	Jinman	qʰ u ⁵⁵	qʰ u ⁵⁵	193
126	Mazhelong	kʰ o ⁵⁵	kʰ o ⁵⁵	193
127	ProtoBai	qʰ u ¹	qʰ u ¹	193
128	Zhoucheng	kʰ u ⁵⁵	kʰ u ⁵⁵	193
129	Dashi	k w a ⁴²	k w a ⁴²	200
130	Enqi	q w a ²¹	q w a ²¹	200
131	Gongxing	ɣ w a ²¹	ɣ w a ²¹	200
132	Jinxing	k u ɑ ⁴²	k u ɑ ⁴²	200
133	ProtoBai	ɣ w a ⁴	ɣ w a ⁴	200
134	Tuoluo	g w o ⁴²	g w o ⁴²	200
135	Ega	f e ²²	f e ²²	207
136	Gongxing	pf ɯ ²²	pf ɯ ²²	207
137	Jinman	f ə˞ ²²	f ə˞ ²²	207
138	Tuoluo	f ʯ ³³	f ʯ ³³	207
139	Enqi	p o ²²	p - o ²²	208
140	Mazhelong	p o ²¹	p - o ²¹	208
141	ProtoBai	p j o ²	p j o ²	208
142	Zhoucheng	p o ²¹	p - o ²¹	208
143	Dashi	tɕʰ i ⁴⁴	tɕʰ i ⁴⁴	227
144	Enqi	tɕʰ i ⁵⁵	tɕʰ i ⁵⁵	227
145	Gongxing	tɕʰ i ⁵⁵	tɕʰ i ⁵⁵	227
146	Jinxing	tɕʰ i ⁴⁴	tɕʰ i ⁴⁴	227
147	Mazhelong	tɕʰ i ⁴⁴	tɕʰ i ⁴⁴	227
148	ProtoBai	tɕʰ i ⁴	tɕʰ i ⁴	227
149	Tuoluo	tɕʰ i ⁴²	tɕʰ i ⁴²	227
150	Zhoucheng	tɕʰ i ⁵⁵	tɕʰ i ⁵⁵	227
151	Dashi	p i ²¹	p - i ²¹	247
152	Ega	p ɯ ²¹	p - ɯ ²¹	247
153	Enqi	p ɯ ²¹	p - ɯ ²¹	247
154	Gongxing	b u ¹²	b - u ¹²	247
155	Jinman	p ɯ ²¹	p - ɯ ²¹	247
156	Jinxing	p õ ²¹	p - õ ²¹	247
157	Mazhelong	p əɯ ²¹	p - əɯ ²¹	247
158	ProtoBai	b r i ¹	b r i ¹	247
159	Zhoucheng	p i ²¹	p - i ²¹	247
160	Ega	tɕ i ²¹	tɕ i ²¹	249
161	Enqi	ts u ⁴³	ts u ⁴³	249
162	Gongxing	dz u ¹²	dz u ¹²	249
163	Jinman	tɕ i ²¹	tɕ i ²¹	249
164	Dashi	p j ə˞ ⁴⁴	p j ə˞ ⁴⁴	278
165	Enqi	p j æ ⁵⁵	p j æ ⁵⁵	278
166	Jinxing	p j a ⁴⁴	p j a ⁴⁴	278
167	Mazhelong	p j ə˞ ⁴⁴	p j ə˞ ⁴⁴	278
168	ProtoBai	p r æ ⁴	p r æ ⁴	278
169	Zhoucheng	p j ɛ ⁴⁴	p j ɛ ⁴⁴	278
170	Gongxing	tɕ w ɛ ²⁴	tɕ w ɛ ²⁴	280
