COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	n ɔ ⁵⁵								
495-1	n a ³⁵								
838-1	w ʐ i ʔ ⁵⁵								
438-1	ȵ a ʔ ⁵⁵								
334-1	l o ʔ ⁵⁵								
360-1	l a ³¹								
394-1	n a ³¹								
221-1	o p ⁵⁵								
202-1	tʰ a ³¹								
935-1	o ³¹								
93-1	tsʰ a ³¹								
7-1	pʰ a m ³¹								
664-1	a m ⁵⁵								
246-1	x w a ʔ ⁵⁵								
547-1	w ʐ i ʔ ⁵⁵								
555-1	o m ⁵⁵								
464-1	m a ³¹								
119-1	w i ⁵⁵								
835-1	w ʐ a p ⁵⁵								
79-1	t w o ³¹								
693-1	n̥ a ⁵⁵								
477-1	n w a ⁵⁵								
891-1	tʰ o m ³¹								
528-1	w ʐ o ⁵⁵								
797-1	x ʐ au ʔ ⁵⁵								
493-1	n i ʔ ⁵⁵								
217-1	w pʰ a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	ȵ au ʔ ⁵⁵								
580-1	w ʐ au ʔ ⁵⁵								
833-1	n̥ ɔ ⁵⁵								
390-1	m w a m ³¹								
696-1	n w a ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m a m ³⁵								
61-1	t a m ⁵⁵								
536-1	w pʰ a ʔ ⁵⁵								
731-1	s a ³¹								
779-1	tʰ a ⁵⁵								
589-1	t u ⁵⁵								
658-1	a m ⁵⁵								
456-1	ȵ a m ³¹								
183-1	tʰ o ³¹								
785-1	tʰ ɔ ³¹								
714-1	w a ⁵⁵								
331-1	l ɔ ³¹								
930-1	a p ⁵⁵								
161-1	k w a m ⁵⁵								
814-1	pʰ w a ³¹								
179-1	t ʐ w a ʔ ⁵⁵								
194-1	w ʐ a ʔ ⁵⁵								
727-1	ʂ a ⁵⁵								
260-1	x pʰ a p ⁵⁵								
144-1	w a m ⁵⁵								
53-1	pʰ u m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	pʰ i ʔ ⁵⁵								
29-1	pʰ i ʔ ⁵⁵								
316-1	t w a ʔ ⁵⁵								
389-1	m ʐ w a ŋ ⁵⁵								
118-1	n a ³¹								
312-1	pʰ w o ³¹								
490-1	n w a ³¹								
436-1	ȵ a ³¹								
927-1	n̥ a m ⁵⁵								
383-1	m a ʔ ⁵⁵								
