COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʃʰ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ aː k a							
125-1	b e a ŋ ɾ i							
162-1	l o i s i							
171-1	o m ʃ a							
219-1	t a ŋ p o							
247-1	tʃʰ a ŋ l o n							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b t i							
363-1	n i m b o							
397-1	g a m l i							
406-1	kʰ a m u ŋ							
426-1	m o k p a							
473-1	pʰ i i ŋ							
499-1	z a m a n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k u t a ŋ							
599-1	g o tʰ a m							
608-1	b a n tʰ o							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ tʰ u r							
672-1	t o ŋ p i							
681-1	ɲ ɾ i							
690-1	m i ŋ							
708-1	tʃʰ a r i ŋ b u							
717-1	tʃʰ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m u m n a							
836-1	p s i							
881-1	l a m							
890-1	ɾ a b a							
899-1	s e ɾ							
926-1	tʃʰ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a ɾ a ŋ							
980-1	w a ɾ o ŋ							
998-1	pʰ a o i							
1022-1	l dʒ tʰ u r							
1031-1	b i n a ŋ kʰ o k a							
1069-1	tʃ u a ŋ a o a							
1079-1	ʃ i ŋ i l a							
1098-1	j a ŋ b o n							
1117-1	tʃʰ u n							
1141-1	r i n b u							
1189-1	m a n							
1198-1	n u a							
1208-1	z a l a j a							
1217-1	l a ɲ i o u r							
1253-1	a m a							
1271-1	n u a ŋ							
1289-1	m i n							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ m i							
1343-1	b i n a ŋ							
1361-1	j e n a ŋ a u							
1370-1	n a l u							
1388-1	m a n m i							
1397-1	tʰ u ɾ							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a tʃ a ɾ m a							
1433-1	ʃ u g u							
1442-1	l a m							
1451-1	b l a m							
1468-1	pʰ a k pʰ a							
1477-1	ŋ a s							
1502-1	ŋ a m s o							
1511-1	m u d̪ j a ŋ m i							
1529-1	tʃ a l o							
1538-1	s o l u							
1557-1	tʃ a i l u ŋ							
1618-1	i n tʃ i							
1663-1	z u m							
1689-1	ŋ u i							
1698-1	kʰ u ŋ							
1707-1	m u ŋ n i ŋ							
1716-1	ŋ a m o o							
1742-1	m u g u							
1751-1	b u tʃ l a							
1778-1	s a							
1787-1	tʃ u ɾ p u							
1823-1	l e m							
1832-1	k a a m a							
1842-1	l u ŋ							
1860-1	ŋ a m n j							
1869-1	ʃ u p l a ŋ							
1888-1	ʃ a m p i							
1897-1	s e							
1932-1	ɾ i n a ŋ s o p l a ŋ							
1950-1	z u							
1968-1	t o ŋ t i n ɾ a							
1978-1	k u t p a ŋ							
1987-1	s a n							
2015-1	ŋ a m k o m							
2118-1	m u ŋ ʃ n a ŋ							
2238-1	ŋ a ɾ b o							
2507-1	t e n o ŋ							
2526-1	l e l							
2535-1	ʃ a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	kʰ a i tʰ u r							
2578-1	n i tʃ i ŋ							
2596-1	d u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i h̥							
2719-1	ɾ i l i							
2728-1	k u tʃ u ŋ							
2747-1	ɲ i ŋ n							
2756-1	s e ɾ b u							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ tʃ i l a						
125-2		b i ŋ ɾ a						
162-2		l e i s i						
171-2		o m ʃ						
219-2		t a ŋ p u						
247-2		tʃ a ŋ l u ŋ						
282-2		l u s p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m b a t i						
363-2		n a m b u						
397-2		g a m t i						
406-2		kʰ a u						
426-2		m u k p a						
473-2		pʰ i n u ŋ						
499-2		z a m a n						
526-2		g a ʃ u						
544-2		kʰ u						
553-2		k o t a ŋ						
599-2		g o i tʰ a m						
608-2		b a n tʰ o						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ tʰ u						
672-2		t o ŋ p a						
681-2		ŋ i ɾ i						
690-2		m i ŋ						
708-2		dʒ a ŋ ɾ i m b u						
717-2		dʒ o k p u						
726-2		s i						
744-2		a p a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n a ŋ						
836-2		p ʃ i						
881-2		l a m						
890-2		r a b a						
899-2		s e r						
926-2		tʃ a m						
944-2		g a ɾ a ŋ						
953-2		ʃ u ɾ a ŋ						
980-2		a ă ɾ u ŋ						
998-2		pʰ a i						
1022-2		tʃ a tʰ u						
1031-2		b i n a ŋ u						
1069-2		tʃ o w a ŋ						
1079-2		ʃ u a ă						
1098-2		j a ŋ b u						
1117-2		tʃ u n						
1141-2		ɾ i ŋ b u						
1189-2		m a n						
1198-2		n u						
1208-2		z a l a						
1217-2		l a ŋ i						
1253-2		a m a						
1271-2		n o w o ŋ						
1289-2		m i ŋ						
1316-2		ŋ a ŋ						
1325-2		kʰ a m						
1334-2		s i ŋ b a						
1343-2		b u i n a ŋ						
1361-2		j e n a ŋ						
1370-2		n a g u ŋ						
1388-2		m a n b a						
1397-2		tʰ u r						
1406-2		tʃ o ŋ						
1424-2		g a ɾ a ŋ p u r						
1433-2		ʃ u g u						
1442-2		l a m						
1451-2		b a d a m						
1468-2		pʰ a k p a						
1477-2		ŋ a s						
1502-2		ŋ a m s u						
1511-2		m u d̪ j e ŋ m a						
1529-2		tʃ a l u						
1538-2		s u l u						
1557-2		tʃ o i d u ŋ						
1618-2		i ŋ tʃ a						
1663-2		z u m						
1689-2		ŋ o i						
1698-2		kʰ u ŋ						
1707-2		m o ŋ n a ŋ						
1716-2		ŋ a m						
1742-2		m u g i						
1751-2		b u ʃ i l a						
1778-2		z a						
