COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m ʊ									
893-1	a a n i b a									
1285-1	n ʊ a i									
1303-1	n g ɔ m a									
2197-1	ɔ a l i									
2828-1	i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a a n g a									
3207-1	u l a									
3519-1	t ʊ m a									
3686-1	i m i a									
4249-1	k u m i									
4451-1	i s i									
448-1	k ʊ á i b a									
630-1	ɛ ɛ l i									
814-1	g ɔ á m b ɛ									
1216-1	g a a i b a									
1228-1	ʊ a i									
1418-1	i ʊ u i b a									
1475-1	g i i									
2026-1	t ʊ i i									
2775-1	u a m b a									
3397-1	ɔ l ɔ									
3826-1	ɔ k									
4003-1	i á i a									
4040-1	g ɛ n i									
4373-1	l i i i									
4384-1	i i ɔ									
84-1	s u a i l u									
116-1	i k a									
181-1	g ɔ ɔ n g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ n g ɔ									
660-1	l ɛ l a									
848-1	k a i a									
1083-1	l i l a									
1122-1	i n a									
1159-1	n a									
1350-1	l j a a									
1374-1	n ɔ a a n ɛ									
1396-1	ɔ i u									
1430-1	i ɔ s ɔ									
1666-1	t a a i ɔ									
1767-1	k ɔ k ɔ									
1906-1	i n g i l a									
2177-1	n g a h i									
2286-1	l a									
2317-1	k ʊ i ɛ									
2419-1	s ɛ k									
2750-1	ɛ ɛ i i									
3018-1	k i l									
3275-1	g a a n ʊ									
3441-1	s ɛ a n g a									
3464-1	ɔ n a									
3639-1	t k t ɛ m i l ɛ									
3885-1	s u m ɔ									
3981-1	i ɔ á i b a									
4192-1	i a m b a									
4260-1	s ʊ a i									
4350-1	l ɛ ɛ l b ɔ									
43-1	i á i u									
93-1	ɔ n ɔ									
200-1	i i									
374-1	a á l i b a									
459-1	l u m a									
508-1	p ɔ i u									
528-1	i l i									
575-1	t a i									
871-1	k a i a									
1137-1	ʊ g u									
1339-1	ʊ i i									
1585-1	a a l a									
1712-1	k ʊ l ɔ									
1872-1	p i i									
2088-1	i s a									
2166-1	u á m b a									
2334-1	i g ɔ									
2393-1	m a n a									
2537-1	l ɔ m ɔ									
2665-1	i ɔ n g i									
2738-1	ɛ ɛ l i									
2872-1	k ɔ s i									
2893-1	k i k i a									
2997-1	g a a n s a									
3075-1	g u l u b a									
3675-1	l ʊ ɛ a l i									
4028-1	i ɛ									
4137-1	ɔ l a									
4238-1	i ɔ s i b i									
4316-1	t a t a									
4429-1	p a s a									
4440-1	i l i									
4485-1	s ʊ									
4574-1	ɔ a a l a									
4688-1	ɔ á i ɛ									
143-1	i i									
240-1	ɔ g a									
388-1	ɔ á i m a									
401-1	i									
2689-2		n a m a								
893-2		a a n i a								
1303-2		n k o m a								
2197-2		s a a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a n k a								
3207-2		p u l u								
3519-2		t u m u								
3686-2		v i m b a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n u i n i								
630-2		v e e l e								
814-2		n o m b e								
1216-2		g a v a d a								
1228-2		p i a								
1418-2		v a a a d a								
1475-2		k a a								
2026-2		t i i								
3826-2		v o k a								
4003-2		v i i v a								
4373-2		l i d i								
4384-2		v n o								
84-2		s u k u l u								
116-2		v i k a								
419-2		l o g a								
587-2		o o n k o								
660-2		l e l a								
848-2		k a l a								
1122-2		v u n a								
1159-2		n a								
1350-2		l i a								
1374-2		n a a n a								
1906-2		i n k i l a								
2419-2		s e k a								
2750-2		e e d i								
3441-2		s e e n k a								
3464-2		v o n a								
3639-2		t e t e m d a								
3981-2		v a a a a								
4192-2		v i a m b a								
4350-2		l e e l o o								
278-2		v a								
3971-2		k a m a								
55-2		v i m a								
43-2		v a a d a								
93-2		k o n o								
459-2		l u m a								
1137-2		v i g u								
1585-2		a a l a								
1872-2		p a a								
2166-2		v u u m b a								
2872-2		g o d i								
2997-2		g a a n s a								
3075-2		g u l u d a								
3675-2		l a e a l e								
4137-2		v a l a								
4238-2		v a a o d i								
4316-2		t a t u								
4574-2		v a a a l a								
3067-2		n t u								
3531-2		a a n i d a								
1033-2		v a a a a d d a								
3185-2		v i i k a								
794-2		v e e a k a								
143-2		v u a								
240-2		o a g a								
388-2		v a a u m a								
2689-3			n a m a							
893-3			a a n a l a							
1285-3			n a a a							
1303-3			n a o m a							
2197-3			a a l a							
2828-3			l a n a							
3572-3			o n a							
1095-3			l a m a							
1755-3			n a							
1789-3			k a l a a n k a							
3207-3			f u l a							
3519-3			r u m a							
3686-3			a m l a							
4249-3			k u m a							
4451-3			f a l a							
448-3			o a a l a							
630-3			β e e l a							
1216-3			k a f a l a							
1228-3			a a a							
1418-3			m a a l a							
1475-3			k l a							
3397-3			β o l a							
4003-3			a a f a							
4040-3			k e n a							
4373-3			l a m a							
4384-3			l o							
181-3			k o o n k o							
419-3			l o k a							
587-3			o a n k a							
660-3			l e l a							
1083-3			l a l a							
1350-3			l a a a							
1374-3			n a a n a							
1396-3			o f a							
1666-3			r a a l o							
