COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e ʔ									
56-1	k u m e									
96-1	a k t									
99-1	a r i z a ʔ									
114-1	t o k									
115-1	u z									
133-1	t i p ʔ a n									
144-1	a t a w									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a k w i n									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	m o m r a									
65-1	i w ʔ									
74-1	p a n a									
106-1	t u n k e n									
128-1	p o k									
147-1	t u k u									
231-1	p a n a w o i									
232-1	p i p i ʔ i o ʔ									
239-1	n a m a k a n									
266-1	i i i m ʔ									
51-1	u w e i									
97-1	m a p o m ʔ									
109-1	u p w k i k ʔ									
121-1	k a p a i a k k									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
52-2		e t e								
56-2		e m e k								
96-2		r a n								
99-2		a r k e n u								
114-2		t o k i s i								
115-2		i r i s i								
133-2		a t o p r a s i								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p a k i n								
241-2		a n n w i								
249-2		e s e k								
74-2		p a n a								
93-2		t o p a r i s i								
95-2		n w i k i s i								
106-2		t a n k i s i								
119-2		i j e t e s i								
128-2		k o k i s i								
147-2		t i m i s i								
231-2		k a k a w i								
232-2		k i i i u								
239-2		m a k k a n								
266-2		a i t e m								
51-2		i w i k								
55-2		a k a m								
97-2		a o m a s								
121-2		k a k i k a k a s i								
163-2		e p e n								
52-3			t a a							
56-3			k m o							
96-3			a a t a t i							
99-3			a t i w a m t i a							
114-3			t i k o tʃ e							
115-3			o t i w o tʃ e							
133-3			tʃ i e w a tʃ e							
144-3			k o t i w a tʃ e							
150-3			k a w							
234-3			a k o							
236-3			p o k o m							
241-3			a a k i w i							
249-3			a o							
1-3			w a w a							
2-3			a w a m k							
65-3			a w k i							
93-3			t i e w i tʃ e							
95-3			a w e k e i							
106-3			tʃ i m o a i tʃ e							
119-3			o w a t i tʃ e							
128-3			tʃ o k o tʃ e							
147-3			k m i tʃ e							
231-3			p e m a t i							
232-3			w p i w a k							
239-3			m a m a k a m							
266-3			p a t i m							
3-3			a w i k e i h							
4-3			w a w i h							
55-3			h o a m							
109-3			o p o a tʃ e							
121-3			k e e a e a a							
149-3			tʃ e a e a							
160-3			k w i							
52-4				i t o						
56-4				o m o						
96-4				a t						
99-4				a r i ʔ						
114-4				t o k						
115-4				o r						
133-4				a t i p w a n						
144-4				a t a w						
150-4				k a w						
234-4				k o m						
236-4				p i k o n						
241-4				a w i n						
249-4				i tʃ o						
1-4				w a ʒ̟ a						
2-4				o m						
65-4				i w						
74-4				p a n a						
93-4				t i i						
95-4				k i						
106-4				t o n i a						
119-4				i t i						
128-4				p o k						
147-4				t o k o						
231-4				p a n a w o						
232-4				p i ʔ						
239-4				n a m a k a n						
266-4				i t i m						
3-4				i i k						
4-4				w a i						
51-4				o w o						
97-4				m a p w o m ʔ						
109-4				o p w o k						
121-4				k a p a a k						
149-4				t o k						
160-4				k i r i k						
163-4				o p i n						
52-5					t e t					
56-5					i m e					
96-5					a r a s i					
99-5					a r a j e n					
114-5					t o k o s i					
115-5					w e r e s i					
133-5					t a p a r a s i					
144-5					a w a r a s i					
150-5					k a w					
234-5					k o m					
236-5					p a k i n					
241-5					n a n a w i n					
249-5					i s e					
1-5					w a t a					
2-5					i w i i m					
65-5					i w i i i					
74-5					p a n a					
93-5					t a p a r i s i					
95-5					k i s i					
106-5					t e n n s i					
119-5					s i t i s i					
128-5					k o k o s i					
147-5					t i m i s i					
239-5					m a m a k a n					
266-5					i t i m					
3-5					w i r i k w o					
4-5					w a r i i					
51-5					w e					
55-5					i w a m					
97-5					w a w o m a n					
109-5					i p i i i					
149-5					t o k i					
160-5					k e r e k					
163-5					i p i i					
52-6						t a t a				
56-6						m a				
96-6						t a a tʃ i				
99-6						h t i a t a				
114-6						h h k e tʃ i				
115-6						h t i k a tʃ i				
133-6						h tʃ i p a a t i				
144-6						t t k a tʃ i				
150-6						k a w				
234-6						a k				
236-6						p i k e				
241-6						h a w a n				
249-6						t i				
1-6						w a t a				
2-6						a i m				
65-6						a w				
74-6						p a k a				
93-6						h h p a k i tʃ i				
95-6						a w i i tʃ				
106-6						tʃ i m i tʃ a				
119-6						t a t i tʃ				
128-6						k k tʃ i				
147-6						t u m i tʃ i				
231-6						p h k a t				
232-6						h h p i a n				
239-6						h i m a k a k				
266-6						a t i w				
3-6						h a k i k				
4-6						w a tʃ i				
55-6						h a m				
97-6						w a w a k a n n				
109-6						h p a i tʃ i				
160-6						t i k i n				
52-7							i t a			
56-7							e m i			
96-7							a t			
99-7							a r i j a			
114-7							t i k			
115-7							i r			
133-7							t i p a n			
144-7							a t a w			
150-7							k a w			
234-7							k i m			
236-7							p i k i n			
241-7							a w i n			
249-7							i i			
1-7							w a a			
2-7							m i m a			
65-7							i w			
74-7							p a n a			
93-7							t i a n			
95-7							k i k			
106-7							t i n i			
119-7							a t			
128-7							p i k			
147-7							t i m i			
231-7							p a n a w i			
232-7							e p i j a			
266-7							i i m			
3-7							k a r a k i			
4-7							a t i			
51-7							e w i			
55-7							t i a m			
97-7							m a p i m			
109-7							e p a e k			
121-7							k a p a j a k			
149-7							t i k			
160-7							k i r i k			
163-7							e p i n			
52-8								e t e		
56-8								i m e		
96-8								r a s		
99-8								r i		
114-8								t u k i s i		
115-8								i r i s i		
133-8								t i r a s i		
144-8								a n a r a s i		
150-8								k a v		
234-8								k u		
236-8								a k i		
241-8								a n i		
249-8								i s e		
1-8								v t		
2-8								i m		
65-8								i v i		
74-8								j a a		
93-8								t u a r i s i		
95-8								v i t i		
119-8								i i t i s i		
231-8								j a a		
232-8								n i		
239-8								m a m a k a		
3-8								u r k u		
4-8								v r i		
51-8								v i		
55-8								i a m		
109-8								i i i i		
121-8								k a i a k a s i k		
149-8								t u k		
163-8								i e j a		
52-9									i t	
56-9									k m i	
96-9									k a r a n e ʔ	
99-9									a r i k o k	
114-9									t o k i ʃ i ʔ	
115-9									k i r e ʃ i ʔ	
133-9									a t i p e r a ʃ i ʔ	
144-9									a a r a w a ʃ i ʔ	
150-9									k a w	
234-9									k o m	
236-9									p a k i n	
241-9									a k e w i n	
249-9									i ʃ i ʔ	
1-9									w a t a ʔ	
2-9									i i k m a	
65-9									i w i i	
74-9									p a n a	
93-9									t o p o r i ʃ i ʔ	
95-9									w i k i ʔ i	
106-9									t i n e k e i ʔ	
119-9									i j i t i ʃ i ʔ	
128-9									h o k i ʃ i ʔ	
147-9									t i m i ʃ i ʔ	
231-9									i a i a w i ʔ	
232-9									i i ʔ i i	
239-9									n a m a k a n	
266-9									i t i m	
3-9									i o r i k k o ʔ	
4-9									w a r i i	
51-9									w i	
55-9									i h i a a m ʔ	
97-9									m a h ʔ o m a i	
109-9									i p i k i i i ʔ	
121-9									i a i a i a ʃ e ʔ	
149-9									t o k	
160-9									k i r i k	
163-9									p i n	
52-10										i t e ʔ
56-10										i m e ʔ
96-10										a r a ʔ
99-10										a r i k o n ʔ
114-10										t o k i tʃ i ʔ
115-10										r tʃ i ʔ
133-10										t i p r a tʃ i ʔ
144-10										a r a w a tʃ i ʔ
150-10										k a w ʔ
234-10										k o m
236-10										p e k n ʔ
241-10										a w i ʔ
249-10										i tʃ e ʔ
1-10										w a t a ʔ
2-10										w i m ʔ
65-10										i w i tʃ i
74-10										p a n a
93-10										t o p o r i tʃ i ʔ
95-10										w i k i tʃ i
106-10										t n e tʃ i ʔ
119-10										i j i t i tʃ i ʔ
128-10										o k i tʃ i ʔ
147-10										t i m i tʃ i ʔ
231-10										n ʔ
232-10										i i ʔ
239-10										n a m a k a n ʔ
266-10										i t i m ʔ
3-10										w o r i k o ʔ
4-10										w a r i ʔ
51-10										w e ʔ
55-10										i a m ʔ
97-10										m a o m a tʃ i
121-10										ʔ
149-10										t o k ʔ
