COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a k a ʔ									
56-1	t i m a									
96-1	a m n									
99-1	a m a m a n									
114-1	t a k									
115-1	a n									
133-1	t a k m a									
144-1	k a n									
150-1	k a a									
234-1	t a n									
236-1	p a k a n									
241-1	k a p a a n									
249-1	i m a ʔ									
1-1	i a m a ʔ									
2-1	m a k m n									
65-1	i w n									
74-1	p a n a									
106-1	t i n k									
128-1	t i k									
147-1	t i m									
231-1	t a o w a									
232-1	i p i a a									
239-1	k o m a k n									
266-1	t i i n a ʔ n									
51-1	i w a ʔ									
97-1	i k k a m									
109-1	a p a a k									
121-1	k a p a w a t i									
149-1	t i k									
160-1	k a e a									
163-1	i p a j ʔ									
52-2		t a h a								
56-2		t i m a								
96-2		t a m a s e								
99-2		i j a m a m p								
114-2		t a k a s i								
115-2		a m a s i								
133-2		t t a p a r a s i								
144-2		k r a m a s i								
150-2		t a a								
234-2		t a n								
236-2		t a k a n								
241-2		t a k m a i n								
249-2		i m i								
74-2		t a a								
93-2		t a p a m a s i								
95-2		a a k a i								
106-2		t a m k i s i								
119-2		i j a k a s a								
128-2		t o k i s i								
147-2		t a m a s i								
231-2		t r a i								
232-2		k i h j i								
239-2		t a m a k a n								
266-2		o k a n								
51-2		i w a								
55-2		a m								
97-2		t i k k k a n i n								
121-2		k p a a p a s i								
163-2		i p a m p								
52-3			k a h a a							
56-3			t a m e							
96-3			t a m a a							
99-3			a m a m a m a a							
114-3			t i h a tʃ a							
115-3			i t a m a tʃ a							
133-3			i t a o i m a tʃ e							
144-3			k a m a m a tʃ e							
150-3			t a e							
234-3			i tʃ e m							
236-3			t a tʃ e							
241-3			k a tʃ k m e							
249-3			i m e							
1-3			m a m a							
2-3			i m a tʃ m i							
65-3			a m t i							
93-3			t a k a m a e							
95-3			i m a tʃ i							
106-3			t e m o t a tʃ e							
119-3			k m a t a e							
128-3			k a k a tʃ e							
147-3			k e m a tʃ e							
231-3			t a m a tʃ a							
232-3			u o a k a a							
239-3			k a m a k a							
266-3			t a i tʃ i k							
3-3			k i m a k k e o							
4-3			m i m e t i							
55-3			a t o a a							
109-3			i t i k a k e							
121-3			k a o a a k a a							
149-3			tʃ e k a							
160-3			t a m a							
52-4				t i t a						
56-4				t i m a						
96-4				a o						
99-4				a a m						
114-4				t a k u						
115-4				k a m u						
133-4				p t a a						
144-4				k i a w						
150-4				k a a						
234-4				t a m						
236-4				t i k a n						
241-4				i k a a n						
249-4				i m i						
1-4				i a a						
2-4				m a k m						
65-4				i w						
74-4				p a n a						
93-4				t o p a k						
95-4				m i k						
106-4				t i m k						
119-4				i t						
128-4				t i k						
147-4				t i m						
231-4				t a m o w a						
232-4				t i p i						
239-4				m o p a k a n						
266-4				t i m n a n						
3-4				i m						
4-4				m i w						
51-4				i w a						
97-4				i k k a n						
109-4				a p a t						
121-4				k a p a w a						
149-4				t a						
160-4				k a m a						
163-4				i p a m						
52-5					t a t a ʔ					
56-5					t i m i ʔ					
96-5					k a r a s i					
99-5					a r a m a m n					
114-5					t o k a s i					
115-5					m a m i s i					
133-5					t a k i r a s i					
144-5					k i r a m i s i					
150-5					k a i					
234-5					t a n					
236-5					t a k a n					
241-5					k a m a a i n					
249-5					i m i ʔ					
1-5					i a p a ʔ					
2-5					m a a m					
65-5					i w					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					m i k i					
106-5					t a m a m i s i					
119-5					m i t i s i					
128-5					t a k i s i					
147-5					t i m i s i					
239-5					k o r a k a n					
266-5					t i s i n n					
3-5					w a r i k i					
4-5					w o r i					
51-5					i w a ʔ					
55-5					i t w a i m ʔ					
97-5					t i k e m i					
109-5					i p o a s i					
149-5					t a k ʔ					
160-5					k a m i ʔ					
163-5					i p a m					
52-6						t a t u a				
56-6						t i m i				
96-6						t i m a tʃ i				
99-6						e m i m a m k i i				
114-6						t u k a tʃ i				
115-6						t t i m a tʃ i				
133-6						t t i p i t a tʃ i				
144-6						t a a m a tʃ i				
150-6						k i i				
234-6						a t i				
236-6						t a k i tʃ i				
241-6						t i k a i				
249-6						i m i				
1-6						m a m a				
2-6						i m a t m a e				
65-6						a i u t i				
74-6						t a a				
93-6						t u p a m a tʃ i				
95-6						i m a t a i				
106-6						t u m i p i tʃ i				
119-6						k a tʃ a tʃ a				
128-6						t u m a tʃ i				
147-6						t u m i tʃ i				
231-6						t a m a a i				
232-6						t a t i a a i n i				
239-6						t a p a k a tʃ				
266-6						i a t a k a				
3-6						k i m a a k i				
4-6						m i t i				
55-6						a tʃ t a tʃ				
97-6						w a p t t a t a tʃ				
109-6						a t a k i				
160-6						t i m a				
52-7							k i k a			
56-7							t i m a			
96-7							k a r a			
99-7							a a a m a			
114-7							t a k a a			
115-7							k a m a a			
133-7							k t a k a m a a			
144-7							k a r a m a a			
150-7							k a i			
234-7							a k a n			
236-7							t a k a n			
241-7							k a k k w a n			
249-7							i m a			
1-7							i i a a			
2-7							a m i k m n			
65-7							i w d n			
74-7							p a a			
93-7							t a k a m a a			
95-7							a m i k i a			
106-7							t i m i k a			
119-7							m i k a a			
128-7							t a k a			
147-7							t i m a a			
231-7							t a m a a			
232-7							k a k a a			
266-7							t i a k i d n			
3-7							m a r i d k i n			
4-7							m a a			
51-7							i w a			
55-7							a k k a			
97-7							i k k k a m			
109-7							i a a k a			
121-7							k a k a r a k i			
149-7							t a k			
160-7							k i m a			
163-7							i p a m			
52-8								k a k a		
56-8								t u a		
96-8								k u r a s i		
99-8								a r a m i s b		
114-8								t u k a s i		
115-8								t a r a s i		
133-8								t a t r a s i		
144-8								t r a r a s i		
150-8								k a a		
234-8								t a n		
236-8								t a k a s		
241-8								t a k k a a		
249-8								i s i		
1-8								v i p a		
2-8								t v i k m n b		
65-8								u v i		
74-8								t a a		
