COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	p a							
5-1	ɲ a							
4-1	dʑ a k							
6-1	ts a ŋ							
15-1	tɕʰ a							
55-1	h u							
56-1	a							
60-1	ɕ u							
61-1	t a ŋ							
80-1	dʑ a k							
87-1	tsʰ a							
86-1	pʰ h a							
92-1	pʰ h a							
102-1	ɕ ɛi							
106-1	dʑ a k							
108-1	t a							
107-1	pʰ h a							
112-1	pʰ a							
115-1	ɕ							
114-1	t ɔ ŋ							
120-1	t a							
124-1	a							
125-1	t ɔ k							
132-1	ɕ i							
131-1	ɲ ɔː ŋ							
136-1	m i							
134-1	dʑ a k							
137-1	a							
138-1	dʑ ɔ k							
140-1	ʑ a							
143-1	tɕʰ a k							
145-1	tɕʰ a k							
147-1	l u							
149-1	dʑ i k							
153-1	ɕ							
152-1	kʰ a ŋ							
158-1	dʑ i k							
163-1	ɲ i							
164-1	ɲ u							
167-1	ts a							
171-1	ʑ a ŋ							
172-1	dʑ a k							
173-1	t ɔ s							
183-1	w ɛi							
185-1	l a							
188-1	kʰ a ŋ							
189-1	ts i							
193-1	l u							
196-1	ʑ ɔ s							
199-1	t a							
200-1	kʰ a ŋ							
201-1	tsʰ a							
202-1	t a k							
203-1	t ɔ ŋ							
204-1	p a							
206-1	ʑ a ŋ							
117-1	p a							
146-1	kʰ ɔ t							
219-1	pʰ p ɔ							
218-1	t a							
224-1	ʑ ɔ ŋ							
240-1	tɕʰ a k							
244-1	w i t							
255-1	ʑ ɔ s							
260-1	p a							
263-1	w u							
269-1	kʰ j a k							
271-1	tɕʰ a k							
209-1	kʰ ɔ t							
277-1	ʑ i n							
278-1	t u ŋ							
135-1	t a							
284-1	l u							
797-1	a							
290-1	n ɔː							
289-1	ts i k							
296-1	ɲ i							
310-1	ɕ a							
319-1	i							
325-1	ɲ i							
327-1	t a							
331-1	p u							
337-1	b j a ŋ							
338-1	ɲ ɔː ŋ							
339-1	ɔ s							
350-1	p ɔ							
349-1	t ɔ ŋ							
357-1	p a							
355-1	a							
363-1	ʑ ɔː ŋ							
361-1	t a							
365-1	ʑ a							
364-1	tɕʰ a k							
375-1	ʑ a k							
379-1	ʑ i k							
380-1	p a							
396-1	w ɔi							
400-1	l i							
405-1	t a ŋ							
404-1	ʑ u ŋ							
409-1	w j a k							
410-1	ts i k							
415-1	p a							
416-1	p a							
101-1	ʑ a							
37-1	kʰ a							
424-1	t ɛi							
434-1	tɕʰ a ŋ							
445-1	p n							
446-1	ɕ i							
451-1	t a							
457-1	ʑ a ŋ							
456-1	pʰ a a							
464-1	b j a ŋ							
473-1	ɕ i							
474-1	ɔ ŋ							
479-1	ʑ i ŋ							
489-1	w ɛi							
490-1	ʑ ɛi s							
494-1	ɕ i							
503-1	h au							
502-1	ʑ ɔ ŋ							
235-1	n u ŋ							
519-1	ɲ i							
523-1	i k							
527-1	b j ɔː ŋ							
538-1	ɕ							
544-1	w a ŋ							
850-1	a							
554-1	tɕʰ a							
553-1	ts a ŋ							
558-1	t a m							
561-1	ɕ u							
562-1	p a							
564-1	w ɛi							
567-1	h a							
570-1	p a							
575-1	u							
582-1	h a							
585-1	i s							
589-1	t a ŋ							
593-1	t ɔ ŋ							
594-1	ʑ ɔ ŋ							
595-1	t ɔ s							
596-1	ʑ ɔ k							
598-1	ʑ i p							
599-1	t ɔ s							
602-1	ʑ ɛi							
603-1	w a k							
606-1	ʑ i ŋ							
605-1	p a							
620-1	h ɛi							
637-1	tɕʰ a k							
639-1	s a							
645-1	t a							
646-1	w ɔː ŋ							
168-1	h j a k							
658-1	ts ɔ							
665-1	p a							
668-1	tsʰ u							
677-1	t ɔ ŋ							
75-1	t u ŋ							
678-1	ɕ u							
682-1	ʑ a ŋ							
493-1	ʑ u							
693-1	ɕ u							
694-1	m a							
702-1	ts a ŋ							
704-1	l a							
176-1	h a							
709-1	ʑ a n							
710-1	t ɔ s							
714-1	ʑ b a t							
718-1	t a							
719-1	tɕʰ a ŋ							
22-1	l u							
723-1	ts i ŋ							
726-1	ts a ŋ							
729-1	p a							
730-1	h i							
739-1	pʰ ɲ i							
740-1	p a							
741-1	dʑ ɔ k							
744-1	a							
743-1	ʑ ɔː ŋ							
746-1	t u ŋ							
748-1	t a k							
747-1	kʰ a							
749-1	t a ŋ							
751-1	t ɔ s							
762-1	ʑ a ŋ							
764-1	ʑ u ŋ							
765-1	tɕʰ a							
788-1	ʑ a m							
615-1	w a k							
803-1	ɕ u							
802-1	j a k							
808-1	p a							
809-1	tɕʰ i							
819-1	dʑ a k							
821-1	ɕ u							
820-1	p a							
828-1	dʑ a k							
827-1	p a							
835-1	h ai							
308-1	h a							
844-1	ʑ i p							
848-1	ɕ i							
705-1	h a							
613-1	i							
649-1	h j a k							
876-1	tɕʰ a							
878-1	w a ŋ							
889-1	ʑ i s							
898-1	dʑ a k							
902-1	tɕʰ u							
910-1	i ŋ							
916-1	ɲ i							
919-1	ɲ i							
922-1	ʑ i k							
930-1	tsʰ a							
933-1	t a							
939-1	h j a k							
947-1	w ɔː ŋ							
948-1	ʑ a ŋ							
963-1	ʑ u							
967-1	dʑ a k							
969-1	ɕ							
970-1	dʑ a k							
972-1	ɲ i							
