** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.1026        0.2323       0.7289         0.6439       2.3846        0.5093       0.4140         0.3200
10               1.2188        0.2551       0.7109         0.6360       2.7188        0.5913       0.3724         0.2667
2                0.8710        0.1875       0.7949         0.7074       2.3226        0.5281       0.4341         0.3346
3                1.2500        0.2913       0.7556         0.5332       2.7500        0.5996       0.5238         0.1951
4                0.6071        0.1458       0.8658         0.7477       2.5714        0.5970       0.3512         0.2218
5                2.0000        0.5500       0.7698         0.2611       3.4000        0.8167       0.6081         0.0826
6                0.8667        0.2045       0.8148         0.6637       2.7000        0.6306       0.3853         0.2134
7                1.0870        0.2443       0.8041         0.6175       2.6957        0.6420       0.4273         0.2266
8                0.6429        0.1608       0.8513         0.7251       2.5000        0.5457       0.4062         0.3033
9                1.6500        0.3358       0.7394         0.5505       3.2000        0.6870       0.3789         0.2140
TOTAL            1.1296        0.2607       0.7835         0.6086       2.7243        0.6147       0.4301         0.2378


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.3944        0.2907       0.6646         0.5775       2.6761        0.5812       0.3256         0.2635
10               1.4600        0.2904       0.6434         0.5921       2.5800        0.5551       0.3596         0.3001
2                1.1786        0.2462       0.6963         0.6332       2.6250        0.5854       0.3740         0.2354
3                2.2222        0.5083       0.5753         0.3461       2.7778        0.6204       0.4750         0.1948
4                1.0000        0.2500       0.7220         0.6178       2.4107        0.5888       0.3022         0.2377
5                2.0000        0.6354       0.6826         0.1932       3.1250        0.8021       0.5266         0.0607
6                0.8846        0.1992       0.7882         0.6876       2.8846        0.6579       0.3219         0.1933
7                1.3158        0.3154       0.7328         0.5270       2.9474        0.6952       0.3444         0.1752
8                0.8400        0.2084       0.7725         0.6739       2.5000        0.5586       0.3503         0.2662
9                1.5143        0.3569       0.6572         0.4946       3.2571        0.7006       0.3146         0.1791
TOTAL            1.3810        0.3301       0.6935         0.5343       2.7784        0.6345       0.3694         0.2106


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4059        0.3066       0.6360         0.5352       2.5149        0.5432       0.3458         0.2804
10               1.3429        0.2530       0.6575         0.6276       2.9000        0.5952       0.3108         0.2684
2                1.0800        0.2290       0.6936         0.6741       2.5600        0.5830       0.3451         0.2718
3                2.2500        0.5204       0.5762         0.3402       2.9500        0.6342       0.4452         0.2120
4                0.9189        0.2221       0.7248         0.6583       2.5541        0.6266       0.3012         0.2035
5                2.5455        0.6439       0.6254         0.1666       2.9091        0.7121       0.4686         0.1996
6                1.1739        0.2602       0.7169         0.6003       2.6232        0.6091       0.3196         0.2175
7                1.6122        0.3640       0.6435         0.4785       2.8980        0.6893       0.3370         0.1861
8                1.0959        0.2634       0.7153         0.6113       2.9041        0.6508       0.3131         0.2083
9                2.0500        0.4395       0.5729         0.4094       3.1250        0.6574       0.3166         0.2251
TOTAL            1.5475        0.3502       0.6562         0.5101       2.7938        0.6301       0.3503         0.2273


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4929        0.3280       0.6172         0.5283       2.6714        0.5918       0.3070         0.2529
10               1.2875        0.2539       0.6631         0.6222       2.7875        0.5811       0.3327         0.2731
2                1.1294        0.2394       0.6826         0.6570       2.5529        0.5747       0.3419         0.2587
3                2.4545        0.5523       0.5477         0.3035       3.0000        0.6457       0.4085         0.2201
4                1.2584        0.2955       0.6539         0.5519       2.8202        0.6919       0.2426         0.1533
5                2.5455        0.6439       0.6254         0.1666       2.9091        0.7121       0.4686         0.1996
6                1.2000        0.2784       0.6563         0.5685       2.7889        0.6317       0.3001         0.2167
7                1.7818        0.4000       0.6049         0.4393       2.9455        0.7042       0.3053         0.1910
8                1.2471        0.2905       0.6611         0.5648       2.7294        0.6276       0.2923         0.2029
9                2.0000        0.4209       0.5687         0.4486       3.2143        0.6731       0.3157         0.1970
TOTAL            1.6397        0.3703       0.6281         0.4851       2.8419        0.6434       0.3315         0.2165


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.9477        0.4325       0.5433         0.3991       2.5163        0.5654       0.3255         0.2596
10               1.6111        0.3267       0.6034         0.5249       2.9333        0.6172       0.2979         0.2262
2                1.6923        0.3744       0.5865         0.4792       2.5481        0.5877       0.3260         0.2411
3                3.0370        0.6876       0.4534         0.1893       3.0741        0.6819       0.3534         0.2192
4                1.6228        0.3755       0.5871         0.4566       2.7368        0.6977       0.2158         0.1292
5                2.5455        0.6439       0.6254         0.1666       2.9091        0.7121       0.4686         0.1996
6                1.5455        0.3376       0.5987         0.5225       2.7091        0.6237       0.2840         0.2225
7                1.9219        0.4349       0.5392         0.4202       3.0156        0.7424       0.2685         0.1477
8                1.4479        0.3420       0.6210         0.4954       2.8333        0.6549       0.2776         0.1821
9                2.6170        0.5700       0.5354         0.2830       3.1702        0.6987       0.3145         0.1769
TOTAL            1.9989        0.4525       0.5693         0.3937       2.8446        0.6582       0.3132         0.2004


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.6923        0.1994       0.8221         0.6938       0.7885        0.2353       0.7270         0.6397
Changsha              0.9423        0.2715       0.7535         0.6282       0.8654        0.2651       0.7050         0.6255
Chaozhou              1.5192        0.3955       0.6070         0.4542       1.5000        0.3994       0.5518         0.4662
Chengdu               0.6538        0.1804       0.8464         0.7223       0.8462        0.2481       0.7126         0.6371
Fuzhou                1.0962        0.2766       0.7308         0.5879       1.2115        0.3192       0.6358         0.5327
Guangzhou             1.2500        0.3641       0.7000         0.5046       1.3462        0.3808       0.5840         0.4569
Hankou                0.6538        0.1910       0.8535         0.7119       0.7500        0.2167       0.7321         0.6795
Jinan                 0.7308        0.2199       0.8174         0.6827       0.7692        0.2314       0.7283         0.6612
Meixian               0.9038        0.2420       0.7388         0.6388       1.2692        0.3394       0.5891         0.5171
Nanchang              0.9615        0.2772       0.7486         0.6106       1.2308        0.3462       0.6160         0.5178
Shanghai              1.3269        0.3776       0.6650         0.4966       1.2308        0.3817       0.6172         0.4933
Shuangfeng            1.1154        0.3138       0.7211         0.5603       1.2692        0.3654       0.6222         0.4833
Suzhou                1.0769        0.2981       0.7255         0.5681       1.0000        0.2849       0.6836         0.5624
Taiyuan               1.0385        0.2808       0.7222         0.6061       0.8269        0.2301       0.7160         0.6631
Wenzhou               1.5769        0.4529       0.5904         0.4043       1.4615        0.4401       0.5699         0.3955
Xiamen                1.1346        0.2946       0.7126         0.5606       2.6731        0.6920       0.4829         0.1376
XiAn                  0.8077        0.2359       0.8135         0.6459       2.8077        0.7330       0.4865         0.1245
Yangzhou              0.9808        0.2692       0.7562         0.6283       0.8077        0.2269       0.7219         0.6677
ZhongyuanYinyun       2.4423        0.5827       0.5058         0.2713       0.9231        0.2356       0.7304         0.6441
TOTAL                 1.1002        0.3012       0.7279         0.5777       1.2409        0.3459       0.6427         0.5213


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.20.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7596        0.2205       0.7766         0.6852       0.9231        0.2705       0.6650         0.5912
Changsha              0.9808        0.2870       0.7051         0.6056       0.9423        0.2846       0.6548         0.5944
Chaozhou              1.6538        0.4216       0.5319         0.4336       1.7115        0.4583       0.4519         0.3835
Chengdu               0.6731        0.1893       0.8051         0.7084       0.7500        0.2157       0.7032         0.6768
Fuzhou                1.1154        0.2824       0.6739         0.5837       1.2981        0.3370       0.5830         0.5096
Guangzhou             1.2596        0.3627       0.6394         0.4944       1.3077        0.3742       0.5262         0.4534
Hankou                0.6827        0.2006       0.7943         0.7053       0.7981        0.2341       0.6956         0.6515
Jinan                 0.7019        0.2173       0.7801         0.7023       0.8750        0.2694       0.6552         0.6168
Meixian               1.0673        0.2795       0.6589         0.5950       1.3942        0.3734       0.5320         0.4553
Nanchang              1.0962        0.3040       0.6732         0.5630       1.2788        0.3479       0.5736         0.4925
Shanghai              1.3558        0.3909       0.6236         0.4843       1.0000        0.3090       0.6391         0.5612
