COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r ɨ									
18-1	ʔ a r i									
35-1	h i tɕ u ts ɨ									
36-1	h u k a ts ɨ									
48-1	n a g u s a r i									
60-1	θ u s r i									
63-1	s i r a m i									
64-1	k u									
67-1	h h i									
68-1	n aː u r r i									
71-1	n ʔ a tɕ i									
76-1	h u n ɨ									
83-1	ts u n a									
87-1	h a n u r i									
95-1	m i m i									
98-1	h a n i									
99-1	k u b i									
-102-1	s aː b u i									
103-1	ʔ u m a									
110-1	θ u									
116-1	m a b a n a									
120-1	n u r u r i									
132-1	k i x u r i									
139-1	ʔ k u r a s i r									
140-1	ʔ ɨː r u r i									
156-1	θ a b e r i i									
168-1	h u i r i									
169-1	h a s i									
14-2		k u m								
18-2		k a r a								
35-2		h a t o ts i								
36-2		h a k i ts i								
48-2		n a g a kʲ a								
60-2		t a r a								
63-2		s i r a r a								
64-2		k i								
67-2		h o kʲ a								
68-2		n a								
71-2		tɕ i								
76-2		h o m a								
83-2		k u m a								
87-2		h a n i								
95-2		m i m u								
98-2		h a n a								
99-2		k u s i								
-102-2		s i k a a a k a								
103-2		u m								
110-2		t e								
116-2		m ts a n a								
120-2		n a r u								
132-2		k a k u								
139-2		k u r a s i								
140-2		i r a u								
156-2		a k e r u a								
168-2		h u k kʲ i								
169-2		h a s i								
14-3			k u							
18-3			k a							
35-3			h i t							
36-3			h a							
48-3			h a e							
60-3			t o r							
63-3			s a r a							
64-3			k							
67-3			h							
68-3			n a							
71-3										
76-3			h a n							
83-3			k u n							
87-3			h a k							
95-3			m iː							
98-3			h a i n a							
99-3			k u							
-102-3			s a o a							
103-3			u m							
110-3			t e							
116-3			m a n							
120-3			h a e							
132-3			i							
139-3			k u r a							
140-3			i r u							
156-3			t a u o							
168-3			h a k							
169-3			h a i ɕ							
14-4				k u r a						
18-4				k u r a						
35-4				h i t o t u						
36-4				h a t a t a						
48-4				n a g o i						
60-4				t o r a						
63-4				s i r a r i						
64-4				k i						
67-4				h a						
68-4				n a						
71-4				t i						
76-4				h a n a						
83-4				t u n a						
87-4				h a n a						
95-4				m i m i						
98-4				h a n a						
99-4				k u s i						
-102-4				s i t a						
103-4				t u m a						
110-4				t e						
116-4				m k a n a						
120-4				n a r u						
132-4				k i k u						
139-4				k u r a s i						
140-4				i r e u						
156-4				t a k e r u						
168-4				h u k i						
169-4				h a s i						
14-5					k u r a					
18-5					k a r a					
35-5					h i t o ts u					
36-5					h a k e u					
48-5					n a ŋ o i					
60-5					t o r a					
63-5					s a r a r i					
64-5					k i					
67-5					h i a					
68-5					n u					
71-5					i					
76-5					h a n a					
83-5					k u n a					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u s i					
-102-5					s i t a					
103-5					k u m e					
110-5					t o					
116-5					m k a n e					
120-5					m o r u					
132-5					k i k u					
139-5					k u r a s u					
140-5					i r e u					
156-5					t a k e r u					
168-5					h u k i					
169-5					h a s i					
14-6						ts u m ɨ				
18-6						u ɭ				
35-6						p u t u ts ɨ				
36-6						p u k i ts ɨ				
48-6						n a				
60-6						t u r a				
63-6						s u m				
64-6						k u				
67-6						p t a				
68-6						n aː a				
71-6						a ɨ				
76-6						p a n a				
83-6						ts u n a				
87-6						p a n i a				
95-6						m i m ɨ				
98-6						p a n a				
99-6						f u ts ɨ				
-102-6						s ɨ k a a r a				
103-6						u m a				
110-6						t u				
116-6						m m a n a				
120-6						n u ts				
132-6						ts ɨː				
139-6						k u r a s ɨ				
140-6						ɨ r ɭ				
156-6						t a k i ɭ dz				
168-6						ts u a				
169-6						p u s ɨ				
14-7							k o r a			
18-7							o r e			
35-7							h o t o ts u			
36-7							h a t e ts u			
48-7							n a ŋ eː			
60-7							t o r eː			
63-7							s i r a r a			
64-7							k e			
67-7							ɸ u a			
68-7							n a			
71-7							tɕ e			
76-7							h o n a			
83-7							ts u n a			
87-7							ɸ a n e			
95-7							m e m u			
98-7							h a n a			
99-7							k u s i			
-102-7							s i t a			
103-7							u m a			
110-7							t e			
116-7							m a n a			
120-7							n a r u			
132-7							i k u			
139-7							k u r e s i			
140-7							u r e u			
156-7							t a k e r u			
168-7							ts u k i			
169-7							h a s i			
14-8								k u r a		
18-8								k u r i		
35-8								h o t a ts i		
36-8								h a k e ts u		
48-8								n a g a i		
60-8								t o r a		
63-8								s i r a r i		
64-8								k i		
67-8								h a		
68-8								n a b		
71-8								tɕ i		
76-8								h a n a		
83-8								k u n a		
87-8								h a n k i		
95-8								m i m i		
98-8								h a n a		
99-8								k u s i		
-102-8								s i k oː i k a		
103-8								k u m a		
110-8								t e		
116-8								m k a n a		
120-8								n a r u		
132-8								k i k u		
139-8								k u r a s i		
140-8								i r e u		
156-8								t a k e r k u		
168-8								h u k i		
169-8								h a s i		
14-9									tɕ u r i	
18-9									ʔ a r i	
35-9									h i ɕ u ɕ i	
36-9									h u ts a ɕ i	
48-9									n a g u s a ɴ	
60-9									t u r a i	
63-9									s i r oː m	
64-9									k u	
67-9									h ɴ i	
68-9									n a s a ɴ	
71-9									ʔ ʔ i tɕ i	
76-9									h u n i	
83-9									ɕ u n i	
87-9									h a n a i	
95-9									m i m i	
98-9									h a n i	
99-9									k u tɕ i	
-102-9									s i k ɴ a a i	
103-9									ʔ u m i	
110-9									t u	
116-9									m i m a n i	
120-9									n u j u ɴ	
132-9									tɕ a ts u ɴ	
139-9									ʔ u k u r a s i ɴ	
140-9									ʔ a r u ɴ	
156-9									t a k i ɴ u	
168-9									ɕ u ts a i	
169-9									h a s i	
14-10										k u r a
18-10										a r i
