COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	n au ⁵						
4-1	j a ³						
18-1	n a̰ ḛ k ³						
19-1	n j ḛ k ³						
44-1	g j u k ³¹						
50-1	g u ŋ ³						
62-1	s ai k ⁵³						
70-1	b j ɔ n ³¹						
75-1	n j u k ³¹						
97-1	d j a ŋ ³¹						
112-1	b u ³						
122-1	n j u k ³²						
127-1	kʰ ai ei ³						
132-1	kʰ j a ³¹						
133-1	n au ⁴³						
135-1	n au ⁴³						
142-1	ts a̰u ei ³¹						
143-1	j a m ⁵³						
149-1	j ai ⁵²						
152-1	n a ³¹						
157-1	b u ³						
183-1	tsʰ a ³						
184-1	j j ³¹ p ⁵						
185-1	h a m ³						
189-1	n j ɔ k ³²						
192-1	j a ³						
195-1	j u ³						
200-1	tsʰ au n ⁴³						
216-1	n j a n ³						
218-1	l a k ³¹						
225-1	s ai k ³¹						
235-1	k j ɛ ⁵²						
244-1	n a ei ³						
253-1	n ei ³						
270-1	n j ei k ⁵						
278-1	n a̰ ḛ k ³						
279-1	a ɔ ⁴³						
285-1	j au k ⁴						
308-1	b au ɔ ³						
322-1	n j ei k						
325-1	kʰ a ⁵						
337-1	n j a k ³						
341-1	ts a̰u						
347-1	n j a k ⁵²						
362-1	j au ³						
391-1	j a p ³¹						
394-1	m u ʔ ⁴³						
397-1	dʒ ai ³¹						
443-1	n j a k ³¹						
460-1	s ai k ⁵³						
463-1	j au ³						
464-1	l a n ³						
473-1	s ai m ³						
476-1	g j u k ³²						
481-1	tʰ ai t ³						
494-1	g ei ³						
496-1	k j a n ³						
516-1	j a ³						
522-1	n a ʔ ⁵³						
523-1	g j u ³						
524-1	n u ³						
540-1	b u ³						
3-1	b au p ³						
6-1	kʰ u ⁴						
7-1	d a k ³						
20-1	n a n ³¹						
51-1	n ei n ⁴³						
64-1	k a m ³¹						
65-1	g a k ⁴²						
66-1	ts a̰u						
71-1	tsʰ u ³						
72-1	b u ³						
76-1	j u ³						
77-1	n j ɛ̰ k ³						
78-1	m au ⁴³						
82-1	b a n ³¹						
87-1	j a ⁵						
93-1	h a m ⁵						
94-1	j ɛ̰ k ³						
100-1	n j a m ³						
116-1	j ei ³						
119-1	j a m ⁵						
124-1	g j u ³						
136-1	l a ei ³						
137-1	d j a au ³						
144-1	n a t ⁵						
145-1	d a k ³						
146-1	n a au ³¹						
150-1	g j a k ³¹						
154-1	j a u ³						
165-1	k j ɛ n ³						
166-1	g j ɔ ³²						
169-1	g j u k ³						
170-1	d j ɔ ³²						
171-1	j a ŋ ³						
174-1	l a m ³						
181-1	n j ɔ k ³²						
193-1	b a ³						
205-1	n a k ⁵						
206-1	n j au k ³						
212-1	kʰ j a m ⁵³						
214-1	l a m ³						
217-1	m a ³						
224-1	n a l au ³						
228-1	b a n ³¹						
238-1	j au ³¹						
241-1	tsʰ ɔ ³						
246-1	g j u ⁴³						
256-1	s ai ³						
257-1	pʰ j ³ ³						
272-1	j ɔ ³						
273-1	h a ³¹						
274-1	h a ŋ ³¹						
286-1	kʰ j a n ⁴³						
289-1	kʰ a n ³						
294-1	j ai ³¹						
301-1	j a p ³¹						
306-1	b j u k ³¹						
307-1	n a p ³¹						
321-1	d a m ³¹						
331-1	m j ɔ ³						
332-1	j ɔ k ³¹						
335-1	g j ɔ ³²						
336-1	n j a k ³¹						
340-1	n au ⁵						
342-1	n j l au ⁴³						
360-1	b au ³¹						
376-1	n j ai n ³						
389-1	n ḛ ʔ ³ ⁵						
395-1	j a t ³						
401-1	s ɛ t ³						
404-1	d au n ³¹						
408-1	au ⁵						
409-1	j a ³						
413-1	tʃʰ j au m ³						
421-1	n j u k ³²						
425-1	b ɔ ⁵²						
430-1	dʒ ai ³¹						
442-1	d ai t ³						
447-1	d a k ³						
456-1	b u ³						
458-1	h u ³²						
469-1	kʰ a ⁵						
470-1	b j p ³						
475-1	j ei ³²						
477-1	n a̰ ɔ ⁵						
478-1	ts a̰u ³¹						
480-1	kʰ a ³¹						
485-1	n j ɔ ³²						
495-1	m u ³¹						
499-1	n j ḛ ŋ ⁴						
500-1	d a a̰ u k ⁵						
501-1	d ai k ³						
506-1	k a t ³						
507-1	s a ʔ ⁴³						
509-1	l a m ³						
510-1	b u a n ³¹						
511-1	j a k ⁵³						
521-1	h au ⁴³						
525-1	n a l au ⁴³						
538-1	a au ³						
539-1	k ɛ n ³						
544-1	g j a k ³¹						
550-1	kʰ j a ⁵³						
562-1	n j ḛ k ⁴²						
568-1	kʰ a ³¹						
2-1	d a n ⁴						
11-1	kʰ a ³						
12-1	w a̰u ³¹						
22-1	d a ŋ ³						
28-1	d ɔ ³¹						
29-1	t a ³						
30-1	l a ŋ ⁵						
35-1	l a m ³						
38-1	d tʃʰ a t ³						
42-1	b au ⁵						
46-1	t u ³						
52-1	dʒ j a m ³¹						
55-1	d j a m ³						
69-1	n a ³¹						
79-1	k j ɛ m ³						
83-1	a̰u ³						
86-1	j a ŋ ³						
89-1	s ai m ⁵³						
90-1	b a ³¹						
91-1	k a n ²						
92-1	dʒ a ³¹						
106-1	dʒ ɛ ³¹						
120-1	tʃʰ j a ³						
125-1	j m ⁵						
148-1	a k ³						
173-1	b a ³¹						
179-1	j a t ³						
186-1	s a ³¹						
187-1	l a ŋ ³						
197-1	m j ³¹ k ⁵						
209-1	k j ɔ m ³						
210-1	k a a k ³						
211-1	t a ³						
213-1	l a ʔ p ⁵³						
215-1	d ɔ ³						
220-1	d a k ³						
237-1	h u ³²						
239-1	h a m ⁵						
242-1	h a ³						
248-1	kʰ a ⁵						
255-1	d j j ³¹						
271-1	tʃʰ au ⁴³						
275-1	j j ŋ ³						
277-1	dʒ j au n ⁴³						
295-1	kʰ a k ⁴						
302-1	dʒ j ə m ³¹						
309-1	j u k ³¹						
312-1	pʰ a ³¹						
313-1	j j ɔ ³						
314-1	d e m ³						
315-1	dʒ ɛ ŋ ³¹						
330-1	l a ³⁴						
333-1	n j a m ³						
338-1	n j a k ³¹						
346-1	s ai k ⁵³						
348-1	j a ³¹						
1-2		m a ŋ ²³					
4-2		j a ²³					
18-2		m l a ²³					
19-2		l i a ŋ ³					
44-2		l a ʔ ⁵²					
50-2		m w i ²³					
62-2		m j ²³					
70-2		w a ²³					
75-2		m j a ²³					
97-2		l õ ⁵²					
112-2		p a ²³					
122-2		l j a ʔ ²³					
127-2		k i a ⁵²					
132-2		k l a ʔ ²³					
133-2		l j a ʔ ²³					
135-2		l a ŋ ²³					
142-2		ts a a ⁵²					
143-2		k l a ʔ ⁵²					
149-2		n a ²³					
152-2		l i ²³					
157-2		p a ²³					
183-2		m a ⁵²					
184-2		l õ ʔ ⁵² ²³					
185-2		ʔ j ³					
189-2		j a ʔ ²³					
192-2		k l a ŋ ²³					
195-2		m a ²³					
200-2		t a ²³					
216-2		õ ²³					
218-2		l a ⁵²					
225-2		l õ ²³					
235-2		k l a ³					
244-2		m i a ⁵²					
253-2		m j ŋ a ⁵²					
270-2		l a ŋ ²³					
278-2		m l a ²³					
279-2		k j a ⁵²					
285-2		k j a ²³					
308-2		a ⁵²					
322-2		l a ²³					
325-2		k a ŋ ²³					
337-2		l j a ³					
341-2		t ts a ²³					
347-2		k a ʔ ⁵²					
362-2		j a ⁵² ³					
391-2		j j ²³					
394-2		m a ŋ ⁵²					
397-2		t õ ²³					
443-2		l j a ʔ ²³					
460-2		l j ²³					
463-2		k j a ŋ ²³					
464-2		j j ²³					
473-2		l j ²³					
476-2		k j a ʔ ²³					
481-2		ʔ j ²³					
494-2		k p a ³					
496-2		l õ ²³					
516-2		j a ⁵²					
522-2		l a ⁵²					
523-2		k j a ʔ ³					
524-2		m a ²³					
540-2		p a ²³					
3-2		p m a ŋ ²³					
6-2		k p a ³					
7-2		t j ²³					
20-2		l j ²³					
39-2		j j a ʔ ²³					
51-2		l j a ʔ ²³					
72-2		p a ⁵²					
94-2		m l a ²³					
100-2		m j a ²³					
116-2		l i ⁵²					
136-2		j a i ⁵²					
137-2		k j a ³ ²³					
139-2		j a ⁵²					
150-2		j a ʔ ³					
154-2		m l a ³					
166-2		p j a ⁵²					
169-2		j a ²³					
170-2		p j a ⁵²					
171-2		l au ²³					
174-2		l a ²³					
181-2		j a ʔ ³					
205-2		l j ²³ ²³					
206-2		m a ŋ ²³					
214-2		l a ²³					
217-2		a ⁵²					
224-2		l j a ³					
228-2		p j ²³					
246-2		k a a ⁵²					
256-2		ʔ a ²³					
257-2		k a ³					
273-2		k j ²³					
286-2		k a ²³					
307-2		l j ²³					
335-2		k j a ⁵²					
342-2		m j a ³					
376-2		m t o ʔ ²³					
389-2		l j ʔ ³					
404-2		ts õ ²³					
408-2		k a ²³					
413-2		l õ ²³					
421-2		k l a ʔ ²³					
430-2		t j ²³					
458-2		m i ²³					
470-2		k a ²³					
475-2		m a ²³					
477-2		l a a ²³ ²³					
478-2		j a ²³					
480-2		k a ŋ ²³					
485-2		l j a ⁵²					
495-2		l p a ⁵²					
499-2		l j a ²³					
500-2		j kʰ a ²³					
506-2		t j a ²³					
509-2		l o ²³					
525-2		l j a ³ ²³					
22-2		k j ²³					
28-2		a ³					
29-2		t j ŋ ³					
30-2		l o ²³					
35-2		l a ²³					
38-2		t t a ²³					
46-2		p a ⁵²					
52-2		l a ʔ ³					
55-2		kʰ a ²³					
69-2		n j ³					
125-2		j a ²³					
163-2		n a ³					
173-2		t j ³					
179-2		n a ³					
210-2		t l a ²³					
211-2		t j ²³					
213-2		l a ²³ ²³					
215-2		ts a ³ ³					
237-2		m j ³					
252-2		k a ³					
255-2		p a a ²³					
275-2		l a ²³					
281-2		k a ⁵²					
300-2		k a ³					
333-2		k i ²³					
1-3			m au ³²				
4-3			j ɔ ³²				
18-3			m a a ŋ ³²				
19-3			m j au ⁵²				
44-3			j o ʔ ²				
50-3			m j a ŋ ³¹				
62-3			s ə ⁵³				
70-3			b w a n ²				
75-3			m j o k ³²				
97-3			dʒ au ŋ ³				
112-3			b u ³²				
122-3			m j o k ³²				
127-3			kʰ a ɔ ⁴				
132-3			d j o ³²				
133-3			m j au ³¹				
135-3			m au ³²				
142-3			d z a ɔ ³¹				
143-3			n ɔ ³²				
149-3			tʰ a ⁵³				
152-3			l ai ²⁴				
157-3			b ɔ ³				
183-3			b ɔ ³				
184-3			m a k ⁴ ²				
185-3			d a m ²				
189-3			m j o k ³²				
192-3			n au ⁴				
195-3			j ɔ ³				
200-3			au ³¹				
216-3			m a ŋ ³²				
218-3			j o ʔ ²				
225-3			s ə ŋ ⁵³				
235-3			g j e ³²				
244-3			m a ɔ ⁵³				
253-3			m j ɔ ³¹				
270-3			m j e ⁵²				
278-3			m j a ŋ ³¹				
279-3			a ɔ ³				
285-3			b j au ŋ ²				
308-3			g a u ⁴				
322-3			m j ɔ ³				
325-3			kʰ au ³²				
337-3			m j a ŋ ³				
341-3			d z ɔ ⁴				
347-3			m w o k ³²				
362-3			j a ³²				
391-3			j o k ³²				
394-3			m o ʔ ⁴				
397-3			d e ⁵³				
443-3			m j o ³²				
460-3			s a ⁵³				
463-3			j au ⁴²				
464-3			d a ŋ ³				
473-3			s a m ⁵³				
476-3			g j o k ³²				
481-3			tsʰ u ³¹				
494-3			g ɔ ⁴				
496-3			m j a ŋ ³¹				
516-3			j ɔ ³				
522-3			m a ʔ ⁴				
523-3			g j au ³¹				
524-3			j u ³				
540-3			b ɔ ³				
3-3			b a au ²				
6-3			g ɔ ⁴				
7-3			d a ⁵³				
20-3			l o t ²				
39-3			m a ⁵²				
51-3			n j au ³¹				
64-3			g au ŋ ³¹				
65-3			b au ³²				
66-3			d h u				
71-3			b u ³				
72-3			b a ³				
76-3			j u ³				
77-3			m j au ⁵²				
78-3			m au ³¹				
82-3			b w a ŋ ³¹				
87-3			m au ʔ ⁴				
93-3			l a m ²				
94-3			l j au ³²				
100-3			a ŋ ²				
116-3			l a ³				
119-3			j a m ²				
124-3			j au ³²				
136-3			l ɔ ɔ ³				
137-3			g j au ⁵²				
139-3			m a ³¹				
144-3			s j au ⁵²				
145-3			d a ŋ ³¹				
146-3			m au ³¹				
150-3			j ɔ ʔ ³²				
154-3			l j a u ³¹				
165-3			g j au ŋ ³¹				
166-3			j ɔ ³¹				
169-3			g j ɔ ŋ ³²				
170-3			b j ɔ ²¹				
171-3			l a m ⁵				
174-3			l a m ²				
181-3			m j o k ³²				
193-3			b a ³				
205-3			l j ⁵²				
206-3			m j au ²¹				
212-3			d au ʔ ⁵³				
214-3			l a m ²				
217-3			m u ²¹				
224-3			m j au ²¹				
228-3			b a ŋ ²³				
238-3			j au ³¹				
241-3			b u ³²				
246-3			g a ɔ ⁵¹				
256-3			g e ⁵³				
257-3			b a ⁵¹				
272-3			j ɔ ³				
273-3			ʔ a ²⁴				
274-3			m a ŋ ³¹				
286-3			g au ŋ ²				
289-3			d a ŋ ²⁴				
294-3			b a ³¹				
301-3			j o ʔ ³²				
306-3			kʰ j au ³²				
307-3			l o t ³²				
321-3			d a m ³¹				
331-3			m o o ³				
332-3			h a ŋ ²				
335-3			g j ɔ ²¹				
336-3			h j a ŋ ²				
340-3			m au ³¹				
342-3			m j a au ⁵²				
360-3			b w au ⁵²				
376-3			ʔ a ⁵³				
389-3			n au ʔ ⁵²				
395-3			ʃ a ³				
401-3			s e ⁵³				
404-3			a ŋ ⁴				
408-3			d ɔ ³¹				
409-3			j a ³				
413-3			j a n ³²				
421-3			m j au ʔ ³²				
425-3			b j au ⁵²				
430-3			dʒ e ⁵				
442-3			d e ⁵³				
447-3			tʰ a ŋ ³¹				
456-3			b a ³				
458-3			m ɔ ²¹				
469-3			kʰ au ³¹				
470-3			b a ²				
475-3			j ai ²¹				
477-3			n j ɛ m ³¹				
478-3			j a ⁵³				
480-3			g au ³¹				
485-3			m j ɔ ²¹				
495-3			m ɔ ³				
499-3			m j au ŋ ³				
500-3			m j w au ŋ ²				
501-3			tʰ a ⁵³				
506-3			a ²				
507-3			s e k ⁴				
509-3			l a ²				
510-3			g j a ŋ ³¹				
511-3			j o ʔ ³²				
521-3			h au ³¹				
525-3			m j a au ⁵²				
538-3			a au ²¹				
539-3			g j ai n ³²				
544-3			g j o k ³²				
550-3			d ɔ ³²				
562-3			m j o ŋ ³²				
568-3			b a ³¹				
2-3			b a ³¹				
11-3			m o ŋ k ³¹				
12-3			j a ⁵³				
22-3			g ɔ m ³²				
28-3			b i ɔ ³¹				
29-3			tʰ ɔ ʔ ⁵³				
30-3			j a ŋ ³				
35-3			l a ŋ ²				
38-3			d m o ʔ ⁵³				
42-3			b au ²				
46-3			b a ⁴				
52-3			d a ʔ ³²				
55-3			b a m ²³				
69-3			s ɔ ³⁴				
79-3			g j au n ³²				
83-3			d j e ²¹				
86-3			j o ³²				
89-3			s a ⁴				
90-3			b a ²¹				
92-3			b a ³¹				
106-3			g o ³⁴				
120-3			tʃʰ o z ʔ ⁴²				
125-3			g j ø k ⁵				
148-3			e m ³¹				
163-3			b a ŋ ³				
173-3			g ɔ ²¹				
179-3			ʔ ɔ ʔ ³				
186-3			s a ³¹				
187-3			l a ŋ ³				
197-3			m au ʔ ⁵²				
209-3			kʰ o ⁵				
210-3			d l a m ²				
211-3			d ɔ ³¹				
213-3			l a ŋ p ⁵³				
