COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ o															
175-1	d a															
241-1	ʔ u ʔ															
2163-1	d u n															
2181-1	n o m															
2060-1	ʔ o m															
410-1	d o															
1841-1	m o															
2017-1	s o															
1004-1	l o															
614-1	d o h															
686-1	d l ai̯															
88-1	g a ʔ															
872-1	n o ŋ															
1891-1	d o															
68-1	s o m															
631-1	b a n															
594-1	d o															
1759-1	s o ɲ															
805-1	g o ɲ															
756-1	s o d															
1201-1	m u ʔ															
2042-1	s o															
1968-1	d o ʔ															
2000-1	r o ŋ															
17-1	s o d															
4-1	d o m															
788-1	d o															
1219-1	s o m															
141-1	ʔ o ŋ															
541-1	b r j a ŋ															
1687-1	s u ɲ															
123-1	m̥ o m															
1652-1	c o ɲ															
576-1	ŋ ɔ															
1738-1	d o d															
442-1	s o m															
368-1	g j a ŋ															
1778-1	d o d															
957-1	n o d															
1704-1	ʔ o ʔ															
304-1	j o m															
1796-1	c o ŋ															
720-1	d o h															
287-1	g a d															
321-1	t o h															
206-1	d o ʔ															
1950-1	ʔ ai̯															
665-1	g d a n															
703-1	n o ʔ															
1290-1	m o															
1391-1	d o ʔ															
269-1	g a d															
855-1	c o n															
2078-1	s e															
2213-1	m o															
1858-1	s o															
1151-1	j̊ j a n															
737-1	g e ʔ															
1859-2		ŋ aːi̯														
175-2		d ɔː														
241-2		ʔ u h														
2163-2		d u n														
2181-2		n ɔː m														
2060-2		ʔ u m														
410-2		d aːi̯														
1841-2		m aːi̯														
2017-2		s aːi̯														
1004-2		l aːi̯														
614-2		d o h														
686-2		d l au̯														
88-2		k a k														
872-2		n u ŋ														
1891-2		d aːi̯														
68-2		s ɔː m														
631-2		ɲ u n														
594-2		d aːi̯														
1759-2		s ɔː n														
805-2		d ɔː n														
756-2		s u k														
1201-2		ɲ oː ʔ														
2042-2		ʔ ɔː														
1968-2		d ɔ ʔ														
2000-2		l ɔː ŋ														
17-2		s ɔ ʔ														
4-2		d ɔː m														
788-2		d ɔː														
1219-2		v ɔː m														
141-2		ʔ ɔː ŋ														
541-2		k l ɔ a p														
1687-2		s u n														
123-2		n ɔː m														
1652-2		dʑ ɔː n														
576-2		ŋ oː n														
1738-2		d ɔ k														
442-2		s oː m														
368-2		k l a ŋ														
1778-2		d ɔ ʔ														
957-2		n ɔ ʔ														
1704-2		ʔ ɔ h														
304-2		l ɔː m														
1796-2		dʑ ɔː ŋ														
720-2		d ɔ h														
287-2		k a h														
321-2		b o h														
206-2		d o k														
1950-2		ʔ au̯														
665-2		k w o n														
703-2		n ɔ k														
1290-2		m aːi̯														
1391-2		d ɔ ʔ														
269-2		k a ʔ														
855-2		dʑ ɔː n														
2078-2		s ɔː														
2213-2		m aːi̯														
1859-3			ŋ aːi̯													
175-3			k a													
241-3			ʔ aːi̯ t													
2163-3			k aːi̯													
2181-3			m a ŋ													
2060-3			ʔ aːi̯ ŋ													
410-3			ʔ ɨː													
1841-3			ŋ aːi̯													
2017-3			h aːi̯													
1004-3			l aːi̯													
614-3			k aːi̯ h													
686-3			k l ɔː													
88-3			b ɔː ʔ													
872-3			m aːi̯ ŋ													
1891-3			ʔ ɨː													
68-3			v a ŋ													
631-3			b ɔː h													
594-3			ʔ ɨː													
1759-3			v a ŋ													
805-3			k a ŋ													
756-3			v aːi̯ ʔ													
1201-3			m w ɔː ʔ													
2042-3			ʔ aːi̯													
1968-3			k a ʔ													
2000-3			l aːi̯ ŋ													
17-3			v aːi̯ ʔ													
4-3			k aːi̯ ŋ													
788-3			k a													
1219-3			h a ŋ													
141-3			d aːi̯ ŋ													
541-3			b r j a ŋ													
1687-3			v aːi̯ l													
123-3			m aːi̯ ŋ													
1652-3			dʑ a ŋ													
576-3			m a													
1738-3			k a ʔ													
442-3			v aːi̯ ŋ													
368-3			b j ɔː n													
1778-3			k aːi̯ ʔ													
957-3			m a ʔ													
1704-3			ʔ a ʔ													
304-3			j a ŋ													
1796-3			dʑ a ŋ													
720-3			k aːi̯ h													
287-3			b ɔː ʔ													
321-3			d aːi̯ h													
206-3			k aːi̯ ʔ													
1950-3			ʔ ɔː													
665-3			b w ɔː n													
703-3			m aːi̯ ʔ													
1290-3			ŋ aːi̯													
1391-3			k a h													
269-3			b ɔː ʔ													
855-3			dʑ a ŋ													
2078-3			v a													
2213-3			ŋ aːi̯													
1858-3			h a													
1151-3			b j a r													
737-3			b r a													
1859-4				ŋ au̯												
175-4				k a												
241-4				ʔ ɔː ʔ												
2163-4				ʔ ɔː ʔ												
2181-4				n a m												
2060-4				ʔ ɔː m												
410-4				t au̯												
1841-4				n au̯												
2017-4				s au̯												
1004-4				l au̯												
614-4				ʔ ɔː h												
686-4				ʔ l aːi̯												
88-4				p ɔː k												
872-4				n ɔː ŋ												
1891-4				t au̯												
68-4				s ɔː m												
631-4				p ɔː ʔ												
594-4				k au̯												
1759-4				s a n												
805-4				k ɔː n												
756-4				s ɔː k												
1201-4				ɲ ɔː ʔ												
2042-4				ʔ ɔː												
1968-4				t ɔː ʔ												
2000-4				f ɔː ŋ												
17-4				s a ʔ												
4-4				ʔ ɔː m												
788-4				t ɔː												
1219-4				v ɔː m												
141-4				ʔ ɔː ŋ												
541-4				p j o ŋ												
1687-4				s ɔː ʔ												
123-4				n ɔː m												
1652-4				dʑ ɔː n												
576-4				ŋ ɔː												
1738-4				t a k												
442-4				s ɔː m												
368-4				p ʔ ɔː ŋ												
1778-4				ʔ a ʔ												
957-4				n ɔː ʔ												
1704-4				ʔ ɔː ʔ												
304-4				j ɔː m												
1796-4				dʑ ɔː ŋ												
720-4				ʔ ɔː h												
287-4				k a ʔ												
321-4				l ɔː k												
206-4				t ɔː k												
1950-4				ʔ aːi̯												
665-4				p ɔː n												
703-4				n ɔː k												
1290-4				n au̯												
1391-4				ʔ ɔː ʔ												
269-4				k ɔː ʔ												
