COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ə															
175-1	k a															
241-1	ʔ ɨ															
2163-1	g ə n															
2181-1	n ə															
2060-1	ʔ ə															
410-1	j ɨ															
1841-1	m a															
2017-1	ʔ ə															
1004-1	j a															
614-1	p ɨ															
686-1	p r ə															
88-1	k a															
872-1	n ə n															
1891-1	j a															
68-1	g ɨ															
631-1	p ə n															
594-1	g ɨ															
1759-1	g a n															
805-1	g ə n															
756-1	ʔ ɨ															
1201-1	b a															
2042-1	ʔ a															
1968-1	p a															
2000-1	g ə n															
17-1	p a															
4-1	p ə															
788-1	ʔ ə															
1219-1	ʔ ə															
141-1	ʔ ə n															
541-1	p r j a n															
1687-1	ʔ ə n															
123-1	n a															
1652-1	g ə n															
576-1	ŋ ɔ															
1738-1	p a															
442-1	ʔ ə															
368-1	ʔ j a n															
1778-1	p a															
957-1	n a															
1704-1	ʔ ɨ															
304-1	j a															
1796-1	g ɔ n															
720-1	j ə															
287-1	k a															
321-1	g ə															
206-1	p ɨ															
1950-1	ʔ															
665-1	p g a n															
703-1	n a															
1290-1	m a															
1391-1	k a															
269-1	g a															
855-1	g ə n															
2078-1	ʔ ə															
2213-1	m ə															
1858-1	s a															
1151-1	g j a n															
737-1	p r ə															
340-1	s ɨ															
1111-1	s ə															
485-1	ŋ a															
1356-1	m a															
1093-1	g ə n															
1063-1	g ɔ															
648-1	g ə n															
223-1	g ə n															
1248-1	j ɨ															
1509-1	g ə n															
504-1	j ɨ															
2130-1	s ə															
1-1	ʔ ɨ															
386-1	j a ʔ															
1411-1	ʔ a															
1027-1	g a n															
1459-1	g ɨ															
1323-1	m ə															
1538-1	r j a															
975-1	n a n															
940-1	ŋ a															
1476-1	ʔ a n															
1923-1	n ɨ n															
105-1	g ɔ n															
1431-1	ʔ ɨ															
1814-1	m a n															
1183-1	n ɔ n															
1430-1	j															
1721-1	ɲ ɔ n															
1617-1	p ɨ n															
1564-1	p ɔ															
2111-1	p ɨ															
1563-1	s a															
1597-1	g ɔ ŋ															
1859-2		n a														
175-2		b a														
241-2		ʔ a ʔ														
2163-2		b a n														
2181-2		n a m														
2060-2		ʔ a m														
410-2		d a														
1841-2		m a														
2017-2		ʔ a														
1004-2		b a														
614-2		b a h														
686-2		b l a														
88-2		b a ʔ														
872-2		n a n														
1891-2		d a														
68-2		b a m														
631-2		b a n														
594-2		b a														
1759-2		ʔ a n														
805-2		b a n														
756-2		ʔ a ʔ														
1201-2		m a a ʔ														
2042-2		ʔ a														
1968-2		b a ʔ														
2000-2		b a n														
17-2		b a ʔ														
4-2		b a m														
788-2		b a														
1219-2		ʔ a m														
141-2		ʔ a n														
541-2		b b m a n														
1687-2		ʔ a n														
123-2		n a m														
1652-2		b a n														
576-2		n a														
1738-2		b a ʔ														
442-2		ʔ a m														
368-2		b a a n														
1778-2		b a ʔ														
957-2		n a ʔ														
1704-2		ʔ a ʔ														
304-2		b a m														
1796-2		b a n														
720-2		d a ʔ														
287-2		b a														
321-2		b a ʔ														
206-2		d a ʔ														
1950-2		ʔ a a														
665-2		b a a n														
703-2		n a ʔ														
1290-2		m a														
1391-2		b a ʔ														
269-2		b a ʔ														
855-2		b a n														
2078-2		b a														
2213-2		m a														
1111-2		b a														
485-2		n a														
1356-2		m a h														
1093-2		b a n														
1063-2		b a m														
648-2		b a n														
223-2		b a a n														
1248-2		b a														
1509-2		b a n														
504-2		b a h														
2130-2		b a														
1-2		ʔ a														
386-2		b a														
1411-2		ʔ a														
1027-2		b a ʔ														
2077-2		b m a ʔ														
1459-2		kʰ l a														
1323-2		b a														
975-2		n a a h														
940-2		n a n														
1476-2		ʔ a h														
1923-2		n a														
105-2		b a n														
1431-2		ʔ a														
37-2		b ɔ ʔ														
1152-2		b l a ʔ														
1814-2		m a n														
1183-2		n a n														
1430-2		d a														
1721-2		n a n														
1617-2		b a n														
1564-2		b a														
2111-2		l a														
1563-2		b a														
1859-3			h a													
175-3			h a													
241-3			ʔ a													
2163-3			h a													
2181-3			h a													
2060-3			ʔ a													
410-3			h a													
1841-3			h a													
2017-3			h a													
1004-3			h a													
614-3			h a ʔ													
686-3			b a a													
88-3			b r a ʔ													
872-3			h a													
1891-3			h a													
68-3			h a													
631-3			b r a													
594-3			h a													
1759-3			h a													
805-3			h a													
756-3			h a ʔ													
1201-3			b r a ʔ													
2042-3			ʔ a													
1968-3			d a ʔ													
2000-3			h a													
17-3			h a ʔ													
4-3			h a													
788-3			d a													
1219-3			h a													
141-3			ʔ a													
541-3			b b j a													
1687-3			h a													
123-3			h a													
1652-3			h a													
576-3			h a													
1738-3			d a ʔ													
442-3			h a													
368-3			b j a													
1778-3			h a ʔ													
957-3			h a													
1704-3			ʔ a													
304-3			j a													
1796-3			h a													
720-3			d a ʔ													
287-3			b r a													
321-3			h a ʔ													
206-3			h a ʔ													
1950-3			ʔ a a													
665-3			b r a													
703-3			h a ʔ													
1290-3			h a													
1391-3			h a													
269-3			b r a													
855-3			h a													
2078-3			h a													
2213-3			h a													
1858-3			h a													
1151-3			b j a r													
737-3			b r a													
340-3			ʔ a													
1111-3			h ə													
485-3			h a													
1356-3			h a h													
1093-3			h a													
1063-3			d a													
648-3			h a													
223-3			b r a n													
1248-3			h a													
1509-3			h a r													
504-3			h a ʔ													
1-3			h a													
386-3			j a a													
1411-3			h a													
1027-3			h a ʔ													
2077-3			h b h a ʔ													
1459-3			h a a													
1323-3			h a													
1538-3			b j a ʔ													
975-3			h r a h													
940-3			h a													
1476-3			h a h													
105-3			h a													
1431-3			h a													
37-3			h a													
1152-3			b r a													
1814-3			r a													
1890-3			h a													
1430-3			h a													
1721-3			h a													
1617-3			h a													
1564-3			h a ʔ													
1028-3			ʔ a													
1563-3			h a													
1859-4				n a												
175-4				t a n												
241-4				ʔ ə n												
2163-4				t ə n												
2181-4				n a m												
2060-4				ʔ a m												
410-4				t a												
1841-4				j a												
2017-4				h a												
1004-4				j a												
614-4				p ə h												
686-4				p n												
88-4				p t ɔ n												
872-4				n ə n												
1891-4				t a												
68-4				s a m												
631-4				p ə n												
594-4				j a												
1759-4				ʔ a n												
805-4				g ə n												
756-4				ʔ ə n												
1201-4				m t ə h												
2042-4				ʔ a n												
1968-4				t a h												
2000-4				t ə n												
17-4				t a n												
4-4				t ə m												
788-4				t a n												
1219-4				g a n												
141-4				ʔ a n												
541-4				p j ə n												
1687-4				tʰ ə n												
123-4				n ə m												
1652-4				t ə n												
576-4				n ɔ n												
1738-4				t a n												
442-4				ʔ a m												
368-4				t j ə n												
1778-4				t a n												
957-4				n ɔ h												
1704-4				ʔ ə n												
304-4				j ɛː m												
1796-4				t ə n												
720-4				t ə h												
287-4				p j a n												
321-4				t ə n												
206-4				t a n												
1950-4				ʔ a n												
665-4				p p ə n												
703-4				n ɔ h												
1290-4				j a												
1391-4				t ə h												
269-4				p t ə h												
855-4				t ə n												
2078-4				p ə n												
2213-4				j a												
1858-4				j a												
1151-4				p j ə n												
737-4				p ə n												
340-4				j au̯												
1111-4				t ə n												
485-4				n a												
1356-4				m ə h												
1093-4				t a n												
1063-4				t a m												
648-4				t ə n												
223-4				p t ə n												
1509-4				t ə n												
504-4				t ə h												
2130-4				j a												
1-4				ʔ au̯												
386-4				j o h ə k												
1411-4				ʔ a n												
1027-4				ʔ a h												
2077-4				t p t ə h												
1459-4				p ə n												
975-4				n t ə h												
940-4				n ə h												
1476-4				ʔ ə h												
1923-4				n ə n												
105-4				d ə n												
1431-4				ʔ a												
37-4				t ə ŋ												
1152-4				p t a h												
1183-4				n ə n												
1430-4				t a												
1721-4				n ɔ h												
1617-4				b ɔ n												
1028-4				ʔ a												
2111-4				ʔ ə h												
1859-5					ŋ a											
175-5					k a ʔ											
241-5					ʔ a ʔ											
2163-5					k a r											
2181-5					n a m											
2060-5					ʔ a m											
410-5					ʔ a											
1841-5					m ɔ											
2017-5					ʔ a											
1004-5					l a											
614-5					p ɔ ʔ											
686-5					b l ei̯											
88-5					k a ʔ											
872-5					n a ŋ											
1891-5					ɗ a											
68-5					s a m											
631-5					b ei̯ r											
594-5					k a											
1759-5					ʔ a ŋ											
805-5					k a ŋ											
756-5					ʔ a ʔ											
1201-5					m ɔ ɔ ʔ											
2042-5					ʔ a r											
1968-5					dʑ a ʔ											
2000-5					r a ŋ											
17-5					k a ʔ											
4-5					dʑ a m											
788-5					k a ʔ											
1219-5					n a m											
141-5					ʔ a ŋ											
541-5					p r ei̯ a ŋ											
1687-5					ʔ a r											
123-5					dʑ a m											
1652-5					dʑ a ŋ											
576-5					ŋ a ʔ											
1738-5					k a ʔ											
442-5					ʔ a m											
368-5					b j a ŋ											
1778-5					p a ʔ											
957-5					n a ʔ											
1704-5					ʔ a ʔ											
304-5					dʑ a m											
1796-5					dʑ a ŋ											
720-5					k a ʔ											
287-5					k a ʔ											
321-5					k ə ʔ											
206-5					k ɔ ʔ											
1950-5					ʔ a a											
665-5					b ɔ n											
703-5					n ɔ ʔ											
1290-5					m a											
1391-5					k a ʔ											
269-5					k a ʔ											
855-5					dʑ a n											
2078-5					s a ʔ											
2213-5					m a											
1858-5					s a											
1151-5					k j a ʔ											
737-5					b r ei̯ n											
340-5					ʔ a											
1111-5					s a ʔ											
485-5					ŋ a											
1356-5					m ɔ ʔ											
1093-5					dʑ a ŋ											
1063-5					dʑ a m											
648-5					dʑ a ŋ											
223-5					k a ʔ											
1248-5					dʑ a											
1509-5					k a ŋ											
504-5					dʑ ɔ ʔ											
