COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə																		
63-1	ʔ a ɨ																		
107-1	g a m ə																		
112-1	d ə b ə n a																		
331-1	n ɨ g s																		
377-1	b ə kʼ r																		
381-1	ʔ a																		
417-1	r u																		
451-1	s ə b a t																		
454-1	ʔ a ɨ r																		
484-1	s ɨ ɨ																		
535-1	ʔ a s ɨ r																		
543-1	s ə s																		
593-1	ʔ a m																		
640-1	m a																		
1-1	d ə b ə r ə																		
65-1	ʔ u																		
212-1	ʔ ə n																		
244-1	ʔ a r ə																		
248-1	m ə r a																		
293-1	ʔ ə r ə																		
373-1	kʼ ɨ m a																		
408-1	b ə r a																		
414-1	d ə b a a																		
601-1	ʔ ə r b																		
642-1	n ɨ a																		
60-1	n ə f ə s ə																		
115-1	ʔ ə																		
209-1	s ə ɨ																		
242-1	ʔ a m ɨ s																		
415-1	ʔ ɨ n a																		
450-1	s ə r																		
490-1	ʔ ə b ə																		
638-1	s ɨ r ə																		
645-1	kʼ a																		
160-1	ʔ ə r ə kʼ																		
208-1	ʔ ɨ n kʼ ə																		
214-1	ʔ a b																		
378-1	ʔ a n g ə																		
379-1	ʔ ə ə																		
409-1	ʔ ə t ə r																		
598-1	kʼ ə																		
646-1	ʔ a ə																		
210-1	ʔ ə ə n																		
215-1	ʔ a ə b ə																		
285-1	m ɨ a																		
332-1	ʔ ə g r																		
380-1	ʔ a																		
412-1	s ə ə n																		
64-1	d a b o																		
67-1	ʔ ɨ r																		
251-1	ʔ ə ə kʼ																		
294-1	m ə kʼ																		
597-1	ʔ ə m ə ə n a																		
7-1	ʔ a l g a																		
158-1	kʼ ə m ɨ s																		
61-2		d ə																	
63-2		ʔ a ɨ																	
107-2		g ɨ m ə																	
112-2		d a b ə																	
331-2		n ɨ g u																	
377-2		b ə kʼ																	
381-2		ʔ a																	
417-2		r																	
451-2		s ə b a																	
454-2		ʔ a ɨ r																	
484-2		s ɨ d ɨ s																	
535-2		ʔ a s ɨ r																	
543-2		s ə																	
593-2		ʔ a m																	
640-2		m a																	
1-2		d ə b ə r ə																	
65-2		d ɨ b																	
163-2		s ə																	
212-2		ʔ ɨ																	
244-2		ʔ a r a																	
248-2		m u l																	
293-2		f ə r ə																	
373-2		kʼ ɨ m a																	
408-2		b ə r																	
414-2		d ə b																	
642-2		n ɨ a																	
60-2		n ə f ə s ə																	
115-2		l a																	
209-2		s ɨ m ɨ																	
242-2		ʔ a m ɨ s																	
415-2		s ɨ n a																	
450-2		s ə r																	
490-2		d ə b																	
645-2		kʼ a																	
160-2		d ə r ə kʼ																	
208-2		ʔ ɨ n kʼ																	
378-2		ʔ a n g ə																	
379-2		s ə ə																	
409-2		ʔ a ə r																	
598-2		ə																	
646-2		ʔ a n ə																	
210-2		ʔ ɨ ə n																	
215-2		ʔ a ə																	
285-2		m ɨ d a																	
380-2		ʔ a u																	
412-2		s a ɨ n																	
496-2		s ə b ə																	
64-2		d a b o																	
251-2		f ɨ ə																	
294-2		m ə kʼ																	
597-2		m ə n g ə d ə																	
7-2		ʔ a l g a																	
158-2		kʼ ə m ɨ																	
61-3			t ə m																
63-3			ʔ a t ɨ m																
107-3			g a m ə r a																
112-3			t a b ə r a																
331-3			n ɨ g w s																
377-3			b ɨ kʼ ə r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a t ɨ r																
484-3			s ɨ t ɨ s t																
535-3			ʔ a s ɨ r																
543-3			s ə s t																
593-3			ʔ a m u s																
640-3			m w a n																
1-3			t ə b ə r ə m																
65-3			t u																
163-3			s ə t ə																
212-3			ʔ ə n																
244-3			ʔ a r b ə t																
248-3			m u r a																
293-3			ʔ ə r ə																
373-3			kʼ ɨ m a r																
408-3			b a r a																
414-3			t ɨ b a kʼ u a																
601-3			ʔ ə r ə																
642-3			n ɨ a s																
60-3			n ə ə s ə m																
115-3			ʔ ə r a m																
209-3			s ɨ m ɨ t																
242-3			ʔ a m ɨ s t																
415-3			z ɨ r a b																
450-3			z ə r																
490-3			t ə b w ə m																
638-3			s ɨ n ə																
645-3			kʼ a r																
75-3			ʔ a m b ɨ r																
160-3			t ə r ə kʼ																
208-3			ʔ a n kʼ r ə																
214-3			ʔ a b																
218-3			ʔ ɨ n z ɨ r																
378-3			ʔ a n g ə t																
379-3			ʔ ə t ə																
409-3			g ə t ə r ə																
497-3			t ə n																
598-3			x w ə t																
646-3			ʔ a ə																
164-3			b ə k ə m																
210-3			ʔ ə x w ə r ə																
215-3			ʔ a t ə b ə t																
256-3			t u m a																
285-3			m ɨ t a t																
332-3			ʔ ə g ɨ r																
380-3			ʔ ə x w a																
412-3			s a ʔ ə n																
496-3			w ɨ r s ə n b ə t																
64-3			t a b a																
67-3			w ɨ r																
169-3			n ə ə s ə m																
251-3			ʔ ə ə kʼ																
461-3			t ə																
547-3			w ɨ s a t																
597-3			ʔ ə m ə n ə																
655-3			m ɨ s t																
7-3			ʔ a r g a																
158-3			kʼ ə m ɨ s																
168-3			ʔ ɨ m a r																
61-4				d ə m															
63-4				ʔ a ɨ m															
107-4				g a m ə r a															
112-4				d a b ə r a															
331-4				n ɨ g s															
377-4				b ə kʼ r ə															
381-4				ʔ a															
417-4				r ə															
451-4				s ə b a															
454-4				ʔ a ʔ ɨ r															
484-4				s ɨ d ɨ s d															
535-4				ʔ a s ɨ r															
543-4				s ə s															
593-4				ʔ a m ə															
640-4				m a n															
1-4				d ə b ə r ə															
65-4				t ə															
163-4				s ə ə															
408-4				b ə r a															
414-4				d ə b a ʔ ə a															
601-4				ʔ ə r ə															
642-4				n ə a s															
60-4				n ə ə s ə															
115-4				ʔ ə r a m															
450-4				m ə r															
490-4				t ə b ə															
638-4				s ɨ n ə															
645-4				kʼ a r															
75-4				ʔ a m b ɨ r															
160-4				d ə r ə ʔ															
378-4				ʔ a n g ə d															
379-4				b ə ʔ ə															
409-4				g ə ə r ə															
497-4				t ə n															
598-4				h ə															
646-4				ʔ a ə															
164-4				b ə k ə															
332-4				ʔ ə g ɨ r															
380-4				ʔ ə a															
412-4				s a ʔ ə n															
64-4				d a ə															
67-4				w ɨ r															
169-4				n ə ə s ə m ə															
461-4				d ə															
547-4				ʔ ɨ s a d															
597-4				ʔ ə m ə ə n ə															
655-4				m ɨ s															
158-4				kʼ ə m s															
168-4				ʔ ɨ m a r															
61-5					d ə m														
