COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʃ a ŋ							
37-1	n a ŋ							
46-1	n a ŋ							
98-1	kʰ a ŋ tʃ i r a							
125-1	b i l a ŋ a a							
162-1	a a i a i							
171-1	kʰ o m a							
219-1	tʃ a ŋ p u							
247-1	tʃ a ŋ a u							
282-1	j u m m u							
292-1	kʰ a ŋ							
301-1	a i							
354-1	m u m b a i							
363-1	ŋ i m u							
397-1	g a m tʃ i							
406-1	kʰ a m u ŋ							
426-1	j u k p a							
473-1	pʰ i n k a ŋ							
499-1	z a m i n							
526-1	g a ŋ a							
544-1	g u							
553-1	g o t a ŋ							
599-1	g o ŋ tʃ a m							
608-1	pʰ a tʃ o							
617-1	a a							
645-1	a n a							
663-1	s o ŋ tʰ u r							
672-1	tʃ o ŋ p a							
681-1	j i ɾ i							
690-1	m i ŋ							
708-1	kʰ a r i ŋ m u							
717-1	tʃ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	j o m n a ŋ							
836-1	g a m i							
881-1	j a m							
890-1	a a m a							
899-1	s e r							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	a j a r a ŋ							
980-1	u a r o ŋ							
998-1	g a i							
1022-1	g ɲ a u r							
1031-1	b i n a ŋ u l a							
1069-1	tʃ o n a ŋ a							
1079-1	z i ŋ l a a a							
1098-1	j a ŋ m u a							
1117-1	tʃ u							
1141-1	j i ŋ m u							
1189-1	m a							
1198-1	n u a							
1208-1	z a l a m a							
1217-1	j a j i k o							
1253-1	a m a							
1271-1	n o n a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ m a							
1343-1	pʰ u i n a ŋ							
1361-1	a a n a ŋ							
1370-1	n a ɲ u ŋ							
1388-1	j a m a							
1397-1	tʃ u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p k a r							
1433-1	s u m u							
1442-1	j a m							
1451-1	kʰ a t a							
1468-1	pʰ a k p a							
1477-1	ŋ a							
1502-1	ŋ a m u							
1511-1	m u ɾ u ŋ m a							
1529-1	kʰ a l u							
1538-1	s o m u							
1557-1	tʃ o i tʃ u ŋ							
1618-1	i ŋ tʃ a							
1663-1	z u m							
1689-1	ŋ o i							
1698-1	g u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m tʃ u							
1742-1	u u m u							
1751-1	pʰ u ɾ i j a							
1778-1	s a							
1787-1	tʃ u r p u							
1823-1	j e m							
1832-1	g a ɾ m a							
1842-1	j u ŋ							
1860-1	ŋ a m tʃ a a							
1869-1	j u ŋ tʃ a ŋ							
1888-1	s a m tʃ i							
1897-1	s l a							
1932-1	ɾ i n a ŋ o l a							
1950-1	m u							
1968-1	tʃ o ŋ tʃ a a							
1978-1	g u t p a							
1987-1	s a m							
2015-1	ŋ a m tʃ a a							
2118-1	m o ŋ t̪ a o l a							
2238-1	ŋ a r tʃ a							
2507-1	kʰ i n u ŋ							
2526-1	a e							
2535-1	a j a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ o i tʃ i ŋ							
2569-1	g a i tʰ u r							
2578-1	j i tʃ i ŋ							
2596-1	tʃ u ŋ							
2615-1	a i							
2663-1	g i t i k							
2690-1	s i							
2719-1	u i m i							
2728-1	kʰ o t u ŋ							
2747-1	ɲ i ŋ tʃ a a							
2756-1	s a r m u							
2774-1	b o n i ŋ							
19-1	n a i a							
28-1	n a i a							
89-1	g a ŋ p u							
107-1	kʰ t̪ i n i							
190-1	pʰ u i							
229-1	kʰ a							
257-1	kʰ a ŋ a							
338-1	b u u ŋ							
436-1	s u j u							
483-1	a a							
535-1	s o m o							
571-1	g e l e i tʃ i							
699-1	t o ŋ p a							
845-1	a o k o							
971-1	kʰ i k p u							
1049-1	bʱ u							
1161-1	a m							
1180-1	a j a							
1226-1	j a ŋ i ŋ							
1235-1	n a m i ŋ							
