COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o r̪ l̪ t̪ o ŋ						
514-1	m i k						
464-1	n̪ ɑ						
1020-1	n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ ɑ						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ ŋ ɑ						
205-1	p r̪ ɜ p ɑ						
1089-1	l ɜ q d ɪ l						
804-1	g ɜ ŋ m ɑ						
1263-1	b ɜ x p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	ȵ̊ i ŋ						
269-1	g r̪ ɜ q						
1512-1	tɕ i n̪						
555-1	gʲ ɑ q p ɑ						
751-1	n̪ ɜ ŋ						
439-1	ɾ g o						
601-1	ɕ i ŋ						
320-1	b ɜ x m ɑ						
1106-1	b u t̪						
693-1	h ɜ t̪ o ɾ ɑ						
221-1	s̪ t̪ ɜ r̪ ɑ						
1199-1	t̪ʰ ɑ q p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l o t̪						
1273-1	n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɑ						
1127-1	tɕʰ ɜ r̪ s̪ ɑ						
1529-1	tɕ u						
1175-1	ɾ k ɜ m tθ o						
383-1	s̪ ɪ l						
820-1	l o k						
1636-1	ɾ r̪ u ŋ						
1331-1	ɜ ɾ d ŋ ɑ						
1097-1	l ɜ m						
1223-1	b ɜ ŋ ɑ						
592-1	m ɑ						
1290-1	d̪ u t̪ p ɑ						
669-1	s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ x s̪ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m b ɑ						
626-1	m ɜ n̪ d o q						
844-1	ɑ m						
879-1	tɕ ɑ						
1151-1	b r̪ ɛ s̪						
1119-1	ɑ l u						
365-1	ȵ̊ ɛ r̪ p ɑ						
1480-1	j u ŋ						
653-1	g o k p ɑ						
1081-1	d̪ o ŋ						
1448-1	b ɑ r̪ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɑ						
539-1	tθʰ ɑ l						
610-1	ŋ ɑ						
350-1	b ɜ ŋ b o						
871-1	o m ɑ						
734-1	ɾ ɑ						
431-1	kʰ i						
1298-1	ɜ b u l						
929-1	t̪ʰ ɜ ŋ tθ i						
1315-1	t̪ʰ ɜ x s̪ k ɜ n̪						
964-1	ȵ i n̪ d ɜ x						
836-1	m i						
1644-1	b ʊ s̪ t̪ r̪ i ŋ						
547-1	ɜ t̪ ɑ						
1048-1	k ɜ k ɑ						
1692-1	b o n̪ o						
1306-1	b u						
405-1	b o ŋ o						
709-2		g o o					
522-2		o d o ŋ					
514-2		m ɪ k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ n̪ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕʰ e					
302-2		b ɜ ŋ					
237-2		l̪ t̪ ɑ					
205-2		b ɜ p ɑ					
1089-2		l ɜ q d i l					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɑ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ ȵ i ŋ					
269-2		dʑ ɜ q					
1512-2		l̪ tɕ ɪ n̪					
555-2		b gʲ ɜ k p ɑ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		b ɜ x m ɜ					
1106-2		b u					
693-2		h ɜ t̪ o ɑ					
221-2		s̪ t̪ ɜ r̪ e					
1199-2		t̪ʰ ɑ q p ɑ					
1424-2		s̪ k u t̪ p ɑ					
904-2		l o t̪					
1273-2		s̪ n̪ ɜ m					
1323-2		s̪ k ɜ r̪ m ɑ					
1127-2		tɕ ɜ r̪ p ɑ					
1529-2		tɕ u					
1175-2		ɾ gʲ ɜ m tθ o					
383-2		b s̪ ɪ l					
820-2		l o k					
1636-2		u ŋ					
1331-2		ʊ ɾ d ɑ					
1097-2		l ɜ m					
1223-2		b ɜ ŋ ɑ					
592-2		m ɑ					
1290-2		tɕ u t̪ p ɑ					
669-2		s̪ ɛ ɾ					
1472-2		s̪ t̪ ɑ x ʑ i					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ m p ɑ					
626-2		m ɜ n̪ d o q					
844-2		ɑ m					
879-2		tɕ ɑ					
1151-2		b ɜ s̪					
1119-2		ɑ l u					
365-2		s̪ ȵ ĩ r̪ m ɜ					
1480-2		j u ŋ					
653-2		s̪ g o k p ɑ					
1081-2		tθʰ o ŋ					
1448-2		p ɑ x ɜ n̪					
1029-2		m ɑ ɾ					
863-2		ɕ ɑ					
539-2		tθʰ ɪ l					
610-2		ŋ ɑ					
350-2		b ɜ ŋ d o					
871-2		o ŋ ɑ					
734-2		ɾ ɑ					
431-2		kʰ i					
1298-2		ɜ b ɑ l					
929-2		tɕ ɜ ŋ tθ i					
1315-2		ts̪ ɑ x s̪ k ɜ n̪					
