COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	h ɛi							
5-1	w ɛi							
4-1	t ɔ k							
6-1	ts a							
15-1	dʑ ɛi							
55-1	l ɛi							
56-1	ɛi							
60-1	ɕ ɛi							
61-1	d u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ ɛi							
86-1	pʰ a a							
92-1	pʰ a a							
102-1	m ɛi							
106-1	p ɔ k							
108-1	t ɛi							
107-1	b ɔ ɛi							
112-1	pʰ ɔ							
115-1	ɕ							
114-1	t ɔ							
120-1	t ɛi							
124-1	ɛi							
125-1	t ɔ k							
132-1	h ɛi							
131-1	r i ŋ							
136-1	m ɛi							
134-1	kʰ a k							
137-1	ɛi							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a							
147-1	h ɛi							
149-1	z ɔ							
153-1	ɕ							
152-1	ts a ŋ							
158-1	ɕ ɔ							
163-1	ai ɛi							
164-1	w ɛi							
167-1	dʑ a							
171-1	w u ŋ							
172-1	b u k							
173-1	ɕ ɔ ŋ							
183-1	ai ɛi							
185-1	m a							
188-1	g u ŋ							
189-1	ts u							
193-1	h ɛi							
196-1	m a ɹ							
199-1	ɕ ɛi							
200-1	kʰ a							
201-1	h ɛi							
202-1	kʰ ɔ							
203-1	d ɔ ŋ							
204-1	b u							
206-1	w a							
117-1	b u							
146-1	kʰ i t							
219-1	h							
218-1	tɕʰ ɛi							
224-1	ts a							
240-1	tɕʰ a k							
244-1	w a t							
255-1	ɕ a s							
260-1	b ɛi							
263-1	w ɛi							
269-1	dʑ a ŋ							
271-1	dʑ a k							
209-1	kʰ i t							
277-1	m a m							
278-1	b ɔ ŋ							
135-1	d ɛi							
284-1	m ɛi							
797-1	ɛi							
290-1	w i							
289-1	ts i k							
296-1	w ɛi							
310-1	ɕ ɛi							
319-1	ɛi							
325-1	ai ɛi							
327-1	h ɛi							
331-1	h ɛi							
337-1	b a ŋ							
338-1	ts i ŋ							
339-1	a							
350-1	h ɛi							
349-1	t u ŋ							
357-1	tɕʰ a							
355-1	ɛi							
363-1	dʑ a							
361-1	t ɛi							
365-1	ɕ a ɛi							
364-1	dʑ i t							
375-1	r ɔ k							
379-1	ɕ a t							
380-1	h ɛi							
396-1	ai ɛi							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ u m							
409-1	w ɔ k							
410-1	ɕ i k							
415-1	p ɛi							
416-1	b ɛi							
101-1	w a ŋ							
37-1	h a							
424-1	b ɛi							
434-1	tɕʰ a							
445-1	p							
446-1	ɕ i							
451-1	t ɛi							
457-1	w a							
456-1	b a a							
464-1	p i ŋ							
473-1	ɕ ɛi							
474-1	ai							
479-1	ɕ ɔ							
489-1	ai ɛi							
490-1	j a ŋ							
494-1	ɕ ɛi							
503-1	h ɛi							
502-1	ts a ŋ							
235-1	w u ŋ							
519-1	ai ɛi							
523-1	u k							
527-1	kʰ j ɛ ŋ							
538-1	ɕ							
544-1	w a							
850-1	ɛi							
554-1	dʑ ɛi							
553-1	r u							
558-1	ts a m							
561-1	ɕ a							
562-1	p ɛi							
564-1	ai ɛi							
567-1	m ɛi							
570-1	p u							
575-1	ɛi							
582-1	ai ɛi							
585-1	a t							
589-1	ts u							
593-1	d a							
594-1	w a ŋ							
595-1	t u ŋ							
596-1	ɕ ɔ k							
598-1	ʑ ɔ k							
599-1	d ɛi m							
602-1	ɕ ɛi							
603-1	w a p							
606-1	ɕ u ɛi							
605-1	b ɛi							
620-1	ai ɛi							
637-1	pʰ a k							
639-1	dʑ ɛi							
645-1	h ɛi							
646-1	r ɔ ŋ							
168-1	w ɔ k							
658-1	ts ɔ							
665-1	p a							
668-1	ɕ a							
677-1	dʑ a ŋ							
75-1	d ɔ ŋ							
678-1	ɕ a							
682-1	ts a							
493-1	ʑ u							
693-1	ɕ ɛi							
694-1	m a							
702-1	ts u							
704-1	m ɛi							
176-1	ai ɛi							
709-1	ɕ ɹ							
710-1	t u k							
714-1	w ɛ t							
718-1	h a							
719-1	tɕʰ a m							
22-1	m ɛi							
723-1	ts i							
726-1	ts i ŋ							
729-1	b ɛi							
730-1	d ɛi							
739-1	p a ai							
740-1	b ɛi							
741-1	h ɔ k							
744-1	ɛi							
743-1	ts a ŋ							
746-1	d ɔ ŋ							
748-1	tʰ i k							
747-1	h ɛi							
749-1	kʰ a							
751-1	t a ŋ							
762-1	ts a							
764-1	ts ɔ ŋ							
765-1	dʑ ɛi							
788-1	h a m							
615-1	w a k							
803-1	ɕ a							
802-1	ɛi a k							
808-1	b ɛi							
809-1	ts ɛi							
819-1	d u k							
821-1	ɕ ɛi							
820-1	b ɛi							
828-1	ɕ a k							
827-1	p u							
835-1	h ɛi							
308-1	ɛi ɛi							
844-1	ʑ i t							
848-1	m ɛi							
705-1	ai ɛi							
613-1	ɛi							
649-1	w ɔ k							
876-1	ɕ ɛi							
878-1	ɔ ɔ							
889-1	ɕ a m							
898-1	z u k							
902-1	h ɔ ŋ							
910-1	a ɛi							
916-1	ai ɛi							
919-1	ai ɛi							
922-1	z i s							
930-1	ɕ ɛi							
933-1	h ɛi							
939-1	r i k							
947-1	w a							
948-1	w a							
963-1	ɕ a							
967-1	tɕʰ u k							
969-1	ɕ							
970-1	tɕʰ ɔ k							
972-1	w ɛi							
731-1	m ɛi							
973-1	ts i ŋ							
974-1	ɕ a s							
979-1	ts a ŋ							
182-1	h ɛi							
