COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i tɬ								
2-1	t oː aː n aː + tɬ i								
8-1	w a aː aː								
16-1	a + tɬ i								
24-1	i s t e + tɬ								
32-1	m i k i								
51-1	j aː aː + tɬ								
52-1	w a + t i								
53-1	n a k a + tɬ								
54-1	tɬ aː ʔ + l i								
55-1	k w a								
60-1	aː s + t o aː aː + l								
83-1	t aː + + tɬ								
87-1	p a tɬ aː n i								
92-1	m a k a								
103-1	m a +								
106-1	tɬ a k i								
138-1	n e ʔ w aː + tɬ								
139-1	m i k + t i aː								
142-1	m a tɬ i								
145-1	m o + t aː aː tɬ								
176-1	t aː aː + tɬ								
179-1	n a k a + tɬ								
180-1	m a + tɬ i								
186-1	k a tʃ + i + i i								
190-1	aː a k a + tɬ i								
194-1	s aː								
220-1	o i								
231-1	i + tɬ aː								
240-1	k o tɬ a								
283-1	t aː + tɬ								
293-1	i n + oː								
314-1	k w a aː + i + tɬ								
315-1	a m e								
322-1	t e ʔ aː aː i								
323-1	tɬ a								
9-1	t oː t o + tɬ								
17-1	a i + tɬ								
22-1	tɬ aː aː + k								
30-1	w a								
88-1	i tʃ i tɬ								
158-1	w a aː aː i i								
159-1	aː aː								
177-1	m i j aː k								
184-1	t oː k a								
187-1	i a n k w i + tɬ								
227-1	aː l								
1-2		n e t e							
2-2		l + n e n + t							
8-2		w eː h e u k							
16-2		h e s + t i							
24-2		i s t i							
32-2		j e i							
51-2		ts aː n e							
52-2		a a + t i							
53-2		n e a							
54-2		t e h l u							
55-2		b w aː t u							
60-2		eː							
83-2		t eː n + t							
87-2		p e t aː n i							
92-2		j e a							
103-2		n aː n							
106-2		k e k i							
138-2		n eː h e							
139-2		m eː + t i a t u							
142-2		n e t i							
145-2		m u + t e h t e							
176-2		t aː + a k							
179-2		n eː e + t							
180-2		n eː h + t i							
186-2		eː t i u							
190-2		a e a + t							
194-2		s e k							
220-2		u n + t e							
231-2		eː h t e							
240-2		tʃ e t i							
283-2		t e t							
293-2		h aː n l							
314-2		b w a i + + t							
315-2		eː n e							
322-2		t e n n e							
323-2		t aː h							
9-2		t uː a + t							
17-2		u h w i + t							
22-2		t eː t a + t							
88-2		a i							
158-2		s e e aː k							
159-2		e t eː l t							
177-2		m i w aː							
184-2		t uː aː + u							
187-2		j aː n k w i + k							
227-2		i e h l o							
1-3			j o t aː						
2-3			aː + n e l + i						
8-3			j eː						
16-3			e s + t i						
24-3			i s t eː						
32-3			j i ʔ i						
51-3			o n + aː						
52-3			j aː k + t i ʔ						
53-3			n e k a l						
54-3			t e h l aː						
55-3			k w aː						
60-3			e n + t o a o l aː						
83-3			t e ʔ t i						
87-3			p e t aː n + i						
92-3			j e ʔ a						
103-3			m aː						
106-3			t e t i						
138-3			n e h						
139-3			m e k t i a						
142-3			j o t eː						
145-3			m o + t aː a						
176-3			t aː aː ʔ						
179-3			n e k aː						
180-3			m eː s + t i						
186-3			k e t + i						
190-3			j eː k o + t i						
194-3			s eː						
220-3			o + i						
231-3			i t a						
240-3			t o t i						
283-3			t aː + t						
293-3			i n t i						
314-3			k w a a aː						
315-3			o j eː						
322-3			t e h a a aː l						
323-3			t eː ʔ						
9-3			t e t o + ʔ						
17-3			eː m i						
22-3			t e t a a						
30-3			eː i ts						
88-3			i t i						
158-3			j e k a aː ʔ						
159-3			e t i n						
177-3			m i n a						
184-3			t e k aː						
187-3			j a n k w i + ʔ						
227-3			w aː l aː						
1-4				m o tʃ i					
2-4				i + n e l + tɬ i					
8-4				m a o i					
16-4				e n + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n a					
52-4				a a k + o					
53-4				n a k a l					
54-4				tɬ a l i					
55-4				k w a					
60-4				i n + t o l o l					
83-4				t e + i + tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m a					
106-4				k a k i					
138-4				n e h w a					
139-4				m i k n + t i a					
142-4				m a i					
145-4				m o + t e k a					
176-4				a a tɬ					
179-4				n a k a tɬ					
180-4				m e i + tɬ i					
186-4				k e tʃ + i e					
190-4				a a k a tɬ					
194-4				s a					
220-4				o + i					
231-4				i h tɬ a					
240-4				k o tʃ i					
283-4				i n + t a + tɬ					
293-4				i n + i n					
314-4				k w a w i tɬ					
315-4				a m a					
322-4				t e h a a n					
323-4				tɬ a					
9-4				t o t o + tɬ					
17-4				n m i + tɬ					
30-4				m i ts					
88-4				i k i					
158-4				n e a a k					
177-4				m e j a k					
184-4				t o k a					
187-4				e a n k w i + tɬ					
227-4				i a l i					
1-5					n e i				
2-5					aː n e x				
8-5					e eː i				
16-5					p e x + t i				
24-5					i s i				
32-5					n e i				
51-5					e n i				
52-5					e e + t o				
53-5					n e g a l				
54-5					t e h l i				
55-5					b e aː				
60-5					e				
83-5					t eː t				
87-5					p e t aː n i				
92-5					n e a				
103-5					m e n i				
106-5					e i				
138-5					n e h a				
139-5					m e k + t i				
142-5					n e t i				
145-5					m o + t aː aː				
176-5					t e aː t				
179-5					n e k e + t				
180-5					m eː + t i				
186-5					e k				
190-5					e e k				
194-5					s eː				
220-5					o i				
231-5					i t a				
240-5					k e t i				
283-5					t oː aː				
293-5					h oː n				
314-5					b e e i t				
315-5					oː n eː				
322-5					t e h a e n				
323-5					t eː k				
9-5					t oː o + t				
17-5					eː h m i + t				
22-5					t e t aː				
30-5					eː e t				
88-5					oː k i				
158-5					e aː aː k i				
159-5					e t e m a				
177-5					m i aː k				
184-5					t oː aː				
187-5					i a n b i + t				
227-5					aː l i				
1-6						m i l i			
2-6						eː e n aː l + t i			
8-6						m eː			
16-6						eː s + t i			
24-6						i s t i			
32-6						m i k i			
51-6						aː n + aː			
52-6						i a + u			
53-6						n e k a l			
54-6						t a l i			
55-6						k w a			
60-6						i n + t u l u l a			
83-6						t eː t			
87-6						p eː l a n			
92-6						m eː a			
103-6						m a i			
106-6						k eː i			
138-6						n a			
139-6						m i k n t i a			
142-6						m a t a			
145-6						m u + t aː k aː			
176-6						t a aː t			
179-6						n eː k aː + t			
180-6						m i n + t i			
186-6						eː n			
190-6						j eː k a			
194-6						s eː			
220-6						u + t i			
231-6						i h t aː			
240-6						k eː i			
283-6						t aː + t			
293-6						i n i			
314-6						k w a a i t			
315-6						i m i			
322-6						t a e i a l			
323-6						t eː			
9-6						t u l a + t			
17-6						eː w aː + t			
22-6						t a t w i			
30-6						eː i			
88-6						i i			
158-6						j e a a k			
159-6						a t a n t			
177-6						m i a k			
184-6						t u a			
187-6						j a n k w i			
227-6						n aː l i			
1-7							e e		
2-7							e		
8-7							e e		
16-7							a e		
24-7							a e		
32-7							a e		
51-7							o		
52-7							a		
53-7							e e		
54-7							a e		
55-7							e		
60-7							o		
83-7							e		
87-7							e e e		
92-7							a e		
103-7							a		
106-7							a e		
138-7							e		
139-7							o e		
142-7							e		
145-7							o e e		
176-7							a a		
179-7							e e		
180-7							e e		
186-7							e		
190-7							e e		
194-7							a		
220-7							o e		
231-7							e e		
240-7							e		
283-7							e		
293-7							a		
314-7							e e e		
315-7							a e		
322-7							e n e e		
323-7							a		
17-7							e e		
22-7							e e		
30-7									
159-7							e e		
1-8								m i	
2-8								a n m + tɬ	
8-8								w aː a	
16-8								i m + tɬ ɨ	
24-8								i s t	
32-8								m i k	
51-8								aː n	
52-8								w aː k	
53-8								n i k a + tɬ ɨ	
54-8								t a h ɨ ɨ	
55-8								k w aː h	
60-8								i + t ɨ l l	
83-8								t ɨ + tɬ	
87-8								p oː tɬ aː n	
92-8								m i k ɨ	
103-8								m i	
106-8								k a k ɨ	
138-8								n ə h a	
139-8								m i + o + +	
142-8								m i tɬ ɨ	
145-8								m o t a a	
176-8								t a aː + tɬ	
179-8								n aː k o + tɬ	
180-8								m i + tɬ ɨ	
186-8								k ɨ + tɬ	
190-8								j aː k	
194-8								s eː	
220-8								i ɨ ɨ	
231-8								n + tɬ a	
240-8								k o tɬ ɨ	
283-8								t + tɬ	
293-8								i n	
314-8								k w a w + tɬ	
315-8								ɨ m i	
322-8								t ɨ h a	
323-8								t a	
9-8								t oː t tɬ	
17-8								eː m tɬ	
22-8								t o t	
30-8								eː a m	
88-8									
158-8								a + a aː	
159-8								aː t ɨ n + tɬ	
177-8								m i aː + a ɨ	
184-8								t oː	
187-8								j a n + w i k	
227-8								t a ɨ ɨ	
1-9									m o tʃ iː + a
2-9									n e + tɬ iː
8-9									i a u
16-9									e n + tɬ iː
24-9									i pː p e + u
32-9									m iː k iː
51-9									ts o n o
52-9									w a k + tɬ iː
53-9									n a k a + tɬ iː
54-9									tɬ ø h l iː
55-9									k w a + u
60-9									i x + t o l o l o
83-9									t ø + + tɬ i
87-9									p a tɬ a n iː
92-9									m a k a
103-9									m a
106-9									k a k iː
138-9									n a h a
139-9									m iː k ø + tʃ iː a
142-9									m a t i
145-9									m o + t ø + k a
176-9									t ø n + k a + tɬ
179-9									n a k a + tɬ
180-9									m a n + tɬ iː
186-9									k a p + tɬ
190-9									ø a k a + k tʃ
194-9									s o u
220-9									o h + + tʃ i
231-9									i + tɬ a
240-9									k o tʃ iː
283-9									a + tɬ
293-9									iː n + o
314-9									k ø a w iː + tɬ
315-9									o m a u
322-9									t e h o w a l
323-9									tɬ a + u u
9-9									t u t a + tɬ
22-9									tɬ ø t iː ø
30-9									i i ts
88-9									i k iː + u
158-9									i e w a k
