COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g ă															
241-1	ʔ i t															
2163-1	g ă n															
2181-1	n ă m															
2060-1	ʔ o m															
410-1	d ai̯															
1841-1	m ai̯															
2017-1	s e															
1004-1	m ai̯															
614-1	c ou̯ h															
686-1	p a ai̯															
88-1	k ə̆ ʔ															
872-1	n ɔ ŋ															
1891-1	d ai̯															
68-1	s e m															
631-1	p ə̆ n															
594-1	g ai̯															
1759-1	s a n															
805-1	g e ɲ															
756-1	n ou̯															
1201-1	m ă t															
2042-1	ʔ o															
1968-1	d ă ʔ															
2000-1	m ɔ ŋ															
17-1	n ă t															
4-1	d ă m															
788-1	d ɛ															
1219-1	s ă m															
141-1	ʔ o ŋ															
541-1	p r j a ŋ															
1687-1	s a n															
123-1	n ă m															
1652-1	c a n															
576-1	ŋ ă															
1738-1	d ou̯ ʔ															
442-1	n o m															
368-1	g j a ŋ															
1778-1	p ă t															
1859-2		ŋ ai̯														
175-2		g ɔ														
241-2		ʔ i ʔ														
2163-2		g u n														
2181-2		n ɔː m														
2060-2		ʔ ɔː m														
410-2		d ai̯														
1841-2		m ai̯														
2017-2		s ai̯														
1004-2		m ai̯														
614-2		d ɔ h														
686-2		b l oːi̯														
88-2		k o k														
872-2		n ɔ ŋ														
1891-2		d ai̯														
68-2		s ə m														
631-2		oː n														
594-2		k ai̯														
1759-2		dʑ ɔː n														
805-2		g ɔː n														
756-2		ʔ i k														
1201-2		m o k														
2042-2		ʔ i														
1968-2		d ɔ ʔ														
2000-2		dʑ a ŋ														
17-2		dʑ ɔ ʔ														
4-2		d ɔː m														
788-2		d o														
1219-2		dʑ ɔː m														
141-2		ʔ a ŋ														
541-2		b o o a ŋ														
1687-2		dʑ ɔː n														
123-2		dʑ ɔː m														
1652-2		dʑ ɔː n														
576-2		ŋ ɔ n														
1738-2		ɗ o k														
442-2		dʑ ɔː m														
368-2		dʑ a ŋ														
1778-2		ʔ ɔ ʔ														
1859-3			ŋ ɔːi̯													
175-3			k a													
241-3			ʔ i t													
2163-3			d a n													
2181-3			n a m													
2060-3			ʔ a m													
410-3			d ai̯													
1841-3			m ai̯													
2017-3			ʔ a													
1004-3			m ai̯													
614-3			b o h													
686-3			b l ai̯													
88-3			k a ʔ													
872-3			n a ŋ													
1891-3			d a													
68-3			s iː m													
631-3			ɓ ai̯ n													
594-3			k a													
1759-3			dʑ a n													
805-3			k a n													
756-3			l o ʔ													
1201-3			m a t													
2042-3			ʔ a													
1968-3			ɗ a ʔ													
2000-3			m a ŋ													
17-3			n a ʔ													
4-3			d a m													
788-3			d a													
1219-3			s a m													
141-3			ʔ a ŋ													
541-3			b r j a ŋ													
1687-3			ʔ a n													
123-3			n a m													
1652-3			dʑ a n													
576-3			ŋ aːi̯ n													
1738-3			ɗ o ʔ													
442-3			dʑ a m													
368-3			k j a ŋ													
1778-3			b a t													
1859-4				ŋ ai̯												
175-4				k ɔː												
241-4				ʔ i ʔ												
2163-4				k ɔː												
2181-4				n ɔː m												
2060-4				ʔ ɔː m												
410-4				t aːi̯												
1841-4				m aːi̯												
2017-4				s aːi̯												
1004-4				n aːi̯												
614-4				p o h												
686-4				p o aːi̯												
88-4				k a k												
872-4				n ɔː ŋ												
1891-4				t a												
68-4				s ə m												
631-4				b a												
594-4				k a												
1759-4				dʑ ɔː n												
805-4				g ɔː n												
756-4				s o k												
1201-4				m ɔː ʔ												
2042-4				ʔ ɔː												
1968-4				t ɔː ʔ												
2000-4				dʑ ɔː ŋ												
17-4				dʑ ɔː ʔ												
4-4				t ɔː m												
788-4				t ai̯												
1219-4				dʑ ɔː m												
141-4				ʔ ɔː ŋ												
541-4				p a ɔː ŋ												
1687-4				dʑ ɔː												
123-4				dʑ ɔː m												
1652-4				dʑ ɔ n												
576-4				ŋ ɔː												
1738-4				t o k												
442-4				dʑ ɔː m												
368-4				k ɔː ŋ												
1778-4				p ɔː ʔ												
1859-5					ŋ iː											
175-5					ʔ a											
241-5					ʔ i ʔ											
2163-5					ʔ a											
2181-5					n a m											
2060-5					ʔ a m											
410-5					ʔ ei̯											
1841-5					m ei̯											
2017-5					s ei̯											
1004-5					a ei̯											
614-5					ʔ ai̯ h											
686-5					b a ei̯											
88-5					k a ʔ											
872-5					n a ŋ											
1891-5					ʔ ai̯											
68-5					s a m											
631-5					b ei̯ n											
594-5					ʔ əː											
1759-5					s a n											
805-5					k əː ŋ											
756-5					s ei̯ ʔ											
1201-5					m a n											
2042-5					ʔ a											
1968-5					ʔ a ʔ											
2000-5					m a ŋ											
17-5					n a ʔ											
4-5					ɗ əː m											
788-5					ʔ ei̯											
1219-5					dʑ i m											
141-5					ʔ a ŋ											
541-5					b j j a ŋ											
1687-5					s ei̯											
123-5					n a m											
1652-5					dʑ a ŋ											
576-5					ŋ ei̯											
1738-5					g a ʔ											
442-5					dʑ a m											
368-5					k j a ŋ											
1778-5					ʔ a ʔ											
1859-6						s iː										
175-6						ʔ aː n										
241-6						ʔ iː t										
2163-6						ʔ uː ŋ										
2181-6						n a m										
2060-6						ʔ oː m										
410-6						d ei̯										
1841-6						m ei̯										
2017-6						s iː										
1004-6						m iː										
614-6						ʔ ai̯ h										
686-6						b a ai̯										
88-6						k a t										
872-6						n a ŋ										
1891-6						ʔ iː										
68-6						s i m										
631-6						b a ŋ										
594-6						ʔ iː										
1759-6						s a ŋ										
805-6						d əː ŋ										
756-6						s a t										
1201-6						m a t										
2042-6						ʔ a										
1968-6						d uː t										
2000-6						m a ŋ										
17-6						m a										
4-6						d əː m										
788-6						d iː t										
1219-6						s iː m										
141-6						ʔ a ŋ										
