COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	j ə ɲː																		
63-1	ʔ ə ə ə w																		
107-1	g ə a ə ə a																		
112-1	d ə mː ə ɲː a																		
331-1	ə ə u ə j																		
377-1	ʔ ʔ ə t ɲː ə a																		
381-1	ʔ ɨ ə ɲː w																		
417-1	ə ə a																		
451-1	ʔ ə r ə n a j																		
454-1	ʔ ə ə i ə w w																		
484-1	ʔ ə ə ɲː t u																		
535-1	ʔ ə ə ə ə ai̯																		
543-1	j ə lː a ə j u																		
593-1	ʔ ə ə g ə ə																		
640-1	ə g ə w o																		
1-1	ʔ ə ə ə ə i																		
65-1	tʼ i a ɲː a																		
212-1	ʔ ə ɲː o																		
244-1	ʔ ə ə ə t																		
248-1	ə ʔ ə ə i																		
293-1	j ə ə i ɲː																		
373-1	ʔ g ə ə ə w																		
408-1	ʔ ə u a a																		
414-1	ʔ ə a a j a																		
601-1	ʔ ə a i u j																		
642-1	ə ə ə i w																		
60-1	ə ə rː ə ɲː i																		
115-1	ɨ ə j a u																		
209-1	j ə ə ə ɲː j o																		
242-1	ʔ ə ə ə ə w																		
415-1	j ə ɲː ə m																		
450-1	s ə ə u																		
490-1	tʼ ə bː ə ɲː ə																		
638-1	ʔ ə ə ɲː ə																		
645-1	dʒ a a																		
160-1	tʼ ə rː ə a																		
208-1	ʔ ə ə g ə u ɲː ə																		
214-1	ʔ ə ə																		
378-1	ʔ ə ə ə t t																		
379-1	j ə ə ə ə t																		
409-1	ʔ ə ə ə																		
598-1	ʔ a r ə																		
646-1	ʔ ə j ə																		
210-1	j ə ə j ə a a																		
215-1	ʔ ə ə g ə a																		
285-1	j ə j a j																		
332-1	ʔ a g g a a																		
380-1	ʔ ə j ə a																		
412-1	j ə ɨ i a a																		
64-1	tʼ i j ə																		
67-1	j i j																		
251-1	j ə ə ə a																		
294-1	ʔ ə ə ə ə t ɨ ɲː ə t																		
597-1	ʔ ə ə g a t ə ɲː a																		
7-1	ʔ a a j a																		
158-1	ʔ ə ə g ə ə																		
372-1	g ə a ə a																		
374-1	ʔ rː ʔ a a a t t a																		
375-1	s ə																		
411-1	ʔ ə n a a																		
541-1	ʔ ə d i u																		
6-1	j a a g a j a																		
113-1	b i ɲː i																		
330-1	ʔ ə ə t																		
448-1	ʔ ə n a ə ə ə ə t ə kʼ																		
449-1	w ə g ə ə t																		
491-1	d ə ə g ə t																		
596-1	j a g a																		
4-1	ʔ ʔ a a a t a																		
8-1	ʔ a g a a																		
106-1	ə ə s ə																		
290-1	ʔ ə h ə s ə																		
489-1	ʔ a a																		
602-1	ə ə ə g																		
2-1	ʔ tʃʼ ə ə u ɲː																		
3-1	ʔ ə h g a a																		
213-1	ʔ ɨ ə ə ɲː j u																		
486-1	ə ə bː ə kʼ i																		
647-1	ʔ ɨ j g a a																		
10-1	tʼ a g g a a																		
110-1	g a j a																		
152-1	w ɨ j ə																		
211-1	ə ə ɲː i ɲː																		
328-1	j ə g ə ɲː ə																		
333-1	j ə ə ə ə j																		
334-1	ʔ ə ə g ə ɲː ai̯																		
410-1	ʔ a a j j a																		
540-1	w ə ʃː ə																		
109-1	ʔ ɨ n g a																		
153-1	a a j a a t a a																		
250-1	ʔ a h ə ə t																		
289-1	ə ɨ b u																		
326-1	ə ə g ə o																		
594-1	ʔ ə d j ə																		
154-1	n ə ʔ a ə ə ɲː ə t																		
245-1	ʔ ʔ																		
247-1	ʔ ɨ n k u r ə u i t																		
286-1	ʔ ɨ g i u																		
643-1	g a g																		
62-1	j j j j j u																		
288-1	ʔ ɨ ə u																		
416-1	ʔ ɨ ɨ o o																		
5-1	g ə h ə ə																		
61-2		d ə e																	
63-2		d ə h e e																	
107-2		d ɨ m ə e e																	
